,ID,ability_IAT,moral_IAT
479,phase_019_subj_33,0.275,0.69
480,phase_019_subj_34,0.331,1.05
481,phase_019_subj_35,-0.525,-0.462
482,phase_019_subj_39,0.206,0.92
483,phase_019_subj_4,0.477,0.672
484,phase_019_subj_40,-0.353,0.357
485,phase_019_subj_41,0.466,0.736
486,phase_019_subj_42,0.288,0.891
487,phase_019_subj_43,0.18,0.518
488,phase_019_subj_45,0.034,0.595
489,phase_019_subj_46,0.917,1.124
490,phase_019_subj_47,0.822,0.214
491,phase_019_subj_48,0.636,0.81
492,phase_019_subj_49,0.3,0.997
493,phase_019_subj_53,1.023,1.109
494,phase_019_subj_54,0.529,0.362
495,phase_019_subj_6,0.073,0.504
496,phase_019_subj_8,0.159,0.731
497,phase_019_subj_9,0.656,0.431
498,phase_020_subj_1,0.591,0.82
499,phase_020_subj_2,0.268,0.17
500,phase_020_subj_3,0.836,1.065
501,phase_020_subj_4,-0.295,0.499
502,phase_020_subj_5,0.093,0.192
503,phase_020_subj_6,0.68,0.386
