Factor1,Factor2,Factor3
,,
0.685728844408,,
0.42095399263315186,,
,,
0.5466025658094217,,
0.4977337964146116,0.45851214743801527,0.5423571108169639
,0.36932177269146593,
,0.6513054592042635,
0.42748422014690884,0.4583173094942416,0.543288433309837
,,
,,
0.6334185329022857,0.3434475291301365,
0.7853883787238577,,
0.41289525410750844,,
,0.6274869761455205,
,0.3957497676588459,
0.5580788933665521,0.37595718052743227,
0.5230757222701491,0.3219803350653251,
0.34498353274845306,0.5713828088671039,
0.5910556040331291,,
