Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
,,,,,,0.5011547431216828
,,,0.43790512331683706,,,
,,,,,,0.32958840708201415
,0.44725586606585693,,,,,
,,0.44970003073461934,,,,
,0.32829687739668933,0.33480028939417095,,,,0.34155639577943586
,,,,0.7435190085511523,,
0.3076097413306956,,0.6153417347247072,,,,
,0.41693234596034917,0.3184775865474803,,,,
0.3272813646306295,0.39302851060138844,,,,,
,,,,0.7556823705984587,,
,,0.5744747541494319,,,,
,,,0.49580320093590236,,,
,0.5074621483918256,,,,,
,,,,,,
-0.6343026774255015,,,,,,
,0.633884600636288,,,,,
,,0.3987276266860516,,,,
,,,0.5409083076114486,,,
,,,0.6491730889027719,,,
-0.5427181145722894,,,,,,
,,,0.5787975755209099,,,
,,,0.6402554157529328,,,
,,0.574373357951657,,,,
,,,,,0.7902000191237646,
0.42318923094563926,0.32563053941455716,0.4270059407306863,,,,
0.5361673187412626,0.3226172999843209,0.35361790994985676,,,,
,,0.6923619494525624,,,,
0.6953427121843424,,,,,,
,,,0.5508827305838656,,,
,,,,,,
,,,,,0.7901328782651716,
,,0.37076310705909593,,,,
0.6337973485262791,0.3910358533130957,,,,,
-0.5796912774803982,,,,,,
0.34971120114220344,,,,0.6431919546992763,,
0.4060323202316418,0.6323643549258842,,,,,
0.42968784199080484,0.6740351516131783,,,,,
,-0.38762152285194995,-0.3390661880839393,,,,0.42666665972757295
