Factor1,Factor2,Factor3,Factor4,Factor5
0.7766384874490077,,,,
,0.5719058243618761,,,
,,0.469905676912661,,
,,,,0.33593289859917014
0.5080231168145719,,,,
0.7233830447202948,,,,
,0.39140240928647513,0.352024272668863,,
0.5557212963639135,0.34377656291065206,0.3579368769805697,0.3182578197063144,
,,0.3993973648810679,,0.31489963657095194
0.33828214960420677,,0.4429911730659855,,
,,,,-0.5409877298403944
,,,0.5072232384246957,
0.7569988590456886,,,,
,,0.6098973605490957,,
,0.48290383386768415,0.31129269635071366,,
0.42097965219686095,,0.41579690084450527,,
0.44739589120581846,0.4907818633417647,,,
,,,0.5536867695368538,
,,0.3198470074989263,0.5767011771688811,
,0.41167055342729,,,
,0.7305330269430084,,,
,,0.3576854203641655,,
0.47073878398887675,0.41871327026664024,,,
0.7359336604952279,,,,
0.6949953187295448,,,,
0.31137788402795885,,,,0.36522535802900113
0.5216708587427985,,,,
,0.7142255128337741,0.30155736938674577,,
,,,,
0.3144817382550499,,,,
,0.6733941437011467,,,
0.5414031542369094,,0.339448012191904,,
0.35986352181274356,0.49006518066768,,,
0.7650734886870579,,,,
,-0.4747954186731308,,,
,,,,
,,0.5796382521578612,,
0.42938118641090295,0.4577789235303297,,,
,,,,-0.5199543412740838
0.3869588637638897,0.48948175937373595,,,
0.32208214030513166,,0.33014921323239294,0.47570189781966443,
,,0.544090147049667,,
