"","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ID"
"1",38,2,3,1,2,2,1,1,2,1,1,2,1,2,2,2,2,3,1,2,1,3,2,2,3,2,3,3,4,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,5,4,3,4,4,3,4,2,4,754335804045922304,"曹","phase_002_subj_2"
"2",145,4,4,4,4,4,4,4,3,4,4,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,5,1,1,1,1,1,2,1,4,1,590521239097835520,"李","phase_002_subj_4"
"3",162,4,3,4,3,4,3,3,4,4,4,5,4,5,4,4,5,4,5,5,4,2,2,2,1,2,2,1,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,3,2,3,4,4,2,2,2,672546881741520896,"陈","phase_002_subj_5"
"4",181,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,4,5,4,4,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,4,5,4,3,3,2,587598071420944384,"陈","phase_002_subj_6"
"5",306,3,3,3,3,3,3,3,3,4,4,3,2,3,3,2,3,1,2,4,3,4,5,3,4,4,4,3,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,5,4,2,4,2,3,1,4,4,644508738497019904,"韦","phase_002_subj_7"
"6",378,3,4,4,3,4,3,4,4,4,3,4,5,4,5,5,4,4,5,4,5,1,1,2,2,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,1,2,1,1,2,2,1,2,1,612329083165999104,"罗","phase_002_subj_8"
"7",394,3,4,4,3,4,3,3,4,3,4,4,4,5,4,5,5,5,4,4,5,1,1,2,2,2,1,2,4,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,5,1,2,1,2,2,1,2,4,1,633791437602816000,"王","phase_002_subj_9"
"8",468,4,3,4,3,3,3,4,2,3,4,4,4,2,5,4,4,1,4,4,4,4,4,4,5,3,2,4,5,4,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,5,1,4,2,2,4,5,4,4,4,598888935887732736,"赵熊","phase_002_subj_10"
"9",472,3,3,3,3,3,3,3,2,3,3,4,4,2,4,4,4,4,3,4,4,4,2,4,2,2,2,2,4,2,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,2,2,2,2,4,4,4,4,2,2,686480127940362240,"董","phase_002_subj_11"
"10",592,4,3,3,3,3,4,3,1,3,4,5,4,2,5,4,4,4,4,5,5,4,4,4,4,4,3,4,5,4,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,5,4,5,1,2,4,4,5,2,4,598944297026322432,"刘豪","phase_002_subj_12"
"11",613,4,4,4,4,4,4,4,1,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,5,1,1,1,1,1,3,1,4,1,590543915338170368,"李","phase_002_subj_13"
"12",683,4,3,4,4,4,3,4,3,4,4,4,5,5,4,5,5,4,5,4,5,1,2,2,1,2,1,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,2,1,1,2,4,1,5,1,595245798992642048,"林","phase_002_subj_14"
"13",693,4,3,4,3,3,3,3,3,4,4,5,4,2,4,3,4,4,3,4,4,2,2,3,4,2,2,2,2,2,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,4,2,3,1,2,2,4,2,1,2,729263916630413312,"王","phase_002_subj_15"
