Num,Gender,Age,Grade,Major,Only child,Residence,Number of online groups,Internet age,Daily online duration,Number of friends met online,SES7,SES3,SES9R,SES4,SES5R,SES10,SES1,SES8R,SES6R,SES2R,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,PANAS1,PANAS2,PANAS3,PANAS4,PANAS5,PANAS6,PANAS7,PANAS8,PANAS9,PANAS10,PANAS11,PANAS12,PANAS13,PANAS14,PANAS15,PANAS16,PANAS17,PANAS18,CD-RISC
1,1,21,4,1,1,1,3,4,2,2,4,4,4,1,4,3,3,3,4,4,5,5,5,2,5,2,4,2,3,4,2,2,3,4,4,5,4,5,2,5,4,5,5,67
2,1,22,4,2,2,2,1,4,1,2,2,2,3,3,2,3,3,2,2,2,4,4,4,4,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,2,1,1,1,51
3,2,22,4,2,2,2,3,4,2,3,2,3,2,2,1,2,2,2,2,3,3,4,2,4,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,41
4,2,22,4,2,1,2,1,4,3,2,2,3,2,3,2,3,3,2,3,3,4,4,5,5,1,3,4,1,3,1,3,1,3,4,3,1,4,1,3,3,1,2,4,63
5,2,21,4,2,1,1,3,4,1,4,3,3,4,3,2,3,3,2,4,3,4,3,4,3,4,3,2,1,4,1,4,2,3,1,3,1,4,1,3,3,1,1,4,66
6,1,19,1,4,2,2,4,4,1,4,3,2,2,4,1,4,4,1,4,4,6,7,6,2,7,3,4,2,5,1,3,1,4,1,3,1,3,1,4,5,1,1,1,68
7,1,19,1,5,2,1,3,4,2,4,3,3,3,3,2,4,3,2,3,4,4,4,4,1,1,1,3,1,2,1,2,1,2,1,1,1,3,1,4,3,1,1,3,72
8,2,20,4,1,1,1,4,4,1,4,3,3,1,2,2,3,3,1,1,1,4,4,4,1,1,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,59
9,1,18,1,5,2,2,3,4,1,2,3,3,3,3,3,3,3,2,3,3,4,4,5,4,5,2,3,1,3,1,3,1,3,2,3,1,3,1,3,3,1,2,3,56
10,1,18,1,5,1,1,3,2,3,2,4,3,4,3,4,3,3,2,3,3,5,7,7,4,1,1,4,1,4,2,4,1,5,3,5,1,5,1,4,5,2,2,3,72
11,1,18,1,5,2,2,1,3,2,4,2,3,3,3,3,3,3,2,4,4,4,4,4,6,4,5,5,4,4,4,3,3,3,4,3,4,4,4,5,4,1,5,5,53
12,1,18,1,5,2,1,3,4,3,2,4,3,4,4,1,4,4,1,3,4,4,4,7,4,7,1,1,4,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,76
13,1,18,1,5,1,1,3,4,1,3,3,3,3,2,3,3,3,2,4,4,4,4,6,5,7,2,1,1,4,1,3,1,4,5,5,1,5,1,2,5,1,2,4,52
14,1,19,1,5,2,2,1,3,2,2,4,4,2,2,3,2,3,1,3,2,2,2,3,6,5,4,4,3,4,3,2,3,3,3,4,4,4,2,3,3,2,2,2,67
15,2,21,4,2,1,2,1,4,1,1,2,2,4,2,3,1,4,3,4,3,3,5,3,4,5,1,4,2,2,4,2,3,4,3,2,3,3,4,4,3,3,3,3,55
16,2,21,4,5,2,2,3,4,2,4,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,2,1,3,1,3,1,2,1,1,1,3,1,2,2,1,1,2,53
17,2,22,4,2,2,2,3,1,2,3,2,3,2,3,2,3,3,2,4,4,4,5,5,5,2,2,4,2,4,2,2,4,2,4,2,4,4,4,4,4,2,4,2,72
18,2,21,4,2,1,1,1,4,3,2,3,3,3,3,2,4,2,1,3,3,3,3,4,5,4,1,3,1,3,1,1,1,1,1,1,1,3,1,2,4,1,1,3,71
19,2,22,4,3,1,1,3,4,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,2,1,3,2,2,1,1,1,1,1,3,2,1,3,1,2,2,1,1,1,44
20,2,22,4,5,2,2,3,4,1,3,3,3,3,3,2,3,3,2,3,3,4,4,4,1,2,3,4,3,5,3,3,3,4,3,4,3,4,3,3,4,2,1,5,65
21,2,21,4,2,2,2,3,4,3,1,3,2,3,4,1,3,4,1,3,3,2,4,4,1,1,1,1,1,1,2,3,1,3,1,3,1,1,1,1,1,2,2,1,57
22,2,21,4,2,2,2,4,4,2,2,3,3,2,3,2,3,3,2,3,3,3,5,4,3,2,3,2,1,3,2,3,1,3,2,3,2,2,2,3,2,2,2,2,57
23,1,20,4,1,2,2,3,4,2,2,3,2,2,4,2,2,3,2,2,3,5,5,5,4,5,2,3,2,3,2,3,3,3,4,3,4,4,3,3,3,3,3,4,75
24,2,23,4,2,2,2,3,3,2,5,3,3,4,3,3,3,3,2,3,3,5,4,3,5,5,1,2,3,2,2,3,4,4,5,5,4,3,2,3,3,2,2,2,73
25,2,24,1,1,1,2,3,4,1,2,4,4,4,3,3,4,4,1,2,2,3,6,6,6,3,1,3,1,3,1,4,1,4,1,3,1,3,1,3,3,1,1,3,63
26,2,22,4,1,2,2,4,4,2,4,3,3,3,3,2,3,3,2,4,4,5,5,5,5,5,3,5,2,3,2,2,2,3,3,3,2,3,2,3,3,2,2,3,62
27,2,23,4,1,1,1,1,1,3,1,3,3,3,3,2,3,3,2,3,3,4,4,3,2,1,3,3,3,4,2,3,3,3,3,3,2,3,1,2,3,1,1,3,71
28,2,22,4,2,2,1,3,4,2,4,4,4,3,3,3,3,4,2,3,3,3,4,3,4,2,4,3,1,3,2,3,4,2,4,4,4,3,1,1,3,5,3,2,81
29,2,22,4,2,1,1,1,4,1,5,3,3,3,3,2,3,1,2,2,3,4,4,7,7,1,1,4,1,4,1,3,2,2,2,3,1,4,1,4,4,1,2,4,79
30,2,20,4,2,2,2,3,4,2,5,4,4,3,2,2,3,3,3,3,3,4,4,4,4,1,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,2,2,2,60
31,1,19,1,5,1,1,1,3,2,2,4,3,2,2,1,3,3,2,2,2,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,91
32,1,18,1,5,1,1,3,4,2,3,3,3,3,3,3,3,3,3,4,4,3,4,3,1,1,4,3,4,4,3,3,3,3,5,4,4,3,3,3,4,3,3,3,60
33,1,19,5,2,2,2,3,3,2,4,3,3,3,4,3,4,2,2,4,3,1,4,4,1,1,1,4,2,4,2,3,3,3,4,3,1,3,1,1,4,3,3,3,58
34,1,20,1,5,1,1,3,3,2,3,3,3,3,3,2,2,3,2,4,4,4,4,4,3,2,1,2,1,3,2,2,3,1,1,1,1,3,1,2,3,1,1,2,56
35,1,20,4,2,1,2,2,2,2,2,3,3,3,3,2,3,3,2,3,3,4,4,4,4,1,3,3,2,3,2,2,2,3,3,3,2,3,2,3,3,2,3,3,63
36,1,22,4,2,1,2,1,3,2,3,4,4,3,2,1,3,4,1,3,2,5,6,4,4,2,1,1,1,1,1,1,3,3,1,3,1,4,1,4,4,4,1,4,74
37,1,22,4,2,1,2,1,4,2,2,3,3,4,3,2,3,3,1,3,4,4,4,5,3,3,1,3,1,3,1,1,1,3,3,3,2,4,2,3,4,3,4,4,59
38,1,21,4,2,2,1,3,4,1,5,4,2,2,2,2,4,1,3,2,1,7,5,6,4,2,1,4,1,4,1,5,5,1,5,4,4,1,1,4,5,1,1,4,50
39,1,21,3,2,1,1,4,4,1,5,3,3,3,3,3,3,3,1,2,3,5,6,6,5,7,1,2,1,2,1,3,1,3,1,3,3,4,3,4,5,1,2,4,63
40,1,22,4,2,2,2,1,2,1,1,2,2,4,2,3,1,2,4,4,3,1,1,1,1,5,1,5,1,3,3,3,1,5,5,5,5,5,3,5,3,1,3,4,37
41,1,21,1,2,2,2,3,4,2,3,3,3,2,4,2,2,3,3,2,1,5,4,5,3,5,3,4,3,4,3,4,4,4,3,4,3,5,4,3,4,3,4,3,68
42,1,21,4,1,2,2,2,2,3,2,3,2,2,3,2,2,3,3,2,2,5,4,5,6,5,3,2,3,4,2,3,4,3,3,4,3,4,2,3,4,3,4,4,70
43,1,21,4,1,1,1,2,3,3,3,3,3,2,3,2,2,3,3,2,3,6,5,5,6,5,4,3,4,3,4,3,2,3,4,3,4,3,4,3,2,4,3,4,67
44,1,22,4,2,2,2,3,4,3,2,4,4,4,4,4,4,4,1,2,3,4,3,5,2,4,3,3,2,4,3,3,2,3,3,4,2,5,1,3,4,2,2,3,83
45,1,22,4,2,2,2,3,2,2,3,4,4,3,3,2,4,3,1,2,3,4,3,5,2,3,1,1,1,3,1,4,2,3,1,4,1,4,1,3,5,1,1,3,77
46,1,22,2,4,2,1,3,4,2,3,3,2,3,3,3,3,3,2,3,4,5,4,5,4,5,1,3,1,3,1,3,1,2,1,2,1,1,1,2,2,1,1,2,72
47,1,24,1,2,2,1,3,4,3,3,4,4,3,3,2,3,3,3,3,3,5,5,5,3,3,1,1,1,5,1,5,1,5,5,5,1,5,1,5,5,1,5,5,69
48,1,22,4,2,1,1,3,4,2,3,4,4,3,3,3,3,3,1,3,3,4,4,4,4,4,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,64
49,1,21,4,2,1,1,3,4,3,4,3,3,3,3,2,2,3,1,4,4,5,4,5,4,4,1,2,1,4,1,4,1,4,2,3,1,4,1,4,5,1,1,5,79
50,1,22,4,1,1,1,3,4,3,3,3,3,3,3,3,3,3,1,2,3,5,3,4,5,5,1,1,1,3,1,2,1,1,2,2,1,2,1,1,1,1,1,1,60
51,1,22,4,1,1,1,3,4,3,3,3,3,2,3,3,3,3,2,3,2,4,5,5,4,5,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,73
52,1,21,4,2,2,2,1,3,3,1,3,3,3,3,3,3,3,2,3,3,6,5,6,5,4,1,3,1,3,1,4,1,4,2,3,1,3,1,3,4,1,1,4,63
53,1,23,4,3,2,3,3,4,3,5,4,3,3,3,3,4,4,2,3,3,6,2,7,6,5,2,3,1,5,1,5,1,3,5,5,1,5,1,3,4,1,2,4,76
54,1,23,2,1,2,2,3,4,2,2,2,3,1,3,1,2,3,1,1,1,4,3,3,3,4,2,2,1,2,3,2,3,1,2,1,1,2,1,1,2,1,2,1,44
55,1,21,4,2,1,2,1,3,1,3,2,3,2,2,2,2,2,3,3,3,5,4,5,5,6,3,4,2,3,2,2,3,2,3,3,3,3,1,2,3,2,1,2,46
56,1,21,4,2,1,2,3,4,2,3,3,3,3,3,3,3,3,2,3,3,5,4,6,4,2,1,3,1,5,2,3,2,3,2,4,1,4,1,3,5,1,2,3,69
57,1,21,4,2,2,1,3,4,3,2,3,3,4,3,3,3,3,1,3,3,5,5,5,5,4,2,3,1,3,1,4,1,4,5,3,2,3,3,3,3,3,3,3,70
58,1,22,2,2,2,2,4,3,3,2,3,3,2,3,2,3,3,2,2,2,4,5,4,4,5,4,4,3,3,3,4,3,3,4,3,3,3,4,3,3,3,3,3,79
59,1,20,4,5,2,1,1,4,1,2,3,3,4,2,3,3,3,1,4,4,3,1,1,1,1,3,4,3,3,2,5,5,5,2,2,1,5,1,5,5,1,1,5,88
60,1,18,1,5,2,2,3,4,2,3,3,3,4,3,4,4,3,1,4,4,4,4,6,3,2,4,3,2,5,5,5,3,3,4,5,1,4,2,4,4,2,3,4,76
61,1,19,1,5,2,2,3,4,3,5,3,3,3,3,2,3,4,3,3,3,4,4,5,4,1,1,2,1,3,1,3,2,3,3,3,1,3,2,3,3,3,2,3,69
62,1,20,1,5,2,1,3,4,2,3,3,4,3,3,3,3,3,2,2,4,3,4,4,4,1,1,2,1,2,2,3,2,4,1,4,1,5,1,3,4,1,1,3,74
63,1,19,1,5,1,2,3,4,1,3,3,3,3,3,2,3,2,1,3,3,4,4,7,1,1,3,3,2,4,2,4,3,4,2,4,2,4,3,2,4,1,2,4,58
64,1,19,1,5,1,2,1,2,2,2,3,3,3,2,3,3,3,2,3,3,5,4,4,3,6,3,3,3,5,4,3,3,2,2,3,2,3,3,4,4,2,4,3,59
65,1,19,1,5,1,1,1,4,2,3,3,3,3,2,3,3,3,2,4,3,5,7,1,5,3,1,1,2,1,5,1,1,1,3,1,1,1,1,2,1,2,1,1,66
66,1,18,1,5,1,2,1,2,2,2,3,3,3,2,2,3,2,3,3,3,4,7,7,7,4,1,2,3,4,2,3,2,1,2,3,4,2,3,2,5,1,2,3,55
67,1,21,1,5,2,2,1,4,2,3,3,3,3,3,2,3,3,2,3,3,4,4,7,1,1,1,1,1,2,1,4,1,3,4,4,1,4,1,2,3,1,4,2,54
68,1,19,1,5,2,1,2,2,2,4,3,3,3,3,3,2,2,2,3,3,4,1,5,3,1,2,3,1,4,2,4,1,3,2,3,1,4,2,4,4,1,2,3,71
69,1,18,1,5,2,2,4,3,2,3,4,3,4,4,4,4,4,2,4,4,7,6,6,4,1,1,5,1,5,1,5,1,5,3,5,1,5,1,5,5,1,1,5,95
70,1,18,1,5,1,1,1,2,2,3,4,4,4,3,2,4,4,1,4,4,5,5,6,6,6,1,1,1,4,1,4,2,4,3,4,3,5,2,4,4,1,2,5,71
71,1,20,1,5,2,2,2,4,4,3,2,3,3,3,2,3,2,3,3,3,4,3,6,1,2,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,2,76
72,1,19,1,5,1,1,1,4,2,3,2,2,3,2,2,2,3,2,3,2,5,4,4,3,2,1,1,1,3,2,3,1,2,3,3,2,3,1,3,3,1,3,3,48
73,1,18,1,5,2,1,4,3,3,5,3,3,3,4,2,3,4,2,4,4,3,3,3,3,2,2,4,4,3,4,5,3,3,4,3,1,5,3,3,4,2,3,3,69
74,2,23,4,3,2,1,1,4,1,3,3,3,1,2,3,2,4,3,1,3,4,7,4,1,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,4,4,4,4,62
75,1,22,4,1,1,2,1,4,2,4,3,3,3,2,3,4,4,1,3,3,4,4,4,4,1,1,3,1,3,1,4,1,3,1,4,1,3,1,4,5,1,3,5,67
76,2,18,1,2,1,2,1,4,1,5,3,2,2,2,3,1,3,1,3,2,1,2,2,5,7,1,3,2,2,4,5,4,3,3,2,5,1,3,5,2,2,4,3,36
