"","ParticipantID","task_id","screen_id","condition","word","response","responses","rt","correct","conditionType","con","ID"
"1",38,"ALT1_2","prac_ALT1_2","hexagon","hexagon","null","null",NA,NA,"match","hexagon_match","phase_002_subj_2"
"2",38,"ALT1_2","prac_ALT1_2","trapezoid","hexagon","null","null",NA,NA,"nonmatch","trapezoid_nonmatch","phase_002_subj_2"
"3",38,"ALT1_2","prac_ALT1_2","square","square","f","match","505","true","match","square_match","phase_002_subj_2"
"4",38,"ALT1_2","prac_ALT1_2","square","trapezoid","null","null",NA,NA,"nonmatch","square_nonmatch","phase_002_subj_2"
"5",38,"ALT1_2","prac_ALT1_2","square","circle","f","match","900","false","nonmatch","square_nonmatch","phase_002_subj_2"
"6",38,"ALT1_2","prac_ALT1_2","hexagon","square","null","null",NA,NA,"nonmatch","hexagon_nonmatch","phase_002_subj_2"
"7",38,"ALT1_2","prac_ALT1_2","hexagon","trapezoid","null","null",NA,NA,"nonmatch","hexagon_nonmatch","phase_002_subj_2"
"8",38,"ALT1_2","prac_ALT1_2","trapezoid","square","f","match","730","false","nonmatch","trapezoid_nonmatch","phase_002_subj_2"
"9",38,"ALT1_2","prac_ALT1_2","square","hexagon","j","nonmatch","705","true","nonmatch","square_nonmatch","phase_002_subj_2"
"10",38,"ALT1_2","prac_ALT1_2","trapezoid","circle","j","nonmatch","358","true","nonmatch","trapezoid_nonmatch","phase_002_subj_2"
"11",38,"ALT1_2","prac_ALT1_2","circle","trapezoid","j","nonmatch","496","true","nonmatch","circle_nonmatch","phase_002_subj_2"
"12",38,"ALT1_2","prac_ALT1_2","hexagon","hexagon","j","nonmatch","615","false","match","hexagon_match","phase_002_subj_2"
"13",38,"ALT1_2","prac_ALT1_2","circle","hexagon","j","nonmatch","506","true","nonmatch","circle_nonmatch","phase_002_subj_2"
"14",38,"ALT1_2","prac_ALT1_2","trapezoid","trapezoid","j","nonmatch","531","false","match","trapezoid_match","phase_002_subj_2"
"15",38,"ALT1_2","prac_ALT1_2","trapezoid","trapezoid","j","nonmatch","512","false","match","trapezoid_match","phase_002_subj_2"
"16",38,"ALT1_2","prac_ALT1_2","square","square","j","nonmatch","387","false","match","square_match","phase_002_subj_2"
"17",38,"ALT1_2","prac_ALT1_2","circle","circle","j","nonmatch","536","false","match","circle_match","phase_002_subj_2"
"18",38,"ALT1_2","prac_ALT1_2","square","square","f","match","182","true","match","square_match","phase_002_subj_2"
"19",38,"ALT1_2","prac_ALT1_2","circle","square","f","match","847","false","nonmatch","circle_nonmatch","phase_002_subj_2"
"20",38,"ALT1_2","prac_ALT1_2","hexagon","circle","j","nonmatch","505","true","nonmatch","hexagon_nonmatch","phase_002_subj_2"
"21",38,"ALT1_2","prac_ALT1_2","trapezoid","trapezoid","j","nonmatch","452","false","match","trapezoid_match","phase_002_subj_2"
"22",38,"ALT1_2","prac_ALT1_2","hexagon","hexagon","f","match","885","true","match","hexagon_match","phase_002_subj_2"
"23",38,"ALT1_2","prac_ALT1_2","circle","circle","f","match","614","true","match","circle_match","phase_002_subj_2"
