"","x"
"a_I",0.413497037076789
"m_I",0.290210526648478
"ablty_ALT_rt_v",0.807779520937913
"mrl_ALT_rt_v",0.833857475664531
"ablty_ALT_rt_r",0.785418335593193
"mrl_ALT_rt_r",0.861894813035366
"a_S",0.940067017711538
"m_S",0.532835365047599
"ablty_ALT_d_v",0.793841573405898
"mrl_ALT_d_v",0.773652901549741
"ablty_ALT_d_r",0.779376019103631
"mrl_ALT_d_r",0.788279193749445
"sl_1",0.86051545509391
"sl_2",1.05756235066014
"sl_3",0.414063661565665
"sl_4",1.16498060632294
"sl_5",0.922219657499508
"sl_6",0.852459637775298
"sl_7",0.685339881698051
"sl_8",1.03022314310021
"sl_9",0.837075210151589
"sl_10",0.569141283544983
"sl_11",1.05762041631852
"sl_12",1.1301506778849
"LOT_1",0.831214303924032
"LOT_2",0.743799885754577
"LOT_3",1.09294200126807
"LOT_4",0.742826112446622
"LOT_5",1.09247632550608
"LOT_6",0.592809843201151
"IPC_1",0.763693729155759
"IPC_2",0.483667956540091
"IPC_3",1.0544068611112
"IPC_4",0.480952060496709
"IPC_5",1.06119078572724
"IPC_6",1.06620511553768
"IPC_7",1.00750846241003
"IPC_8",0.73729045567728
"ss_1",1.00753990751969
"ss_2",0.915789740414217
"ss_3",1.03144605074508
"ss_4",0.900585923169158
"ss_5",0.907358763029043
"ss_6",1.0230183674402
"ss_7",1.05464265900919
"ss_8",0.500362916283452
"ss_9",1.02695967923708
"ss_10",0.936673100134837
"cr_1",1.14968137072339
"c_2",0.714059749819608
"c_3",0.631546090735137
"c_4",1.03312625941673
"c_5",0.885707078089573
"c_6",1.17844814308349
"c_7",1.1440736166718
"c_8",1.02303393783
"c_9",1.04463244786962
"c_10",1.01420192188937
"NPI1",0.667637115550327
"NPI2",1.10160160508521
"NPI3",1.05196729854
"NPI4",0.906823993348077
"NPI5",0.765306013832621
"NPI6",0.308542489030191
"NPI7",0.740978801633407
"NPI8",0.728958769697155
"NPI9",0.0783723635668721
"NPI10",0.993931432674156
"NPI11",0.90450137381721
"NPI12",0.203320954657181
"NPI13",0.56961502086566
"NPI14",0.21791983493282
"NPI15",0.910585942550651
"hs_1",0.857685462525038
"h_2",-0.659900742622402
"h_3",-0.372655651340533
"h_4",-0.461707564400939
"h_5",-0.434516295569507
"h_6",0.0929206363612777
"h_7",-0.198846431327838
"h_8",-0.104479905590334
"h_9",0.36310433204305
"h_10",-0.486231309253748
"MrI_1",0.880008598251203
"MI_2",0.765926168176265
"MI_3",0.447769152815319
"MI_4",0.465475074277474
"MI_5",0.99827802100125
"MI_6",0.681143623572975
"MI_7",0.950929886072802
"MI_8",0.830494560347843
"MI_9",0.740614079857276
"MI_10",0.942971522467103
"mSI_1",1.09172557234399
"mSI_2",0.865967177425978
"mSI_3",1.04642150311957
"mSI_4",0.933657990287504
"mSI_5",1.03713438406403
"mSI_6",0.874208692914549
"mSI_7",1.07737312800019
"mSI_8",1.06219256959095
"mSI_9",0.947528399871382
"sd_1",0.734281334074968
"sd_2",0.711384598603247
"sd_3",0.528778149109303
"sd_4",0.941316861031315
"sd_5",0.989423663070689
"sd_6",0.77954621482276
"sd_7",0.878500600930013
"sd_8",-0.440213275159798
"sd_9",1.1812641689384
"sd_10",0.406117576448746
"sd_11",1.1270503484329
"sd_12",1.00404333584426
"s_13",0.505865521782623
"s_14",0.358355756400815
"s_15",1.00872203976342
"s_16",0.576690371641513
"s_17",1.16691908442012
"s_18",0.368047981562178
"s_19",0.420419029295729
"s_20",0.969569278740646
"IM_1",1.11918566206506
"IM_2",1.11277923654408
"IM_3",0.69636832740709
"IM_4",0.990629850678043
"IM_5",0.672394934018772
"IM_6",0.952804632318652
"IM_7",0.96994749885247
"IM_8",0.609592134782433
"IM_9",0.961175852244498
"IM_10",0.596996565432629
"IM_11",0.857533739042105
"IM_12",0.873861439427309
"IM_13",0.458209159216285
"IM_14",0.810582353741562
"IM_15",0.876067401741029
"IM_16",1.17911319516387
"IM_17",0.844716540039228
"IM_18",0.605657891516192
"IM_19",1.19952369799917
"IM_20",1.07648238830839
"Abl",1.21572181974205
"Att",1.11542977828578
"Wlt",0.977970048657702
"Scl",0.743610542671227
"Mrl",1.03393338741089
"SES2",0.899548395488701
"SES1",0.681081135268154
