"","graph","type","node","measure","value"
"1","graph 1",NA,"selfclarity_1","WS",-0.136757040710146
"2","graph 1",NA,"selfclarity_2","WS",0.178746495504914
"3","graph 1",NA,"selfclarity_3","WS",0.790412354986982
"4","graph 1",NA,"selfclarity_4","WS",0.436122779235031
"5","graph 1",NA,"selfclarity_5","WS",-0.0619479920575105
"6","graph 1",NA,"selfclarity_6","WS",0.119168652048868
"7","graph 1",NA,"selfclarity_7","WS",0.322259006653447
"8","graph 1",NA,"selfclarity_8","WS",0.415224704915064
"9","graph 1",NA,"selfclarity_9","WS",0.798356067447788
"10","graph 1",NA,"selfclarity_10","WS",1.70393928797968
"11","graph 1",NA,"selfclarity_11","WS",0.504041520774923
"12","graph 1",NA,"selfclarity_12","WS",0.0323686793299018
"13","graph 1",NA,"LOT_1","WS",0.10784886179222
"14","graph 1",NA,"LOT_2","WS",0.101753590115563
"15","graph 1",NA,"LOT_3","WS",0.662518584368004
"16","graph 1",NA,"LOT_4","WS",0.707797745394599
"17","graph 1",NA,"LOT_5","WS",0.469860193333278
"18","graph 1",NA,"LOT_6","WS",-0.605297924376647
"19","graph 1",NA,"IPC_1","WS",-1.3025970041862
"20","graph 1",NA,"IPC_2","WS",-1.00149058335935
"21","graph 1",NA,"IPC_3","WS",-0.381049747434658
"22","graph 1",NA,"IPC_4","WS",-1.1724789940782
"23","graph 1",NA,"IPC_5","WS",-0.568967214145822
"24","graph 1",NA,"IPC_6","WS",0.180912962539679
"25","graph 1",NA,"IPC_7","WS",-0.412369325219852
"26","graph 1",NA,"IPC_8","WS",-0.210495415074585
"27","graph 1",NA,"ses_1","WS",0.277297414403283
"28","graph 1",NA,"ses_2","WS",-0.230715774065727
"29","graph 1",NA,"ses_3","WS",1.34170599976692
"30","graph 1",NA,"ses_4","WS",0.901624329438267
"31","graph 1",NA,"ses_5","WS",-0.171571224016635
"32","graph 1",NA,"ses_6","WS",1.71281755484764
"33","graph 1",NA,"ses_7","WS",0.901624329438267
"34","graph 1",NA,"ses_8","WS",0.228791884007992
"35","graph 1",NA,"ses_9","WS",0.234352482730556
"36","graph 1",NA,"ses_10","WS",3.80324584466725
"37","graph 1",NA,"coreself_1","WS",0.979472711554167
"38","graph 1",NA,"coreself_2","WS",-0.39536726870789
"39","graph 1",NA,"coreself_3","WS",-0.00660679524722844
"40","graph 1",NA,"coreself_4","WS",-0.738214171261167
"41","graph 1",NA,"coreself_5","WS",0.881589819334911
"42","graph 1",NA,"coreself_6","WS",1.6216135406586
"43","graph 1",NA,"coreself_7","WS",0.250478219025992
"44","graph 1",NA,"coreself_8","WS",-0.0152756260762513
"45","graph 1",NA,"coreself_9","WS",1.38698516079352
"46","graph 1",NA,"coreself_10","WS",2.32652775209536
"47","graph 1",NA,"NPI1","WS",0.252342655068264
"48","graph 1",NA,"NPI2","WS",0.979472711554167
"49","graph 1",NA,"NPI3","WS",-0.672025109047418
"50","graph 1",NA,"NPI4","WS",1.1466573061139
"51","graph 1",NA,"NPI5","WS",1.84389305842552
"52","graph 1",NA,"NPI6","WS",-0.890556638844193
"53","graph 1",NA,"NPI7","WS",-0.221616612519713
"54","graph 1",NA,"NPI8","WS",-0.107227153084106
"55","graph 1",NA,"NPI9","WS",-0.92225205156281
"56","graph 1",NA,"NPI10","WS",1.35405486186509
"57","graph 1",NA,"NPI11","WS",0.979472711554167
"58","graph 1",NA,"NPI12","WS",0.873821335825446
"59","graph 1",NA,"NPI13","WS",0.345564457181841
