"","Vaccounted.PA1","Vaccounted.PA8","Vaccounted.PA10","Vaccounted.PA4","Vaccounted.PA5","Vaccounted.PA3","Vaccounted.PA2","Vaccounted.PA7","Vaccounted.PA6","Vaccounted.PA9"
"SS loadings",20.9685424628659,11.0943896418854,10.5281073085412,7.08337959294625,7.02040825443007,5.35688650396272,5.25336367696388,5.03906186314254,2.86582768429953,2.70322092784931
"Proportion Var",0.14072847290514,0.0744589908851369,0.070658438312357,0.0475394603553439,0.0471168339223494,0.0359522584158572,0.0352574743420394,0.0338192071351848,0.0192337428476479,0.0181424223345591
"Cumulative Var",0.14072847290514,0.215187463790277,0.285845902102634,0.333385362457978,0.380502196380327,0.416454454796185,0.451711929138224,0.485531136273409,0.504764879121057,0.522907301455616
"Proportion Explained",0.269126999208836,0.142394245935877,0.135126126783209,0.0909137436463565,0.0901055192597051,0.06875455423127,0.0674258596961513,0.0646753392829712,0.0367823183843617,0.0346952935712622
"Cumulative Proportion",0.269126999208836,0.411521245144713,0.546647371927922,0.637561115574279,0.727666634833984,0.796421189065254,0.863847048761405,0.928522388044376,0.965304706428738,1
