"","graph","type","node","measure","value"
"1","graph 1",NA,"selfclarity_1","WS",0.282608695652174
"2","graph 1",NA,"selfclarity_2","WS",0.315789473684211
"3","graph 1",NA,"selfclarity_3","WS",0.380116959064327
"4","graph 1",NA,"selfclarity_4","WS",0.342857142857143
"5","graph 1",NA,"selfclarity_5","WS",0.29047619047619
"6","graph 1",NA,"selfclarity_6","WS",0.30952380952381
"7","graph 1",NA,"selfclarity_7","WS",0.330882352941176
"8","graph 1",NA,"selfclarity_8","WS",0.340659340659341
"9","graph 1",NA,"selfclarity_9","WS",0.380952380952381
"10","graph 1",NA,"selfclarity_10","WS",0.476190476190476
"11","graph 1",NA,"selfclarity_11","WS",0.35
"12","graph 1",NA,"selfclarity_12","WS",0.300395256916996
"13","graph 1",NA,"LOT_1","WS",0.308333333333333
"14","graph 1",NA,"LOT_2","WS",0.307692307692308
"15","graph 1",NA,"LOT_3","WS",0.366666666666667
"16","graph 1",NA,"LOT_4","WS",0.371428571428571
"17","graph 1",NA,"LOT_5","WS",0.34640522875817
"18","graph 1",NA,"LOT_6","WS",0.233333333333333
"19","graph 1",NA,"IPC_1","WS",0.16
"20","graph 1",NA,"IPC_2","WS",0.191666666666667
"21","graph 1",NA,"IPC_3","WS",0.256916996047431
"22","graph 1",NA,"IPC_4","WS",0.173684210526316
"23","graph 1",NA,"IPC_5","WS",0.237154150197628
"24","graph 1",NA,"IPC_6","WS",0.316017316017316
"25","graph 1",NA,"IPC_7","WS",0.253623188405797
"26","graph 1",NA,"IPC_8","WS",0.274853801169591
"27","graph 1",NA,"ses_1","WS",0.326153846153846
"28","graph 1",NA,"ses_2","WS",0.272727272727273
"29","graph 1",NA,"ses_3","WS",0.438095238095238
"30","graph 1",NA,"ses_4","WS",0.391812865497076
"31","graph 1",NA,"ses_5","WS",0.278947368421053
"32","graph 1",NA,"ses_6","WS",0.477124183006536
"33","graph 1",NA,"ses_7","WS",0.391812865497076
"34","graph 1",NA,"ses_8","WS",0.321052631578947
"35","graph 1",NA,"ses_9","WS",0.321637426900585
"36","graph 1",NA,"ses_10","WS",0.696969696969697
"37","graph 1",NA,"coreself_1","WS",0.4
"38","graph 1",NA,"coreself_2","WS",0.255411255411255
"39","graph 1",NA,"coreself_3","WS",0.296296296296296
"40","graph 1",NA,"coreself_4","WS",0.219354838709677
"41","graph 1",NA,"coreself_5","WS",0.389705882352941
"42","graph 1",NA,"coreself_6","WS",0.467532467532468
"43","graph 1",NA,"coreself_7","WS",0.323333333333333
"44","graph 1",NA,"coreself_8","WS",0.295384615384615
"45","graph 1",NA,"coreself_9","WS",0.442857142857143
"46","graph 1",NA,"coreself_10","WS",0.541666666666667
"47","graph 1",NA,"NPI1","WS",0.323529411764706
"48","graph 1",NA,"NPI2","WS",0.4
"49","graph 1",NA,"NPI3","WS",0.226315789473684
"50","graph 1",NA,"NPI4","WS",0.417582417582418
"51","graph 1",NA,"NPI5","WS",0.490909090909091
"52","graph 1",NA,"NPI6","WS",0.203333333333333
"53","graph 1",NA,"NPI7","WS",0.273684210526316
"54","graph 1",NA,"NPI8","WS",0.285714285714286
"55","graph 1",NA,"NPI9","WS",0.2
"56","graph 1",NA,"NPI10","WS",0.439393939393939
"57","graph 1",NA,"NPI11","WS",0.4
"58","graph 1",NA,"NPI12","WS",0.388888888888889
"59","graph 1",NA,"NPI13","WS",0.333333333333333
"60","graph 1",NA,"NPI14","WS",0.282051282051282
"61","graph 1",NA,"NPI15","WS",0.325
"62","graph 1",NA,"hsns_1","WS",0.347826086956522
"63","graph 1",NA,"hsns_2","WS",0.307359307359307
"64","graph 1",NA,"hsns_3","WS",0.367647058823529
"65","graph 1",NA,"hsns_4","WS",0.204678362573099
"66","graph 1",NA,"hsns_5","WS",0.344202898550725
"67","graph 1",NA,"hsns_6","WS",0.264705882352941
"68","graph 1",NA,"hsns_7","WS",0.345588235294118
"69","graph 1",NA,"hsns_8","WS",0.257142857142857
"70","graph 1",NA,"hsns_9","WS",0.158333333333333
"71","graph 1",NA,"hsns_10","WS",0.16551724137931
"72","graph 1",NA,"MorIden_1","WS",0.175438596491228
"73","graph 1",NA,"MorIden_2","WS",0.2
"74","graph 1",NA,"MorIden_3","WS",0.277777777777778
"75","graph 1",NA,"MorIden_4","WS",0.225
"76","graph 1",NA,"MorIden_5","WS",0.333333333333333
"77","graph 1",NA,"MorIden_6","WS",0.176470588235294
"78","graph 1",NA,"MorIden_7","WS",0.257142857142857
"79","graph 1",NA,"MorIden_8","WS",0.294871794871795
"80","graph 1",NA,"MorIden_9","WS",0.210526315789474
"81","graph 1",NA,"MorIden_10","WS",0.276190476190476
"82","graph 1",NA,"moralSeImag_1","WS",0.3
"83","graph 1",NA,"moralSeImag_2","WS",0.714285714285714
"84","graph 1",NA,"moralSeImag_3","WS",0.257309941520468
"85","graph 1",NA,"moralSeImag_4","WS",0.535714285714286
"86","graph 1",NA,"moralSeImag_5","WS",0.252380952380952
"87","graph 1",NA,"moralSeImag_6","WS",0.247619047619048
"88","graph 1",NA,"moralSeImag_7","WS",0.315789473684211
"89","graph 1",NA,"moralSeImag_8","WS",0.247619047619048
"90","graph 1",NA,"moralSeImag_9","WS",0.666666666666667
"91","graph 1",NA,"sde_1","WS",0.19047619047619
"92","graph 1",NA,"sde_2","WS",0.258461538461538
"93","graph 1",NA,"sde_3","WS",0.220779220779221
"94","graph 1",NA,"sde_4","WS",0.201058201058201
"95","graph 1",NA,"sde_5","WS",0.252380952380952
"96","graph 1",NA,"sde_6","WS",0.350769230769231
"97","graph 1",NA,"sde_7","WS",0.237154150197628
"98","graph 1",NA,"sde_8","WS",0.166153846153846
"99","graph 1",NA,"sde_9","WS",0.26
"100","graph 1",NA,"sde_10","WS",0.264516129032258
"101","graph 1",NA,"sde_11","WS",0.346153846153846
"102","graph 1",NA,"sde_12","WS",0.30718954248366
"103","graph 1",NA,"sde_13","WS",0.209486166007905
"104","graph 1",NA,"sde_14","WS",0.380952380952381
"105","graph 1",NA,"sde_15","WS",0.242424242424242
"106","graph 1",NA,"sde_16","WS",0.233618233618234
"107","graph 1",NA,"sde_17","WS",0.268398268398268
"108","graph 1",NA,"sde_18","WS",0.327485380116959
"109","graph 1",NA,"sde_19","WS",0.276190476190476
"110","graph 1",NA,"sde_20","WS",0.339181286549708
"111","graph 1",NA,"IM_1","WS",0.274853801169591
"112","graph 1",NA,"IM_2","WS",0.236559139784946
"113","graph 1",NA,"IM_3","WS",0.329004329004329
"114","graph 1",NA,"IM_4","WS",0.294372294372294
"115","graph 1",NA,"IM_5","WS",0.264957264957265
"116","graph 1",NA,"IM_6","WS",0.245014245014245
"117","graph 1",NA,"IM_7","WS",0.25296442687747
"118","graph 1",NA,"IM_8","WS",0.243333333333333
"119","graph 1",NA,"IM_9","WS",0.307359307359307
"120","graph 1",NA,"IM_10","WS",0.318681318681319
"121","graph 1",NA,"IM_11","WS",0.241830065359477
"122","graph 1",NA,"IM_12","WS",0.361904761904762
"123","graph 1",NA,"IM_13","WS",0.238095238095238
"124","graph 1",NA,"IM_14","WS",0.292397660818713
"125","graph 1",NA,"IM_15","WS",0.27
"126","graph 1",NA,"IM_16","WS",0.441666666666667
"127","graph 1",NA,"IM_17","WS",0.327485380116959
"128","graph 1",NA,"IM_18","WS",0.342857142857143
"129","graph 1",NA,"IM_19","WS",0.374269005847953
"130","graph 1",NA,"IM_20","WS",0.362573099415205
"131","graph 1",NA,"Ability","WS",0.237154150197628
"132","graph 1",NA,"Physical","WS",0.279411764705882
"133","graph 1",NA,"Material","WS",0.294117647058824
"134","graph 1",NA,"Social","WS",0.252631578947368
"135","graph 1",NA,"Moral","WS",0.193732193732194
"136","graph 1",NA,"SES2","WS",0.257142857142857
"137","graph 1",NA,"SES1","WS",0.418181818181818
"138","graph 1",NA,"ability_IAT","WS",0.266666666666667
"139","graph 1",NA,"moral_IAT","WS",0.285714285714286
"140","graph 1",NA,"ability_ALT_rt_val","WS",0
