"X","ParticipantID","Sex","Word","Word2","task_id","screen_id","Image","condition","word","identity","response","responses","correct_response","rt","correct","domain","valence","person","con","ID"
1,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","hexagon","坏我","好我","nonmatch","j","nonmatch","j","942",1,"moral","negative","self","moral_self_nonmatch","phase_010_subj_19"
2,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","ellipse","坏他","好他","nonmatch","f","match","j","1089",0,"moral","negative","friend","moral_friend_nonmatch","phase_010_subj_19"
3,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","triangle","好我","好我","match","f","match","f","800",1,"moral","positive","self","moral_self_match","phase_010_subj_19"
4,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","diamond","好他","好他","match","f","match","f","546",1,"moral","positive","friend","moral_friend_match","phase_010_subj_19"
5,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","ellipse","坏他","好我","nonmatch","j","nonmatch","j","705",1,"moral","negative","friend","moral_friend_nonmatch","phase_010_subj_19"
6,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","diamond","好他","好我","nonmatch","f","match","j","1049",0,"moral","positive","friend","moral_friend_nonmatch","phase_010_subj_19"
7,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","hexagon","坏我","坏他","nonmatch","f","match","j","1002",0,"moral","negative","self","moral_self_nonmatch","phase_010_subj_19"
8,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","hexagon","坏我","坏我","match","f","match","f","594",1,"moral","negative","self","moral_self_match","phase_010_subj_19"
9,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","hexagon","坏我","坏我","match","f","match","f","633",1,"moral","negative","self","moral_self_match","phase_010_subj_19"
10,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","diamond","好他","坏他","nonmatch","f","match","j","945",0,"moral","positive","friend","moral_friend_nonmatch","phase_010_subj_19"
11,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","ellipse","坏他","坏他","match","f","match","f","825",1,"moral","negative","friend","moral_friend_match","phase_010_subj_19"
12,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","triangle","好我","坏我","nonmatch","f","match","j","968",0,"moral","positive","self","moral_self_nonmatch","phase_010_subj_19"
13,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","triangle","好我","好我","match","j","nonmatch","f","1082",0,"moral","positive","self","moral_self_match","phase_010_subj_19"
14,576,"Male","[""好我"",""坏我"",""好他"",""坏他""]","[""强我"",""弱我"",""强他"",""弱他""]","prac_ALT2_moral","practice_moral","diamond","好他","好他","match","f","match","f","1016",1,"moral","positive","friend","moral_friend_match","phase_010_subj_19"
