Number,Prompt,Measure,Reverse
1,我的第一印象往往被证明是正确的。,SDE,FALSE
2,对我来说，要改变任何不良习惯都很难。,SDE,TRUE
3,我无意去知道别人到底对我有什么看法。,SDE,FALSE
4,我并不总是忠实于自己。,SDE,TRUE
5,我总是很明白自己为什么会喜欢某些东西。,SDE,FALSE
6,我在情绪激动的时候，思维会出偏差。,SDE,TRUE
7,我一旦下了决心，别人很少能使我改变主意。,SDE,FALSE
8,超速行驶时，我不是一个安全可靠的驾驶者。,SDE,TRUE
9,我牢牢地把握着自己命运。,SDE,FALSE
10,我很难抛开烦扰人的想法。,SDE,TRUE
11,我对自己的决定从不后悔。,SDE,FALSE
12,我有时因为犹豫不决而遭受损失。,SDE,TRUE
13,我之所以参加投票是因为它能起到作用。,SDE,FALSE
14,父母对我的责罚并非总是公平的。,SDE,TRUE
15,我是一个完全理智的人。,SDE,FALSE
16,我很少对别人的批评心怀感激。,SDE,TRUE
17,我对自己的判断非常自信。,SDE,FALSE
18,有的时候我怀疑自己充当情人的能力。,SDE,TRUE
19,假如有人正巧不喜欢我，这对我没什么。,SDE,FALSE
20,对于自己为什么要做某些事情，我并不总是十分明白。,SDE,TRUE
21,如果迫不得已，我有时说些谎话。,IM,TRUE
22,我从不掩盖自己的错误。,IM,FALSE
23,我有过利用别人的时候。,IM,TRUE
24,我从不咒骂别人。,IM,FALSE
25,我有时想以牙还牙，不想原谅或忘记了事。,IM,TRUE
26,我总是遵纪守法，即使不可能被发现也一样。,IM,FALSE
27,我曾在背后说过朋友的坏话。,IM,TRUE
28,当我看到别人进行私人谈话，我尽量避开以免听见。,IM,FALSE
29,我曾悄悄收下多找给我的钱。,IM,TRUE
30,在海关，我总是如数申报所有东西。,IM,FALSE
31,小的时候，我有时偷东西。,IM,TRUE
32,我从来不在街上扔脏东西。,IM,FALSE
33,我有时超速驾车。,IM,TRUE
34,我从来不看色情书刊。,IM,FALSE
35,我做过一些谁也不知道的事。,IM,TRUE
36,我从来不拿不属于自己的东西。,IM,FALSE
37,我曾经在并没生病时，向单位或学校请病假。,IM,TRUE
38,我从来没有损坏了图书馆的书或商店的东西而又不说的情况。,IM,FALSE
39,我有些很不好的习惯。,IM,TRUE
40,我不对别人的事情说长道短。,IM,FALSE
