SCCS,RSES,CSES,HSNS,NPI,LOT,SDE,IM,MI,MSI,IPC,Domain_Ability,Domain_Attraction,Domain_Wealth,Domain_Social,Domain_Moral,ability_ALT_rt,moral_ALT_rt,ability_ALT_d,moral_ALT_d,ability_IAT,moral_IAT,ability_SRET_EW,moral_SRET_EW,ability_SRET_rt,moral_SRET_rt,ability_SRET_RJ1_d,moral_SRET_RJ1_d,ability_SRET_RJ2_d,moral_SRET_RJ2_d
43,35,35,27,5,23,93,90,37,49,33,8,7,7,6,10,62.25,-22.4162234,1.439446701,0.361000253,0.669,0.699,9,10,48.4,-35.9,-0.517974477,0.242905003,0.791638608,0.229884118
44,33,41,23,11,26,116,102,43,59,37,9,7,6,9,9,-26.875,-2.922429078,0.285489169,-0.499848888,0.572,0.061,9,9,207.5,-384.9,-1.371873036,-1.341676662,-0.282972031,1.414969509
55,34,44,24,2,26,116,106,37,69,33,10,8,6,10,11,115.4791667,-13.17301587,1.566754145,0.64192904,0.704,-0.268,10,9,-1047.9,-683.8,0.942763035,-0.472789121,-0.637278728,0.10821097
55,36,45,19,2,25,113,105,45,65,33,9,8,6,10,12,46.42420213,6.643617021,0.246535974,0.306799567,0.237,0.453,6,6,3.6,64.1,0.821734088,-0.242905003,-0.517179066,0.948949292
23,23,21,38,1,23,50,103,42,40,26,3,4,2,3,11,-3.60106383,71.9822695,0.95331939,1.206646107,0.356,0.112,3,10,175.2,216,0,0,1.691431229,1.593218818
60,40,50,17,8,30,130,139,47,71,45,9,10,9,11,12,18.18173759,38.4375,0.954889715,0.24225465,0.442,0.274,9,10,512.3,99.3,1.217832509,-0.275069474,-0.331465727,-1.124732251
60,40,50,17,7,30,131,139,47,72,46,9,10,9,11,12,13,109.4791667,0.076422859,1.269268987,0.044,-0.2,10,8,153,15.5,0,-1.569592683,0.754217242,0.595748861
37,31,27,33,1,23,77,105,45,63,32,6,5,5,6,9,6.509692671,-65.01358696,0.565359606,-1.665099337,0.236,0.517,5,10,1102.9,31.3,0.747858595,0.624014441,1.246861784,0.918729068
36,31,40,39,8,20,96,102,47,65,38,9,7,8,10,11,20.60416667,57.48359929,0.234738833,1.328842513,0.712,0.573,4,3,-88.7,-67.7,0.517974477,-0.626829648,0.472789121,0.087468655
60,39,50,16,7,30,130,138,47,72,45,10,9,9,11,12,96.86702128,13.47916667,1.000234926,-1.081776904,0,0.319,9,9,-12.1,38.3,-1.096803562,-1.141988918,-0.589455798,-0.859630794
41,34,43,45,4,23,84,91,46,65,39,9,7,8,9,11,46.3125,27.83333333,0.99212467,-0.118161121,0.117,0.682,3,7,124.9,41.5,0.517974477,0.624014441,-0.229884118,-0.472789121
50,31,30,34,11,20,97,87,31,40,26,9,8,6,8,10,13.18528369,167.0833333,0.295301872,0.282922193,0.316,-0.531,0,9,1078.2,-1236.9,1.215864412,0.550138948,1.466128358,0.478645155
