"","ID","ability_SRET_EW","moral_SRET_EW"
"1","phase_003_subj_10",9,10
"2","phase_003_subj_11",9,9
"3","phase_003_subj_13",10,9
"4","phase_003_subj_2",6,6
"5","phase_003_subj_3",3,10
"6","phase_003_subj_4",9,10
"7","phase_003_subj_6",10,8
"8","phase_003_subj_8",5,10
"9","phase_003_subj_9",4,3
"10","phase_004_subj_1",9,9
"11","phase_004_subj_10",3,7
"12","phase_004_subj_11",0,9
"13","phase_004_subj_13",7,10
"14","phase_004_subj_15",9,10
"15","phase_004_subj_16",7,10
"16","phase_004_subj_18",9,10
"17","phase_004_subj_2",9,10
"18","phase_004_subj_3",5,10
"19","phase_004_subj_5",4,9
"20","phase_004_subj_8",8,10
"21","phase_005_subj_1",9,10
"22","phase_005_subj_10",9,10
"23","phase_005_subj_12",2,7
"24","phase_005_subj_13",3,3
"25","phase_005_subj_16",-2,-10
"26","phase_005_subj_18",8,10
"27","phase_005_subj_19",7,10
"28","phase_005_subj_2",7,9
"29","phase_005_subj_3",5,10
"30","phase_005_subj_4",7,10
"31","phase_005_subj_5",8,9
"32","phase_005_subj_7",8,8
"33","phase_005_subj_9",7,7
"34","phase_006_subj_1",9,9
"35","phase_006_subj_10",5,9
"36","phase_006_subj_17",10,9
"37","phase_006_subj_19",4,9
"38","phase_006_subj_2",5,9
"39","phase_006_subj_22",10,10
"40","phase_006_subj_23",5,8
"41","phase_006_subj_24",6,10
"42","phase_006_subj_25",7,10
"43","phase_006_subj_4",8,10
"44","phase_006_subj_5",6,10
"45","phase_006_subj_7",6,10
"46","phase_006_subj_8",4,10
"47","phase_007_subj_1",8,9
"48","phase_007_subj_10",9,10
"49","phase_007_subj_11",7,9
"50","phase_007_subj_12",5,10
"51","phase_007_subj_13",9,9
"52","phase_007_subj_16",7,10
"53","phase_007_subj_17",9,10
"54","phase_007_subj_18",10,10
"55","phase_007_subj_19",9,10
"56","phase_007_subj_21",7,10
"57","phase_007_subj_3",7,9
"58","phase_007_subj_4",10,9
"59","phase_007_subj_5",9,10
"60","phase_007_subj_6",8,10
"61","phase_007_subj_8",7,10
"62","phase_008_subj_1",8,10
"63","phase_008_subj_10",7,9
"64","phase_008_subj_11",8,10
"65","phase_008_subj_12",8,8
"66","phase_008_subj_13",8,10
"67","phase_008_subj_14",9,9
"68","phase_008_subj_15",9,10
"69","phase_008_subj_16",6,8
"70","phase_008_subj_17",10,10
"71","phase_008_subj_18",6,10
"72","phase_008_subj_19",9,9
"73","phase_008_subj_2",8,9
"74","phase_008_subj_20",5,10
"75","phase_008_subj_8",7,9
"76","phase_009_subj_1",10,10
"77","phase_009_subj_10",9,10
"78","phase_009_subj_11",7,9
"79","phase_009_subj_12",10,10
"80","phase_009_subj_13",8,9
"81","phase_009_subj_14",-1,2
"82","phase_009_subj_15",9,9
"83","phase_009_subj_16",9,10
"84","phase_009_subj_18",5,10
"85","phase_009_subj_19",9,9
"86","phase_009_subj_20",9,10
"87","phase_009_subj_21",5,10
"88","phase_009_subj_22",2,6
"89","phase_009_subj_23",7,10
"90","phase_009_subj_5",8,10
"91","phase_009_subj_6",3,8
"92","phase_009_subj_7",9,9
"93","phase_009_subj_8",6,9
"94","phase_009_subj_9",8,9
"95","phase_010_subj_1",2,9
"96","phase_010_subj_11",9,9
"97","phase_010_subj_12",5,9
"98","phase_010_subj_13",3,5
"99","phase_010_subj_16",2,10
"100","phase_010_subj_19",9,10
"101","phase_010_subj_2",5,7
"102","phase_010_subj_20",4,9
"103","phase_010_subj_21",7,8
"104","phase_010_subj_22",5,9
"105","phase_010_subj_24",7,9
"106","phase_010_subj_3",8,10
"107","phase_010_subj_6",6,10
"108","phase_010_subj_7",9,9
"109","phase_010_subj_9",8,9
"110","phase_011_subj_1",10,9
"111","phase_011_subj_10",3,10
"112","phase_011_subj_13",8,9
"113","phase_011_subj_14",0,8
"114","phase_011_subj_16",-2,9
"115","phase_011_subj_17",9,10
"116","phase_011_subj_18",8,8
"117","phase_011_subj_19",7,8
"118","phase_011_subj_2",4,9
"119","phase_011_subj_20",5,9
"120","phase_011_subj_22",9,10
"121","phase_011_subj_23",7,8
"122","phase_011_subj_24",7,8
"123","phase_011_subj_25",8,10
"124","phase_011_subj_3",9,10
"125","phase_011_subj_4",9,10
"126","phase_011_subj_5",9,10
"127","phase_011_subj_6",9,10
"128","phase_011_subj_7",8,9
"129","phase_011_subj_8",10,10
"130","phase_011_subj_9",7,9
"131","phase_012_subj_10",9,9
"132","phase_012_subj_11",6,9
"133","phase_012_subj_12",5,9
"134","phase_012_subj_13",5,9
"135","phase_012_subj_14",10,10
"136","phase_012_subj_15",8,9
"137","phase_012_subj_16",9,10
"138","phase_012_subj_17",9,10
"139","phase_012_subj_2",8,9
"140","phase_012_subj_20",-1,5
"141","phase_012_subj_21",8,10
"142","phase_012_subj_3",9,5
"143","phase_012_subj_4",8,9
"144","phase_012_subj_5",4,9
"145","phase_012_subj_6",5,9
"146","phase_012_subj_7",7,10
"147","phase_012_subj_8",10,10
"148","phase_013_subj_10",-4,8
"149","phase_013_subj_11",1,4
"150","phase_013_subj_13",8,10
"151","phase_013_subj_17",6,10
"152","phase_013_subj_18",8,10
"153","phase_013_subj_19",9,8
"154","phase_013_subj_2",8,6
"155","phase_013_subj_21",9,10
"156","phase_013_subj_22",6,10
"157","phase_013_subj_23",-8,6
"158","phase_013_subj_25",9,9
"159","phase_013_subj_26",8,4
"160","phase_013_subj_27",9,9
"161","phase_013_subj_28",7,10
"162","phase_013_subj_29",1,10
"163","phase_013_subj_30",5,7
"164","phase_013_subj_31",6,9
"165","phase_013_subj_32",6,10
"166","phase_013_subj_33",-5,5
"167","phase_013_subj_4",9,10
"168","phase_013_subj_5",9,9
"169","phase_013_subj_6",3,4
"170","phase_013_subj_7",5,8
"171","phase_013_subj_8",8,10
"172","phase_013_subj_9",10,10
"173","phase_014_subj_10",8,10
"174","phase_014_subj_11",-2,5
"175","phase_014_subj_12",9,9
"176","phase_014_subj_13",8,10
"177","phase_014_subj_16",6,9
"178","phase_014_subj_17",9,8
"179","phase_014_subj_18",9,10
"180","phase_014_subj_19",6,7
"181","phase_014_subj_21",7,10
"182","phase_014_subj_23",6,10
"183","phase_014_subj_27",10,9
"184","phase_014_subj_29",10,10
"185","phase_014_subj_31",-3,7
"186","phase_014_subj_32",9,10
"187","phase_014_subj_33",8,10
"188","phase_014_subj_34",9,7
"189","phase_014_subj_36",5,10
"190","phase_014_subj_37",8,10
"191","phase_014_subj_39",9,10
"192","phase_014_subj_4",-3,8
"193","phase_014_subj_40",8,10
"194","phase_014_subj_41",9,10
"195","phase_014_subj_42",7,9
"196","phase_014_subj_45",8,10
"197","phase_014_subj_48",9,9
"198","phase_014_subj_5",6,9
"199","phase_014_subj_50",9,9
"200","phase_014_subj_51",8,9
"201","phase_014_subj_53",5,9
"202","phase_014_subj_55",3,5
"203","phase_014_subj_59",2,4
"204","phase_014_subj_61",8,10
"205","phase_014_subj_8",10,10
"206","phase_014_subj_9",8,8
"207","phase_015_subj_1",-5,2
"208","phase_015_subj_10",9,9
"209","phase_015_subj_11",9,10
"210","phase_015_subj_12",9,10
"211","phase_015_subj_15",8,10
"212","phase_015_subj_16",0,6
"213","phase_015_subj_17",9,10
"214","phase_015_subj_18",1,9
"215","phase_015_subj_19",7,9
"216","phase_015_subj_2",6,10
"217","phase_015_subj_20",4,9
"218","phase_015_subj_21",8,10
"219","phase_015_subj_22",10,10
"220","phase_015_subj_23",10,10
"221","phase_015_subj_24",2,6
"222","phase_015_subj_25",-2,5
"223","phase_015_subj_26",7,8
"224","phase_015_subj_27",4,7
"225","phase_015_subj_28",7,10
"226","phase_015_subj_29",7,7
"227","phase_015_subj_3",-10,3
"228","phase_015_subj_30",8,6
"229","phase_015_subj_31",6,5
"230","phase_015_subj_32",9,9
"231","phase_015_subj_33",5,10
"232","phase_015_subj_34",8,10
"233","phase_015_subj_35",-5,1
"234","phase_015_subj_38",10,9
"235","phase_015_subj_39",6,7
"236","phase_015_subj_4",7,9
"237","phase_015_subj_40",9,6
"238","phase_015_subj_42",6,7
"239","phase_015_subj_43",5,8
"240","phase_015_subj_47",9,9
"241","phase_015_subj_48",3,9
"242","phase_015_subj_49",9,10
"243","phase_015_subj_5",9,8
"244","phase_015_subj_6",8,10
"245","phase_015_subj_7",8,10
"246","phase_015_subj_9",-4,9
"247","phase_016_subj_1",3,3
"248","phase_016_subj_10",6,9
"249","phase_016_subj_11",9,10
"250","phase_016_subj_13",10,9
"251","phase_016_subj_16",7,9
