"","MR4","MR2","MR1","MR3","MR5","MR6"
"ability_ALT_rt",-0.0514811310011326,0.00942056926801477,0.906053176550238,-0.00154499556665192,0.0217011192117389,0.00206340678929039
"moral_ALT_rt",0.665724110330484,-0.0405317869473866,0.0508258989016897,0.0609754120749151,0.0224699812654725,0.0181666761181441
"ability_ALT_d",0.0931032495885035,-0.0135354254936621,0.745762262205224,0.00602038281258053,-0.0395443201414274,-0.00129664877358752
"moral_ALT_d",1.00340172290479,0.0142600852827233,-0.0140189889277311,-0.0158356884074374,-0.00657607096014845,0.000438513041120003
"ability_IAT",0.0821047905497576,-0.061975871100164,0.0671112864440447,0.0689728206788905,0.380811821664562,-0.0394143413750247
"moral_IAT",-0.00497722781005691,0.00386430993842847,-0.00451156527911718,-0.00278067683399081,0.999226424959873,0.00651151184106554
"ability_SRET_EW",0.0149354908828728,0.0034478221241709,0.00909619730109651,0.98948322336609,0.0188087194658387,-0.0245543917221917
"moral_SRET_EW",-0.0543681442529276,-0.00491139785881653,-0.0304406017634059,0.622010562307408,-0.0720888380674879,0.0728356128090646
"ability_SRET_rt",-0.0656010347290437,0.639722550267476,-0.0170272169663347,0.0642548566998859,-0.0413503585332903,0.105399474575492
"moral_SRET_rt",0.0194039037679882,1.0040663125491,0.00578063337177383,-0.014367167188335,0.0110012977166781,-0.0254317789807414
"ability_SRET_RJ1_d",-0.0169016963806385,-0.0229971138133042,-0.0575963785099942,-0.0298894611256734,-0.0664795001409578,0.145508191233654
"moral_SRET_RJ1_d",-0.0369864465571953,0.000353714257075745,0.0070536761930819,-0.0409778594539432,0.0280697912332652,0.00808242687904492
"ability_SRET_RJ2_d",0.0165725187316745,-0.00346228025412755,-0.0102673916259998,0.00654809220980833,0.00809460173186654,0.850669720066808
"moral_SRET_RJ2_d",-0.0306141997021243,0.0234614825845971,0.0549934619389405,-0.0751242719124585,-0.0046964633348375,0.517031253688697
