"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","subj_idx","friend_name","ParticipantID","value","success","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","timeout","failed_images","failed_audio","failed_video","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","version_attrib","version_target","IAT","RT","varname","summary","version_attrib2","version_target2","question_order"
"17817","
   <p><div style = ""color: white;font-size:25px;"">您好，欢迎参加本次实验。</div> </p>
   <p><div style = ""color: white;font-size:25px;"">为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您未见过上述内容，请咨询实验员。</div></p>
   <p><div style = ""color: white;font-size:25px;"">如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</div></p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green;font-size:25px;""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","17822","0.0-0.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","17827","0.0-1.0-0.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17507","","{""friend_name"":""nyf"",""ParticipantID"":""448""}","survey-html-form","2","35336","0.0-1.0-1.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","3","62102","0.0-2.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","true","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31618.10000000149","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""2"",""Q09"":""3"",""Q10"":""3""}","survey-template","4","93724","0.0-3.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""2"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[7839.800000000745,9831.400000000373,13191,15271,16719.400000000373,19023,20022.800000000745,27246.900000000373,30038.700000001118,30870.700000001118]","[]","[7839.800000000745,9831.400000000373,13191,15271,16719.400000000373,18039.200000001118,19023,20022.800000000745,27246.900000000373,30038.700000001118,30870.700000001118,31615]","0.6","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31816","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""3"",""Q10"":""3""}","survey-template","5","125554","0.0-4.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""2"",""Q04"":""3"",""Q05"":""3"",""Q06"":""4"",""Q07"":""3"",""Q08"":""3"",""Q09"":""3"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[5182.800000000745,8870.800000000745,13070.400000000373,14206.400000000373,16022.400000000373,18270.60000000149,19934.200000001118,23086.200000001118,25094,30949.900000000373]","[]","[5182.800000000745,8870.800000000745,13070.400000000373,14206.400000000373,16022.400000000373,18270.60000000149,19934.200000001118,23086.200000001118,25094,30949.900000000373,31814.200000001118]","0.7","0.5555555555555556","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","6","127161","0.0-5.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","true","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","",""
"27990","","","instructions","7","155151","0.0-6.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":27990}]","","","","","","","","","","","","","","","","","","","","","","",""
"29019","","","instructions","8","184175","0.0-7.0-1.0-0.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":15211},{""page_index"":1,""viewing_time"":10143},{""page_index"":2,""viewing_time"":3664}]","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","psychophysics","9","186388","0.0-7.0-1.0-1.0-0.0-0.0","3","3","3","3","3","3","3","2","3","3","4","3","2","3","3","4","3","3","3","3","2","2","2","3","2","2","4","4","2","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","4","3","3","3","3","3","4","2","4","2","682886971621638144","nyf","448","","","","null","","","","","","","","","","","","","","key","null","16.760007633587687","680","380","f","false","match","img/hexagon.png","六边","六边","ALT1_2","prac_ALT1_2","","","","","","","","","",""
