Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.2251830101,,,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
怠惰,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/181.png,j,material/180.png,j,j,怠惰,犹豫,friend,friend,friend,2,2,2,material/180.png,,,,,,,,,,,,,,,,,0,0,0,79,,,,,,,,,,,,,,,1,2.84226703644,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
正直,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/9.png,j,material/109.png,j,j,正直,秉直,friend,friend,friend,1,1,1,material/109.png,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,5,2.02529287338,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
残虐,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/175.png,f,material/73.png,f,f,残虐,无情,self,self,self,1,1,1,material/73.png,,,,,,,,,,,,,,,,,0,2,2,85,,,,,,,,,,,,,,,3,1.74210381508,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
机灵,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/19.png,j,material/119.png,j,j,灵活,灵活,friend,friend,friend,2,2,2,material/19.png,,,,,,,,,,,,,,,,,0,3,3,18,,,,,,,,,,,,,,,2,1.69137907028,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
高效,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/169.png,f,material/171.png,f,f,颖悟,颖悟,self,self,self,2,2,2,material/169.png,,,,,,,,,,,,,,,,,0,4,4,70,,,,,,,,,,,,,,,5,1.95855283737,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
坚毅,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/10.png,j,material/110.png,j,j,坚毅,顽强,friend,friend,friend,1,1,1,material/110.png,,,,,,,,,,,,,,,,,0,5,5,9,,,,,,,,,,,,,,,5,1.95847201347,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
鲁钝,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/50.png,j,material/150.png,j,j,愚笨,愚笨,friend,friend,friend,2,2,2,material/50.png,,,,,,,,,,,,,,,,,0,6,6,49,,,,,,,,,,,,,,,3,1.64232397079,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
忠心,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/12.png,f,material/112.png,f,f,忠心,忠诚,self,self,self,1,1,1,material/112.png,,,,,,,,,,,,,,,,,0,7,7,11,,,,,,,,,,,,,,,3,1.7582461834,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
孝顺,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/161.png,f,material/164.png,f,f,奉献,勇敢,self,self,self,1,1,1,material/64.png,,,,,,,,,,,,,,,,,0,8,8,63,,,,,,,,,,,,,,,2,1.73299789429,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
卑鄙,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/37.png,j,material/137.png,j,j,卑鄙,无耻,friend,friend,friend,1,1,1,material/137.png,,,,,,,,,,,,,,,,,0,9,9,36,,,,,,,,,,,,,,,1,1.12439703941,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
诚信,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/5.png,f,material/105.png,f,f,诚信,守信,self,self,self,1,1,1,material/105.png,,,,,,,,,,,,,,,,,0,10,10,4,,,,,,,,,,,,,,,4,2.22522497177,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
自私,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/46.png,j,material/146.png,j,j,自私,小气,friend,friend,friend,1,1,1,material/146.png,,,,,,,,,,,,,,,,,0,11,11,45,,,,,,,,,,,,,,,1,1.42479205132,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
迟钝,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/53.png,f,material/153.png,f,f,迟缓,迟缓,self,self,self,2,2,2,material/53.png,,,,,,,,,,,,,,,,,0,12,12,52,,,,,,,,,,,,,,,1,2.57545495033,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
冷静,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/24.png,f,material/124.png,f,f,理智,理智,self,self,self,2,2,2,material/24.png,,,,,,,,,,,,,,,,,0,13,13,23,,,,,,,,,,,,,,,5,1.22529578209,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
盲目,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/55.png,f,material/155.png,f,f,盲从,盲从,self,self,self,2,2,2,material/55.png,,,,,,,,,,,,,,,,,0,14,14,54,,,,,,,,,,,,,,,1,1.64225697517,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
奸诈,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/42.png,f,material/142.png,f,f,奸诈,阴险,self,self,self,1,1,1,material/142.png,,,,,,,,,,,,,,,,,0,15,15,41,,,,,,,,,,,,,,,1,1.47511792183,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
无情,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/172.png,f,material/175.png,f,f,无情,浮夸,self,self,self,1,1,1,material/175.png,,,,,,,,,,,,,,,,,0,16,16,74,,,,,,,,,,,,,,,None,,,,,,,,,,moral_self_bias,02,20,60.0528036928,m,001,2018_Apr_02_0921,
