Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.34291887283,,,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
高尚,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/11.png,f,material/111.png,f,f,高尚,高雅,self,self,self,1,1,1,material/111.png,,,,,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,3,1.43307614326,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
机敏,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/18.png,j,material/118.png,j,j,敏锐,敏锐,friend,friend,friend,2,2,2,material/18.png,,,,,,,,,,,,,,,,,0,1,1,17,,,,,,,,,,,,,,,4,1.00630617142,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
迟钝,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/53.png,f,material/153.png,f,f,迟缓,迟缓,self,self,self,2,2,2,material/53.png,,,,,,,,,,,,,,,,,0,2,2,52,,,,,,,,,,,,,,,2,1.0534620285,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
虚荣,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/43.png,f,material/143.png,f,f,虚荣,拜金,self,self,self,1,1,1,material/143.png,,,,,,,,,,,,,,,,,0,3,3,42,,,,,,,,,,,,,,,3,1.52566099167,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
才尽,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/183.png,f,material/182.png,f,f,颓废,薄弱,self,self,self,2,2,2,material/79.png,,,,,,,,,,,,,,,,,0,4,4,81,,,,,,,,,,,,,,,4,2.09230995178,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
机智,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/16.png,j,material/116.png,j,j,睿智,睿智,friend,friend,friend,2,2,2,material/16.png,,,,,,,,,,,,,,,,,0,5,5,15,,,,,,,,,,,,,,,4,1.3922688961,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
勇敢,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/165.png,j,material/161.png,j,j,平等,独立,friend,friend,friend,1,1,1,material/61.png,,,,,,,,,,,,,,,,,0,6,6,60,,,,,,,,,,,,,,,4,0.791553020477,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
犹豫,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/78.png,f,material/181.png,f,f,厌学,草率,self,self,self,2,2,2,material/184.png,,,,,,,,,,,,,,,,,0,7,7,80,,,,,,,,,,,,,,,4,1.18795514107,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
残虐,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/175.png,f,material/73.png,f,f,残虐,无情,self,self,self,1,1,1,material/73.png,,,,,,,,,,,,,,,,,0,8,8,85,,,,,,,,,,,,,,,4,1.40250611305,,,,,,,,,moral_self_bias,08,22,59.9970532911,f,001,2018_Apr_02_1311,
