"","SCS","RSES","CSE","HSNS","NPI","LOT","SDE","IM","MI","MSI","IPC","Ability","Attraction","Wealth","Social","Moral","ability_ALT_rt","moral_ALT_rt","ability_ALT_d","moral_ALT_d","ability_IAT","moral_IAT","ability_SRET_EW","moral_SRET_EW","ability_SRET_rt","moral_SRET_rt","ability_SRET_RJ1_d","moral_SRET_RJ1_d","ability_SRET_RJ2_d","moral_SRET_RJ2_d"
"SCS",1,0.632130228221474,0.658323844841526,-0.551358420534855,0.1071960289022,0.64296487247715,0.738548263810299,0.610716826783236,0.511354378997943,0.296451217183019,0.492517428635793,0.318500779606978,0.306494818235989,0.368225029556782,0.380559852222452,0.28981426920499,-0.0606951560673878,-0.155156233525908,-0.0614729560700061,-0.144935772946962,-0.0116093093700594,-0.0853664499791031,0.189660853007135,0.186893032854613,0.0183979785378109,0.0139231757870727,0.0950665169072579,0.00888562287566047,-0.0536816085680505,-0.0188159347562387
"RSES",0.632130228221474,1,0.865360603846902,-0.497592005589471,0.240368279207633,0.739470930967581,0.708005952447038,0.525265283374665,0.55141835650438,0.369618995441434,0.614786999147247,0.576791472065032,0.455959498216871,0.474152273503288,0.547396689504354,0.489769435804296,0.0096844807865476,0.0126224367934216,0.0172785774220218,0.0116384285106092,0.0221080560272007,-0.0364693753906251,0.284368597598229,0.242728706599459,-0.00997223910125676,-0.0123706849457529,0.0454784888757495,0.100874706520657,-0.0300474664003443,-0.0412924457391629
"CSE",0.658323844841526,0.865360603846902,1,-0.652465740414991,0.309438373344908,0.713923233032253,0.828459050349482,0.577075776691502,0.527176798996772,0.472049051068188,0.698282648852215,0.644331369935593,0.555309457420753,0.541748802747368,0.603865339682584,0.540920239203752,0.0470587564711742,0.0370036166422281,0.0526485862420379,0.0296429429085108,0.10287474120375,-0.0242138069935642,0.402528460504336,0.273692473367242,-0.0448467397690335,-0.00936495106457329,0.0336805267829939,-0.0302475316073903,-0.0962979832249748,-0.0964197665396343
"HSNS",-0.551358420534855,-0.497592005589471,-0.652465740414991,1,-0.206499260543165,-0.455233562584698,-0.691890506062459,-0.552574521527467,-0.378835145589884,-0.453250033811272,-0.488358124349195,-0.429890547995445,-0.423541880475426,-0.367395568898573,-0.504634947896721,-0.42025437387508,-0.115887250987354,-0.00884138005397521,-0.0944286402542082,0.00235508714459678,-0.121138521414238,-0.0223373885621659,-0.407875898614672,-0.260732608542944,0.047227738919333,0.0355608717293863,-0.000420362309446588,0.0989365235821303,0.0983672292249661,0.035073015811362
"NPI",0.1071960289022,0.240368279207633,0.309438373344908,-0.206499260543165,1,0.194754820281389,0.275815378396667,0.0464220214543881,0.0919802208594022,0.212552830725991,0.276327328542605,0.465106522846661,0.471237372195411,0.373097291616844,0.474703268870881,0.282195132777064,0.0977488368240329,0.192125267850836,0.113665627048412,0.117347712039553,-0.00137009693063709,0.0755356687450722,0.214381465040654,0.030137722871942,-0.0559216108279408,-0.0819847905436675,0.0474077709544508,-0.113542562816002,-0.0898681541412744,-0.11396214660303
"LOT",0.64296487247715,0.739470930967581,0.713923233032253,-0.455233562584698,0.194754820281389,1,0.658157966882312,0.525865318887024,0.614142389687488,0.340216447205735,0.620651281314366,0.431801798928693,0.38757201701906,0.405857006086753,0.428064460100501,0.412348527094116,-0.0737427701136485,-0.0721602209847653,-0.036985835505273,-0.0573036497298403,0.0166365971110083,-0.00451126864366727,0.274472836132347,0.24138404476543,0.0630385447295805,0.0853149548904269,0.0392771095657515,0.0211917007531145,-0.0346360587082657,-0.0614797723811576
"SDE",0.738548263810299,0.708005952447038,0.828459050349482,-0.691890506062459,0.275815378396667,0.658157966882312,1,0.757578728363156,0.542403348784329,0.5266091417687,0.711269479357161,0.54248842803635,0.530914280624954,0.531038050344765,0.596769044053696,0.524979589821998,-0.0114179521323951,-0.00902579468684002,-0.00684642508004163,-0.0639751507916326,0.0722596089550883,-0.0445337582646326,0.416998768739437,0.265771593386146,-0.0169273858539994,-0.00660161242970741,0.0572103922129891,-0.071687216126976,-0.0936007818856345,-0.069399844682038
"IM",0.610716826783236,0.525265283374665,0.577075776691502,-0.552574521527467,0.0464220214543881,0.525865318887024,0.757578728363156,1,0.569328756133626,0.481505139100084,0.581166279013088,0.292289317188058,0.334658562499935,0.382584547160058,0.373537811262135,0.463748620676821,-0.101014103392822,-0.124915886716463,-0.0909337934120207,-0.145478951496735,0.0590285079996085,-0.00932324874128472,0.302628370633058,0.260528415398038,0.0716184898385704,0.0370098327136666,0.0149361602074245,0.0533979623747993,-0.0306050730474042,-0.025366069005633
"MI",0.511354378997943,0.55141835650438,0.527176798996772,-0.378835145589884,0.0919802208594022,0.614142389687488,0.542403348784329,0.569328756133626,1,0.408915247337879,0.561455778644003,0.319688845111028,0.301933424707573,0.350507817602369,0.322805567986758,0.460733681533021,-0.0814350799587688,-0.133421114606335,-0.0953898398729771,-0.103477060965398,-0.00336436407391815,-0.0132032205851615,0.283580142290173,0.242264196874561,0.0913984769278739,0.0707936771235129,-0.00125175415217716,-0.0113183793278583,0.0192934397461393,-0.0362165559952875
"MSI",0.296451217183019,0.369618995441434,0.472049051068188,-0.453250033811272,0.212552830725991,0.340216447205735,0.5266091417687,0.481505139100084,0.408915247337879,1,0.493005229688856,0.441255533624771,0.430940825613689,0.418077138252992,0.43802536801593,0.542604920401256,0.10619997294062,-0.0253591747478362,0.083274484991091,-0.0428454761289305,0.114831599654825,0.0779792707186045,0.454988050315903,0.308907720884794,0.149934652361423,0.117535597188373,-0.00633736345221121,-0.0929539165475856,-0.0541919591174066,-0.0974108894850178
"IPC",0.492517428635793,0.614786999147247,0.698282648852215,-0.488358124349195,0.276327328542605,0.620651281314366,0.711269479357161,0.581166279013088,0.561455778644003,0.493005229688856,1,0.500710871750527,0.526101899873092,0.517882513624721,0.550554984566215,0.475157573363107,0.000102673997127985,-0.00239052772401922,-0.016907645000632,-0.0373535949243057,0.13284766578481,0.0570316911442155,0.426022481121306,0.284002757842246,-0.000529644492019319,0.0183000415585068,-0.00897721783666301,-0.0589176301286595,-0.0899131168985108,-0.0892946813975641
"Ability",0.318500779606978,0.576791472065032,0.644331369935593,-0.429890547995445,0.465106522846661,0.431801798928693,0.54248842803635,0.292289317188058,0.319688845111028,0.441255533624771,0.500710871750527,1,0.682637317465629,0.634501832619998,0.657998513671452,0.616990758489386,0.182135874454631,0.161534989153825,0.161612819542144,0.0861988926005738,0.0999361694339117,0.0758578509120313,0.428555446638295,0.212788434983165,-0.0327239566044285,-0.0568128489728785,-0.00185212438522526,-0.118108457615387,-0.118697509725295,-0.156154264229966
"Attraction",0.306494818235989,0.455959498216871,0.555309457420753,-0.423541880475426,0.471237372195411,0.38757201701906,0.530914280624954,0.334658562499935,0.301933424707573,0.430940825613689,0.526101899873092,0.682637317465629,1,0.651246545787784,0.638908424278668,0.574243376452974,0.135620943336649,0.169851172653634,0.087446024703459,0.0838626478799309,0.0653230492912366,0.0890248277664527,0.392478771271456,0.179976164143282,-0.060198778762914,-0.066279644016708,-0.0274659079563573,-0.0811656631616426,-0.0685049556131087,-0.103602892318027
"Wealth",0.368225029556782,0.474152273503288,0.541748802747368,-0.367395568898573,0.373097291616844,0.405857006086753,0.531038050344765,0.382584547160058,0.350507817602369,0.418077138252992,0.517882513624721,0.634501832619998,0.651246545787784,1,0.619377389016527,0.472135172803606,0.0534416659614176,0.122672453861354,0.0396091083038144,0.0851604962378632,0.0436929050255473,-0.00382088748403165,0.393617670192907,0.186274730895965,-0.00554498423768516,-0.0403449471524965,-0.00374228025223063,-0.0981147054621585,-0.14173821584092,-0.141888680772768
"Social",0.380559852222452,0.547396689504354,0.603865339682584,-0.504634947896721,0.474703268870881,0.428064460100501,0.596769044053696,0.373537811262135,0.322805567986758,0.43802536801593,0.550554984566215,0.657998513671452,0.638908424278668,0.619377389016527,1,0.573556026153459,0.0792451481940716,0.111808788360249,0.0328963628768982,0.0669348422495933,0.0622427068811568,0.0010596893275975,0.330856158699634,0.144316728517976,-0.0494969691750454,-0.0621554542730237,0.00585036685698678,-0.0846757973998232,-0.150763918060439,-0.109215025629413
"Moral",0.28981426920499,0.489769435804296,0.540920239203752,-0.42025437387508,0.282195132777064,0.412348527094116,0.524979589821998,0.463748620676821,0.460733681533021,0.542604920401256,0.475157573363107,0.616990758489386,0.574243376452974,0.472135172803606,0.573556026153459,1,0.0521591074262183,0.0886120344563378,0.0175168051365446,0.0292342686847389,0.0231160763063508,0.0417595216241699,0.406336007274366,0.232230668510857,0.0151258828755324,-0.0211291318669992,-0.0024343463995494,-0.0747323574184592,-0.0705757165578296,-0.18617892431522
"ability_ALT_rt",-0.0606951560673878,0.0096844807865476,0.0470587564711742,-0.115887250987354,0.0977488368240329,-0.0737427701136485,-0.0114179521323951,-0.101014103392822,-0.0814350799587688,0.10619997294062,0.000102673997127985,0.182135874454631,0.135620943336649,0.0534416659614176,0.0792451481940716,0.0521591074262183,1,0.155866912933667,0.67660375450016,0.105365333009078,0.13938201197889,0.167542222635247,0.142760188804987,0.0278135112556497,-0.0395060195385848,0.00848415102752221,-0.087030643387516,-0.0236203093902578,-0.0450951517731491,-0.00924309678351709
"moral_ALT_rt",-0.155156233525908,0.0126224367934216,0.0370036166422281,-0.00884138005397521,0.192125267850836,-0.0721602209847653,-0.00902579468684002,-0.124915886716463,-0.133421114606335,-0.0253591747478362,-0.00239052772401922,0.161534989153825,0.169851172653634,0.122672453861354,0.111808788360249,0.0886120344563378,0.155866912933667,1,0.195222435764822,0.682032533298909,0.0934738656329831,0.0798234462512715,0.147480860077451,0.0199612488646532,-0.0780002324012205,-0.0551967250028395,-0.0566645301367033,-0.0581687804376874,0.00559784637323988,-0.0502240610468586
