"","Betweenness","Closeness","Strength","ExpectedInfluence"
"selfclarity_1",104,0.000164782473965105,0.970422298888871,0.850841308660794
"selfclarity_2",42,0.000157934381957101,1.21348220490556,1.06364706196195
"selfclarity_3",39,0.000169248961899986,0.719131044050311,0.419700026531087
"selfclarity_4",178,0.000183139025878749,1.17396089695737,1.17396089695737
"selfclarity_5",134,0.000180201714001927,0.975848791532746,0.912332485317164
"selfclarity_6",96,0.000169354253462257,0.952022836550726,0.864753290074224
"selfclarity_7",51,0.000172149493686605,0.778410911871161,0.67562368597093
"selfclarity_8",158,0.00016281460221296,1.19976178103625,1.02585865466498
"selfclarity_9",61,0.000157287458259406,1.10191216943977,0.813122796611414
"selfclarity_10",145,0.000178416706290294,1.03082198986157,0.569474450252693
"selfclarity_11",243,0.000181197475545884,1.1123622909904,1.08006529025454
"selfclarity_12",133,0.000176263277485199,1.15769756198435,1.09400413348164
"LOT_1",208,0.000190241027469814,0.867975541900306,0.834979824468822
"LOT_2",123,0.00017577181326948,0.864852051515207,0.732769878370916
"LOT_3",171,0.00018914436451374,1.10770266137276,1.10332223218691
"LOT_4",32,0.000165858289587447,0.900471756689701,0.738324827208858
"LOT_5",162,0.000172224356001324,1.10301066242563,1.10301066242563
"LOT_6",99,0.000189509843444163,0.780838236732736,0.599994327211105
"IPC_1",656,0.000223767659485107,1.54448379934016,0.713597334349234
"IPC_2",26,0.000206369576922436,0.657494240938215,0.493124424491998
"IPC_3",254,0.000208716877853122,1.05608960317022,1.05608960317022
"IPC_4",43,0.000181338924560865,0.560185056384173,0.478619675076865
"IPC_5",266,0.000204071167775337,1.13149455401808,1.02069383543364
"IPC_6",338,0.000206656925468483,1.08876458114374,1.06574017806123
"IPC_7",282,0.000202560736798207,1.14727394012364,1.03135198721909
"IPC_8",42,0.000185635639544462,0.866850585050532,0.755283799532393
"ses_1",93,0.000178232861106893,1.12396403375706,1.01867883243535
"ses_2",76,0.00017880503162798,0.917756364754951,0.912516322557552
"ses_3",38,0.000170149085451658,1.03596882950446,1.03596882950446
"ses_4",147,0.000177311431666199,0.902794283239679,0.890788358458601
"ses_5",142,0.000176260237682854,0.991106229047276,0.919839886319019
"ses_6",35,0.00017368379602835,1.03144435695086,1.03144435695086
"ses_7",104,0.000182165793883598,1.05144509462347,1.05144509462347
"ses_8",2,0.00014465603195185,0.606326475091561,0.504585043659561
"ses_9",161,0.000179433569840999,1.06226154863567,1.03163176455963
"ses_10",102,0.000174194233681699,0.981865940212957,0.94526454874948
"coreself_1",145,0.00018549781235068,1.14989281811121,1.14989281811121
"coreself_2",462,0.000198890720415179,1.22155036507923,0.708340842994063
"coreself_3",110,0.000191186890901954,1.21798750424597,0.634229336832137
"coreself_4",236,0.000194911337089835,1.1206674479194,1.03502001021307
"coreself_5",137,0.000186008021113778,0.956101029967793,0.918113187918512
"coreself_6",146,0.000186419311898248,1.20119128874283,1.17406707257146
"coreself_7",234,0.000186302874459576,1.26825199131979,1.14196834774996
"coreself_8",98,0.00018769273101788,1.2120191329017,0.984756239178938
"coreself_9",159,0.000191012499063065,1.05691711818733,1.04553702483689
"coreself_10",76,0.000172690406581987,1.06275320866548,0.976074899947156
"NPI1",165,0.000169576759753715,0.898385213808343,0.672563366849117
"NPI2",32,0.000164670742727273,1.11349739103228,1.08401472256133
"NPI3",282,0.000181973247059753,1.1939925044721,1.06627986478587
"NPI4",47,0.000164098601034681,0.99039617564021,0.906638810542836
"NPI5",262,0.000175074716614825,0.904063123180417,0.763825056532202
"NPI6",354,0.000182418606366618,0.906839758024262,0.316248577505969
"NPI7",227,0.000207088856583608,0.903866597202079,0.732739293861896
"NPI8",196,0.000169516264773951,0.767256507627135,0.767256507627135
"NPI9",126,0.000179245526527318,0.53279897716849,0.0936438745476534
"NPI10",101,0.000167925526328974,1.07120986324561,0.995082756125825
"NPI11",79,0.000168519079960691,0.964708170880061,0.902980368307169
"NPI12",0,0.00011551159208573,0.243765009776941,0.223920364150022
"NPI13",107,0.000168118413724859,0.593551538741403,0.557669617428829
"NPI14",19,0.000148162626286962,0.295329463398038,0.224287456713512
"NPI15",136,0.000177535541833194,0.995771878955121,0.907289127866143
"hsns_1",173,0.000186276086887483,0.923660238962118,0.875099524015077
"hsns_2",432,0.000206498259178729,1.0925327517445,-0.674906071352899
"hsns_3",14,0.00018756555499986,0.828736994639249,-0.349786140733017
"hsns_4",146,0.00018742979446839,0.724982089546444,-0.455991390536077
"hsns_5",271,0.000204885245170736,1.06731732401672,-0.422200932455961
"hsns_6",472,0.000195741902346942,0.880143179827599,0.160166114615367
"hsns_7",127,0.000177610411279307,0.843456622978929,-0.192021307635977
"hsns_8",41,0.000178722894971566,0.781437783946001,-0.110296820103921
"hsns_9",143,0.000194064346587638,0.776651310456286,0.340259031161066
"hsns_10",273,0.000190388694871817,1.12266026992942,-0.459166796623618
"MorIden_1",589,0.000202215042783589,0.96470882324676,0.871393650109071
"MorIden_2",19,0.00016799490426073,0.945991246580624,0.779817821711092
"MorIden_3",50,0.000179864940309407,0.571775354079847,0.393798746329218
"MorIden_4",4,0.000153666462135203,0.648485580112313,0.443806162284142
"MorIden_5",321,0.000179053032495712,1.15293449751137,1.00928334979552
"MorIden_6",152,0.000188125217997502,0.951106060136459,0.690178809408016
"MorIden_7",127,0.000182034905407059,1.03675557897872,0.932059020712907
"MorIden_8",80,0.000181703606711187,0.918783764351223,0.826600173554253
"MorIden_9",154,0.000181781162118614,1.03222959627443,0.787840228001426
"MorIden_10",196,0.000188928288588611,0.949874818193037,0.935184183109792
"moralSeImag_1",187,0.000157919870737986,1.09231241451892,1.09231241451892
"moralSeImag_2",86,0.000154819151856306,1.01695646032035,0.876276243855882
"moralSeImag_3",116,0.000165545315655029,1.07136452599168,1.04689120023891
"moralSeImag_4",77,0.000154448511126587,1.03117632003854,0.971281064683346
"moralSeImag_5",172,0.000162151451784939,1.04266956538137,1.04266956538137
"moralSeImag_6",137,0.000160205182020267,0.908675928658554,0.865656522100855
"moralSeImag_7",16,0.000155214370446261,1.10297181254185,1.07553861911063
"moralSeImag_8",343,0.000168710050764395,1.14547193406178,1.07696823004954
"moralSeImag_9",149,0.000159851244843207,1.0939567678593,0.940364265906926
"sde_1",104,0.000193236866721618,0.737629238361396,0.737629238361396
"sde_2",289,0.000196381167816014,1.01542416493056,0.721023741869984
"sde_3",198,0.000195295282016825,1.11327893642948,0.540415613571647
"sde_4",147,0.000201644348870359,0.94627710128464,0.94627710128464
"sde_5",296,0.000195802983753819,1.03328148337589,0.980242936368836
"sde_6",214,0.000203719352545234,1.35990336893628,0.791222336290487
"sde_7",186,0.000197568222414152,0.922166397158361,0.830727154572888
"sde_8",158,0.000195984987363448,0.800124217583074,-0.463989783422663
"sde_9",231,0.00020922401306151,1.1565271299504,1.1565271299504
"sde_10",257,0.000204417248544575,1.26587461236229,0.408471928799126
"sde_11",437,0.000216160537215461,1.13468577966052,1.13148091704028
"sde_12",194,0.000204822928354851,1.2047741476213,1.00266764687395
"sde_13",413,0.000213455786387666,1.06560749521276,0.506825248561556
"sde_14",18,0.000175317997497949,0.86633782975383,0.359672110748459
"sde_15",149,0.000208239457198162,1.05253230708166,1.00904055319967
"sde_16",80,0.000188359863452398,0.976461329995329,0.576592480953029
"sde_17",394,0.000215202379423621,1.17177201206188,1.17177201206188
"sde_18",27,0.00018124407893058,0.827908820554703,0.319958782682344
"sde_19",263,0.000198920203649533,0.871756517742638,0.484783745145419
"sde_20",497,0.000206209595963913,1.20986742659087,0.954127101513169
"IM_1",266,0.000206878782679916,1.11631482340785,1.11631482340785
"IM_2",372,0.000205562630227468,1.20238884035637,1.11149418766653
"IM_3",444,0.000210379789663123,1.28030398542885,0.705825906990018
"IM_4",463,0.000203688371666811,1.38141068170233,0.992176800501022
"IM_5",23,0.00018693119399661,1.0850200830231,0.689498765494678
