"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","view_history","identity","duration","Image","condition","question_order"
"917","","f","psychophysics","2115","3496433","0.0-10.0-0.1-4.1-0.7-0.289","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","match","","","","","","","","","ALT2","moral","","key","f","16.652833333335973","640","356","","坏她","","","","j","false","","","nonmatch","","img/circle.png","好她",""
"null","<span style='color:red; font-size: 70px;'>错误! </span>","null","html-keyboard-response","2116","3496938","0.0-10.0-0.1-4.1-0.7-1.289","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","","","","","","","","","",""
"889","","j","psychophysics","2117","3498841","0.0-10.0-0.1-4.1-0.7-0.290","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","nonmatch","","","","","","","","","ALT2","moral","","key","j","16.65132743362914","640","356","","好她","","","","j","true","","","nonmatch","","img/diamond.png","好我",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","2118","3499344","0.0-10.0-0.1-4.1-0.7-1.290","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","","","","","","","","","",""
"821","","j","psychophysics","2119","3501170","0.0-10.0-0.1-4.1-0.7-0.291","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","nonmatch","","","","","","","","","ALT2","moral","","key","j","16.652962962963134","640","356","","坏我","","","","j","true","","","nonmatch","","img/circle.png","好她",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","2120","3501679","0.0-10.0-0.1-4.1-0.7-1.291","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","","","","","","","","","",""
"935","","j","psychophysics","2121","3503701","0.0-10.0-0.1-4.1-0.7-0.292","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","nonmatch","","","","","","","","","ALT2","moral","","key","j","16.652999999998915","640","356","","好我","","","","j","true","","","nonmatch","","img/pentagon.png","坏我",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","2122","3504207","0.0-10.0-0.1-4.1-0.7-1.292","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","","","","","","","","","",""
"819","","f","psychophysics","2123","3506035","0.0-10.0-0.1-4.1-0.7-0.293","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","match","","","","","","","","","ALT2","moral","","key","f","16.652962962963134","640","356","","好她","","","","f","true","","","match","","img/circle.png","好她",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","2124","3506550","0.0-10.0-0.1-4.1-0.7-1.293","7","5","6","6","5","2","5","4","4","5","4","-3","-2","0","-2","1","2","2","-1","4","5","4","5","4","4","5","4","5","4","8","6","5","7","8","9","5","7","8","2","7","2","7","5","7","2","7","5","6","7","5","2","7","5","6","5","7","7","3","3","6","3","7","7","5","7","6","6","6","6","5","7","2","5","5","7","6","7","7","633791437602816000","王","394","Female","[""坏我"",""坏她"",""好我"",""好她""]","[""弱我"",""弱她"",""强我"",""强她""]","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","","","","","","","","","","","","","",""
