"","subj_idx","LOT","score"
"1",613040465838604288,"1",4
"2",613040465838604288,"2",3
"3",613040465838604288,"3",4
"4",613040465838604288,"4",5
"5",613040465838604288,"5",4
"6",613040465838604288,"6",5
"7",703157170715230208,"1",4
"8",703157170715230208,"2",2
"9",703157170715230208,"3",2
"10",703157170715230208,"4",4
"11",703157170715230208,"5",4
"12",703157170715230208,"6",4
"13",718754642447564800,"1",4
"14",718754642447564800,"2",4
"15",718754642447564800,"3",3
"16",718754642447564800,"4",3
"17",718754642447564800,"5",3
"18",718754642447564800,"6",5
"19",728341831389020160,"1",5
"20",728341831389020160,"2",4
"21",728341831389020160,"3",5
"22",728341831389020160,"4",5
"23",728341831389020160,"5",5
"24",728341831389020160,"6",5
"25",732226150302224384,"1",4
"26",732226150302224384,"2",3
"27",732226150302224384,"3",4
"28",732226150302224384,"4",3
"29",732226150302224384,"5",4
"30",732226150302224384,"6",5
"31",735606541780258816,"1",3
"32",735606541780258816,"2",3
"33",735606541780258816,"3",4
"34",735606541780258816,"4",5
"35",735606541780258816,"5",5
"36",735606541780258816,"6",4
"37",742402460798423040,"1",5
"38",742402460798423040,"2",2
"39",742402460798423040,"3",3
"40",742402460798423040,"4",4
"41",742402460798423040,"5",5
"42",742402460798423040,"6",5
"43",745398419547492352,"1",5
"44",745398419547492352,"2",5
"45",745398419547492352,"3",4
"46",745398419547492352,"4",5
"47",745398419547492352,"5",5
"48",745398419547492352,"6",4
"49",746397539082964992,"1",3
"50",746397539082964992,"2",2
"51",746397539082964992,"3",2
"52",746397539082964992,"4",2
"53",746397539082964992,"5",3
"54",746397539082964992,"6",5
"55",755507503227473920,"1",4
"56",755507503227473920,"2",3
"57",755507503227473920,"3",4
"58",755507503227473920,"4",4
"59",755507503227473920,"5",5
"60",755507503227473920,"6",4
