"","clustWS","signed_clustWS","clustZhang","signed_clustZhang","clustOnnela","signed_clustOnnela","clustBarrat"
"sl_1",0.282608695652174,0.282608695652174,0.0393873554822692,0.0393873554822692,0.0108239758444457,0.0108239758444457,0.335640514497945
"sl_2",0.315789473684211,0.315789473684211,0.055622534149768,0.055622534149768,0.0131912362181614,0.0131912362181614,0.396320404555946
"sl_3",0.380116959064327,0.380116959064327,0.02470325767176,0.02470325767176,0.0146492486022253,0.0146492486022253,0.424999226642643
"sl_4",0.342857142857143,0.342857142857143,0.0153030558835959,0.0153030558835959,0.013410697754092,0.013410697754092,0.363334784135704
"sl_5",0.29047619047619,0.29047619047619,0.0308563212401,0.0308563212401,0.0133596540298372,0.0133596540298372,0.35382740394678
"sl_6",0.30952380952381,0.30952380952381,0.0362417000132038,0.0362417000132038,0.0108209698262587,0.0108209698262587,0.313619453706056
"sl_7",0.330882352941176,0.330882352941176,0.0221008697516363,0.0221008697516363,0.0137919040412395,0.0137919040412395,0.36336117014849
"sl_8",0.340659340659341,0.340659340659341,0.0596145607620401,0.0596145607620401,0.0202995242344674,0.0202995242344674,0.47789746474299
"sl_9",0.380952380952381,0.380952380952381,0.0731887823745542,0.0731887823745542,0.0209743262787849,0.0209743262787849,0.469779984903821
"sl_10",0.476190476190476,0.476190476190476,0.0209755613326029,0.0209755613326029,0.0202418110633634,0.0202418110633634,0.46306817876351
"sl_11",0.35,0.35,0.0334906285385293,0.0334906285385293,0.0191064404919012,0.0191064404919012,0.432969834279203
"sl_12",0.300395256916996,0.300395256916996,0.0211459976228839,0.0211459976228839,0.0122491256125886,0.0122491256125886,0.331855374780586
"LOT_1",0.308333333333333,0.308333333333333,0.0197286038362944,0.0197286038362944,0.0134416188573379,0.0134416188573379,0.368147694686232
"LOT_2",0.307692307692308,0.307692307692308,0.01974957930849,0.01974957930849,0.0105843182988314,0.0105843182988314,0.335092148522658
"LOT_3",0.366666666666667,0.366666666666667,0.0230815903290643,0.0230815903290643,0.0128487732409026,0.0128487732409026,0.384676401447775
"LOT_4",0.371428571428571,0.371428571428571,0.0296322598504851,0.0296322598504851,0.0154456153448777,0.0154456153448777,0.461957606765323
"LOT_5",0.34640522875817,0.34640522875817,0.0200912568953411,0.0200912568953411,0.013345488699802,0.013345488699802,0.399290087590521
"LOT_6",0.233333333333333,0.233333333333333,0.0222331547319102,0.0222331547319102,0.0100135884009089,0.0100135884009089,0.329695589685074
