"","graph","type","node","measure","value"
"1","graph 1",NA,"selfclarity_1","Betweenness",-0.250375670536371
"2","graph 1",NA,"selfclarity_2","Betweenness",-0.575600297429965
"3","graph 1",NA,"selfclarity_3","Betweenness",-1.01600864634837
"4","graph 1",NA,"selfclarity_4","Betweenness",1.42317605535358
"5","graph 1",NA,"selfclarity_5","Betweenness",-0.440090036224301
"6","graph 1",NA,"selfclarity_6","Betweenness",-0.812743254539877
"7","graph 1",NA,"selfclarity_7","Betweenness",-1.0837637769512
"8","graph 1",NA,"selfclarity_8","Betweenness",0.0274203649352401
"9","graph 1",NA,"selfclarity_9","Betweenness",-1.03633518552922
"10","graph 1",NA,"selfclarity_10","Betweenness",-0.0267837395470255
"11","graph 1",NA,"selfclarity_11","Betweenness",-0.0064572003661759
"12","graph 1",NA,"selfclarity_12","Betweenness",0.251012295924586
"13","graph 1",NA,"LOT_1","Betweenness",-0.12164092239099
"14","graph 1",NA,"LOT_2","Betweenness",-0.941478002685257
"15","graph 1",NA,"LOT_3","Betweenness",-0.0742123309690079
"16","graph 1",NA,"LOT_4","Betweenness",-0.921151463504408
"17","graph 1",NA,"LOT_5","Betweenness",-0.616253375791664
"18","graph 1",NA,"LOT_6","Betweenness",-1.02278415940866
"19","graph 1",NA,"IPC_1","Betweenness",4.23501397537111
"20","graph 1",NA,"IPC_2","Betweenness",-0.412987983983168
"21","graph 1",NA,"IPC_3","Betweenness",1.08440040233942
"22","graph 1",NA,"IPC_4","Betweenness",0.149379600020338
"23","graph 1",NA,"IPC_5","Betweenness",-0.433314523164017
"24","graph 1",NA,"IPC_6","Betweenness",2.20913557034643
"25","graph 1",NA,"IPC_7","Betweenness",2.65631943232512
"26","graph 1",NA,"IPC_8","Betweenness",-0.934702489624974
"27","graph 1",NA,"ses_1","Betweenness",1.19958412436423
"28","graph 1",NA,"ses_2","Betweenness",-0.352008366440619
"29","graph 1",NA,"ses_3","Betweenness",-1.07698826389092
"30","graph 1",NA,"ses_4","Betweenness",-0.0945388701498575
"31","graph 1",NA,"ses_5","Betweenness",0.17648165226147
"32","graph 1",NA,"ses_6","Betweenness",-0.623028888851947
"33","graph 1",NA,"ses_7","Betweenness",-0.202947079114389
"34","graph 1",NA,"ses_8","Betweenness",-0.758539150057611
"35","graph 1",NA,"ses_9","Betweenness",-0.419763497043451
"36","graph 1",NA,"ses_10","Betweenness",-0.812743254539877
"37","graph 1",NA,"coreself_1","Betweenness",-0.636579914972513
"38","graph 1",NA,"coreself_2","Betweenness",0.908237062772056
"39","graph 1",NA,"coreself_3","Betweenness",-0.772090176178177
"40","graph 1",NA,"coreself_4","Betweenness",-0.128416435451273
"41","graph 1",NA,"coreself_5","Betweenness",-0.934702489624974
"42","graph 1",NA,"coreself_6","Betweenness",-0.595926836610814
"43","graph 1",NA,"coreself_7","Betweenness",-0.155518487692406
"44","graph 1",NA,"coreself_8","Betweenness",-0.209722592174672
"45","graph 1",NA,"coreself_9","Betweenness",-0.12164092239099
"46","graph 1",NA,"coreself_10","Betweenness",-0.514620679887416
"47","graph 1",NA,"NPI1","Betweenness",-0.236824644415805
"48","graph 1",NA,"NPI2","Betweenness",-0.446865549284584
"49","graph 1",NA,"NPI3","Betweenness",1.34864541169046
"50","graph 1",NA,"NPI4","Betweenness",0.339093965708267
"51","graph 1",NA,"NPI5","Betweenness",-1.25992711651857
"52","graph 1",NA,"NPI6","Betweenness",0.765951288506109
"53","graph 1",NA,"NPI7","Betweenness",-0.270702209717221
