"","from","to","edgebetweenness"
"8737","hsns_9","ability_ALT_rt_ref",377
"1120","ability_ALT_rt_ref","ability_ALT_d_ref",376
"456","IM_4","IM_15",339
"3421","IPC_6","IPC_7",332
"1144","ability_ALT_d_ref","moral_ALT_d_ref",328
"8091","hsns_2","Social",315
"5818","selfclarity_4","sde_4",311
"3882","ses_1","MorIden_1",306
"8701","hsns_9","sde_19",305
"6162","selfclarity_4","IM_15",302
"2797","IPC_1","sde_9",301
"10863","sde_11","sde_12",300
"8064","hsns_2","sde_19",293
"6570","NPI3","NPI15",286
"2841","IPC_1","ability_IAT",278
"2999","IPC_3","IPC_6",264
"6577","NPI3","hsns_6",262
"1095","ability_ALT_rt_val","ability_ALT_rt_ref",260
"3085","IPC_3","sde_11",251
"9842","moralSeImag_3","Moral",244
"2715","IPC_1","IPC_7",243
"453","IM_4","IM_12",232
"6677","NPI4","NPI11",232
"10535","sde_5","sde_20",232
"10476","sde_4","sde_20",230
"1128","moral_ALT_rt_ref","moral_ALT_d_ref",227
"3443","IPC_6","coreself_9",225
"1919","LOT_1","sde_13",221
"10874","sde_11","IM_2",220
"9172","MorIden_5","MorIden_9",218
"3181","IPC_4","NPI15",213
"8835","MorIden_1","MorIden_3",208
"10978","sde_13","IM_3",204
"1011","Social","Moral",203
"8054","hsns_2","sde_10",196
"9563","MorIden_10","moralSeImag_1",194
"10868","sde_11","sde_17",194
"6956","NPI6","IM_3",193
"3142","IPC_4","IPC_7",192
"4438","ses_5","sde_4",192
"8922","MorIden_2","MorIden_5",189
"3836","ses_1","ses_4",186
"4884","selfclarity_4","selfclarity_10",180
"5294","coreself_2","hsns_6",180
"8013","hsns_2","hsns_3",179
"6349","NPI1","hsns_2",178
"322","IM_1","IM_3",175
"9290","MorIden_6","IM_4",175
"2826","IPC_1","IM_15",174
"9331","MorIden_7","MorIden_9",173
"10160","moralSeImag_8","IM_1",171
"995","Material","SES2",166
"3077","IPC_3","sde_4",164
"7105","NPI8","NPI11",164
"8144","hsns_3","sde_6",159
"1105","moral_ALT_rt_val","moral_ALT_rt_ref",157
"4639","ses_7","coreself_6",156
"8837","MorIden_1","MorIden_5",155
"1629","selfclarity_2","selfclarity_8",154
"2801","IPC_1","sde_13",154
"4738","ses_7","Ability",154
"10413","sde_3","sde_19",154
"10007","moralSeImag_6","sde_4",152
"7896","NPI15","Ability",151
"56","sde_15","IM_6",150
"3365","IPC_5","sde_9",150
"1071","ability_IAT","moral_IAT",148
"5290","coreself_2","hsns_2",148
"7694","selfclarity_1","selfclarity_8",148
"6346","NPI1","NPI14",146
"6454","NPI2","NPI10",146
"6902","NPI6","hsns_4",144
"7054","NPI7","sde_15",144
"812","IM_15","IM_17",143
"9790","moralSeImag_3","moralSeImag_8",143
"46","sde_15","sde_17",142
"4887","ses_9","ses_10",142
"7261","NPI9","sde_13",142
"10410","sde_3","sde_16",142
"6671","NPI4","NPI6",141
"6446","NPI2","NPI3",139
"10286","sde_1","sde_17",139
"3620","IPC_7","MorIden_9",138
"957","Ability","Moral",137
"75","sde_15","Material",136
"1043","SES2","SES1",136
"1129","ability_SRET_EW","moral_SRET_EW",136
"2710","IPC_1","IPC_2",134
"3875","ses_1","hsns_4",134
"9332","MorIden_7","MorIden_10",134
"9859","moralSeImag_4","moralSeImag_6",134
"785","IM_14","IM_16",130
"3777","IPC_8","sde_9",130
"3971","ses_2","ses_5",128
"9169","MorIden_5","MorIden_6",127
"531","IM_6","IM_16",126
"2270","LOT_4","LOT_5",126
"10918","sde_12","sde_14",125
"698","IM_11","IM_16",123
"955","Ability","Material",123
"5268","coreself_2","coreself_7",122
"9650","selfclarity_7","selfclarity_10",122
"724","IM_12","IM_13",121
"1514","selfclarity_11","selfclarity_12",121
"2847","IPC_1","ability_SRET_EW",121
"524","IM_6","IM_10",120
"841","IM_16","IM_20",119
"1640","selfclarity_2","selfclarity_9",119
"10701","sde_8","sde_13",119
"1712","selfclarity_12","NPI7",117
