"","ParticipantID","Sex","Word","Word2","task_id","screen_id","Image","condition","word","identity","response","responses","correct_response","rt","correct","domain","valence","person","con","ID"
"1",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","hexagon","坏我","坏我","match","f","match","f","1074",1,"moral","negative","self","moral_self_match","phase_007_subj_17"
"2",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","triangle","好我","好我","match","j","nonmatch","f","835",0,"moral","positive","self","moral_self_match","phase_007_subj_17"
"3",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","坏她","match","null","null","f","null",NA,"moral","negative","friend","moral_friend_match","phase_007_subj_17"
"4",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","hexagon","坏我","坏我","match","f","match","f","1078",1,"moral","negative","self","moral_self_match","phase_007_subj_17"
"5",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","triangle","好我","坏我","nonmatch","f","match","j","1101",0,"moral","positive","self","moral_self_nonmatch","phase_007_subj_17"
"6",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","好我","nonmatch","null","null","j","null",NA,"moral","negative","friend","moral_friend_nonmatch","phase_007_subj_17"
"7",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","triangle","好我","坏她","nonmatch","f","match","j","1179",0,"moral","positive","self","moral_self_nonmatch","phase_007_subj_17"
"8",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","triangle","好我","好她","nonmatch","f","match","j","1025",0,"moral","positive","self","moral_self_nonmatch","phase_007_subj_17"
"9",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","坏她","nonmatch","f","match","j","1056",0,"moral","positive","friend","moral_friend_nonmatch","phase_007_subj_17"
"10",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","坏我","nonmatch","j","nonmatch","j","871",1,"moral","negative","friend","moral_friend_nonmatch","phase_007_subj_17"
"11",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","好她","match","f","match","f","1008",1,"moral","positive","friend","moral_friend_match","phase_007_subj_17"
"12",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","好她","match","f","match","f","1040",1,"moral","positive","friend","moral_friend_match","phase_007_subj_17"
"13",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","hexagon","坏我","坏我","match","j","nonmatch","f","1116",0,"moral","negative","self","moral_self_match","phase_007_subj_17"
"14",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","hexagon","坏我","坏她","nonmatch","null","null","j","null",NA,"moral","negative","self","moral_self_nonmatch","phase_007_subj_17"
"15",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","hexagon","坏我","好她","nonmatch","f","match","j","1107",0,"moral","negative","self","moral_self_nonmatch","phase_007_subj_17"
"16",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","好我","nonmatch","j","nonmatch","j","1076",1,"moral","positive","friend","moral_friend_nonmatch","phase_007_subj_17"
"17",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","triangle","好我","好我","match","j","nonmatch","f","833",0,"moral","positive","self","moral_self_match","phase_007_subj_17"
"18",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","好她","nonmatch","j","nonmatch","j","807",1,"moral","negative","friend","moral_friend_nonmatch","phase_007_subj_17"
"19",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","坏她","match","j","nonmatch","f","1034",0,"moral","negative","friend","moral_friend_match","phase_007_subj_17"
"20",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","坏我","nonmatch","j","nonmatch","j","961",1,"moral","positive","friend","moral_friend_nonmatch","phase_007_subj_17"
"21",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","好她","match","f","match","f","1022",1,"moral","positive","friend","moral_friend_match","phase_007_subj_17"
"22",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","triangle","好我","好我","match","f","match","f","1057",1,"moral","positive","self","moral_self_match","phase_007_subj_17"
"23",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","hexagon","坏我","好我","nonmatch","j","nonmatch","j","853",1,"moral","negative","self","moral_self_nonmatch","phase_007_subj_17"
"24",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","坏她","match","f","match","f","1096",1,"moral","negative","friend","moral_friend_match","phase_007_subj_17"
"25",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","坏我","nonmatch","j","nonmatch","j","954",1,"moral","negative","friend","moral_friend_nonmatch","phase_007_subj_17"
"26",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","坏她","match","f","match","f","1154",1,"moral","negative","friend","moral_friend_match","phase_007_subj_17"
"27",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","坏她","match","f","match","f","719",1,"moral","negative","friend","moral_friend_match","phase_007_subj_17"
"28",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","坏她","nonmatch","j","nonmatch","j","986",1,"moral","positive","friend","moral_friend_nonmatch","phase_007_subj_17"
"29",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","好她","match","f","match","f","852",1,"moral","positive","friend","moral_friend_match","phase_007_subj_17"
"30",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","hexagon","坏我","坏我","match","f","match","f","1083",1,"moral","negative","self","moral_self_match","phase_007_subj_17"
"31",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","trapezoid","坏她","好她","nonmatch","j","nonmatch","j","956",1,"moral","negative","friend","moral_friend_nonmatch","phase_007_subj_17"
"32",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","好她","match","f","match","f","950",1,"moral","positive","friend","moral_friend_match","phase_007_subj_17"
"33",574,"Female","[""坏她"",""好她"",""好我"",""坏我""]","[""弱她"",""强她"",""强我"",""弱我""]","prac_ALT2_moral","practice_moral","ellipse","好她","好她","match","f","match","f","940",1,"moral","positive","friend","moral_friend_match","phase_007_subj_17"
