Number,Prompt,Measure,Reverse
1,我感到我是一个有价值的人，至少与其他人在同一水平。,SelfEsteem,false
2,我感到我有许多好的品质。,SelfEsteem,false
3,归根到底，我倾向于觉得自己是一个失败者。,SelfEsteem,true
4,我能像大多数人一样把事情做好。,SelfEsteem,false
5,我感到自己值得自豪的地方不多。,SelfEsteem,true
6,我对自己持肯定态度。,SelfEsteem,false
7,总的来说，我对自己是满意的。,SelfEsteem,false
8,我感到自己得不到别人的尊重。,SelfEsteem,true
9,我总是感觉自己不如别人。,SelfEsteem,true
10,我时常认为自己一无是处。,SelfEsteem,true
