a_Mean,a_SD,a_2.5%,a_97.5%,b_Mean,b_SD,b_2.5%,b_97.5%,dNSG_Mean,dNSG_SD,dNSG_2.5%,dNSG_97.5%,DNSG_Mean,DNSG_SD,DNSG_2.5%,DNSG_97.5%,dSG_Mean,dSG_SD,dSG_2.5%,dSG_97.5%,DSG_Mean,DSG_SD,DSG_2.5%,DSG_97.5%
0.715008239,0.064229562,0.58354495,0.833203075,0.945463971,0.033795535,0.86173225,0.990798025,0.22193688,0.353707832,1.87E-24,1,0.037247605,0.033354094,0.001678298,0.124793325,0.141488881,0.259969181,1.02E-30,0.9744422,0.083344404,0.094223557,0.00031604,0.3407214
0.636378896,0.09906363,0.436338175,0.821966025,0.496886056,0.115618777,0.270237275,0.7214396,0.270510709,0.322634149,2.14E-20,0.999942,0.418582704,0.134120158,0.1527639,0.67379995,0.530016624,0.359186754,1.21E-07,1,0.355525408,0.161903293,0.056293765,0.672510275
0.545399225,0.086208917,0.375662575,0.71396935,0.645266675,0.106849997,0.4255368,0.840015225,0.17656258,0.272260709,1.24E-20,0.9968301,0.365375262,0.130528614,0.112015975,0.617932075,0.321105084,0.321103618,6.86E-10,0.999522,0.277314886,0.152557397,0.02923355,0.604216325
0.378398142,0.096656855,0.19747115,0.574099425,0.36782833,0.086658429,0.204285875,0.544762725,0.260453467,0.3471634,9.47E-20,1,0.195063027,0.10436339,0.031391793,0.423787325,0.238904788,0.292582756,8.65E-16,0.992446975,0.193055402,0.12026566,0.013835358,0.4614628
0.505889676,0.110654664,0.2879197,0.716898425,0.235864564,0.079060497,0.096342455,0.4037712,0.191141668,0.298400421,2.38E-24,0.999966,0.22018004,0.111238384,0.036963258,0.46332515,0.230089777,0.287645944,6.44E-17,0.9888651,0.20261831,0.119423482,0.018504688,0.463377275
0.558612354,0.069405563,0.419639925,0.6906306,0.984702416,0.017876788,0.936133075,0.999851025,0.291616163,0.391417317,1.38E-20,1,0.032789992,0.032358589,0.000956468,0.119963325,0.183176464,0.299747347,9.97E-29,0.998307425,0.093653657,0.11806495,9.85E-05,0.43251945
0.535817759,0.092024362,0.3541337,0.7140371,0.490562152,0.097390019,0.30074675,0.67760155,0.168182077,0.273128594,7.74E-20,0.998973475,0.231388134,0.112726662,0.041967955,0.4683804,0.306459208,0.315970027,2.66E-12,0.9970631,0.290502865,0.158179495,0.027938765,0.624986175
0.252537112,0.089757073,0.094944453,0.443033425,0.556171679,0.104263403,0.3514203,0.75642485,0.591695994,0.392761806,3.18E-09,1,0.331154842,0.121423705,0.097902278,0.5693957,0.643081139,0.323891525,0.000436196,1,0.370008753,0.159362349,0.069642208,0.680978
0.566438663,0.091969924,0.382302275,0.7399317,0.494692119,0.112747303,0.271724075,0.71407375,0.122906516,0.214559449,5.11E-22,0.876569875,0.366129283,0.130795316,0.11212115,0.618021,0.353738792,0.324976528,4.67E-10,0.9995123,0.34001663,0.162596198,0.04967461,0.66820915
0.609999874,0.102035739,0.405629925,0.801944375,0.537057347,0.141185271,0.26485735,0.805860425,0.169534232,0.237879438,3.86E-22,0.906531975,0.527454492,0.126134412,0.2658305,0.7533783,0.725597785,0.298127501,0.001564825,1,0.587072606,0.173764289,0.206530425,0.883606075
0.518374428,0.118745781,0.288859025,0.749095025,0.336384882,0.117245319,0.129589375,0.5793336,0.378931468,0.362076278,2.22E-16,1,0.437002559,0.127121554,0.18208295,0.676886175,0.784526923,0.247435472,0.056396063,1,0.646033043,0.14527745,0.336917425,0.897821575
0.657847018,0.068573625,0.51826295,0.7869525,0.968078361,0.030179011,0.887975875,0.999215,0.305689561,0.391779877,8.55E-20,1,0.085716202,0.056450969,0.00876641,0.2213437,0.239405041,0.326070902,2.66E-18,0.9997323,0.147884332,0.144710291,0.001127559,0.5278907
0.445242539,0.087304368,0.2783421,0.618640775,0.630185092,0.107812628,0.41144495,0.833830775,0.126278844,0.21740653,9.11E-20,0.8954563,0.349750327,0.127644586,0.1031228,0.600069325,0.379677868,0.331922195,2.43E-09,0.999873025,0.32928482,0.166401955,0.040393688,0.673449525
0.567636746,0.069271631,0.4312049,0.7009357,0.975236771,0.024840018,0.90908945,0.999527,0.283342158,0.382497864,1.01E-18,1,0.054248178,0.042509842,0.003712384,0.161475025,0.18245049,0.288337448,2.93E-22,0.996230925,0.109708184,0.121011724,0.000378991,0.44023195
0.44157846,0.114469526,0.22562795,0.671871575,0.426467224,0.124143338,0.19538045,0.676783325,0.5816287,0.374296726,2.96E-09,1,0.451698862,0.12286329,0.2033798,0.6802306,0.750352341,0.260955831,0.041265255,1,0.598918761,0.153631992,0.2755533,0.873556175
0.586070308,0.096010349,0.39363425,0.76597515,0.405162768,0.083481405,0.2470235,0.5715627,0.178161385,0.298156724,5.92E-24,0.999992,0.137083387,0.08459913,0.015409925,0.335520175,0.200829729,0.279090435,1.89E-20,0.9782481,0.164283198,0.114507484,0.008125196,0.42835095
0.347802512,0.131963782,0.116663775,0.62787515,0.235005092,0.113447672,0.058503385,0.490890425,0.774768386,0.315963024,2.96E-07,1,0.583531642,0.118751428,0.334358725,0.796339425,0.949929311,0.088120067,0.689777875,1,0.772345087,0.112998268,0.518591675,0.951096475
0.578687774,0.099737083,0.380762275,0.7674114,0.596589879,0.130810006,0.33290005,0.8369215,0.200375222,0.266875766,1.44E-19,0.985350325,0.512357009,0.126959116,0.25030865,0.7456764,0.698590153,0.313252894,0.001024128,1,0.495129777,0.175532751,0.129278325,0.807149675
0.469922018,0.095216595,0.283490675,0.65319305,0.434672587,0.096133497,0.2501795,0.623851,0.216964132,0.310714003,6.87E-20,0.999964025,0.246895686,0.116069623,0.050234058,0.4913364,0.309279723,0.315188265,2.55E-12,0.997939575,0.273840144,0.147116009,0.028661928,0.5843168
0.269264498,0.068734454,0.1401708,0.4101741,0.928693219,0.043970893,0.822749875,0.989459025,0.447310858,0.421175983,3.79E-14,1,0.09823326,0.06611362,0.008438716,0.25710165,0.351013023,0.369435463,3.04E-15,1,0.175764342,0.15225063,0.001849174,0.552687
0.454162699,0.099061171,0.26677465,0.6533312,0.496512951,0.113428937,0.27569105,0.7183513,0.41091651,0.377572969,2.08E-14,1,0.415106912,0.130707742,0.15787345,0.66665715,0.444414895,0.344281902,3.71E-07,0.999999,0.321902299,0.151096087,0.04860128,0.6253453
0.38471541,0.071825076,0.247869825,0.527701575,0.905623077,0.047627264,0.795001825,0.97735435,0.34806822,0.398463513,1.61E-15,1,0.080684232,0.056670458,0.006858843,0.22034415,0.245261333,0.321031595,1.87E-17,0.999767075,0.145003749,0.132991511,0.001785068,0.480966925
0.399790767,0.086867375,0.234987575,0.575599625,0.554184247,0.089920546,0.375579125,0.7278038,0.321503453,0.375307732,1.57E-16,1,0.213390816,0.109251671,0.032448663,0.448186825,0.249273231,0.299598157,2.93E-13,0.9971205,0.184374243,0.120750541,0.010982198,0.456514525
0.369564938,0.141536985,0.125124025,0.67110335,0.140877416,0.103139925,0.008577851,0.3935427,0.772367165,0.311343474,1.63E-08,1,0.664589192,0.115393489,0.41824385,0.865591375,0.845151633,0.197622202,0.2684095,1,0.64094643,0.128505363,0.369144675,0.8658636
0.696933185,0.069010734,0.553484975,0.821968625,0.910372736,0.047577772,0.797893825,0.979855125,0.307272897,0.388342217,1.09E-19,1,0.083150261,0.058847871,0.006622226,0.22648585,0.283524235,0.351374109,6.97E-20,0.999923,0.19176456,0.18173087,0.001651061,0.657977275
0.359255245,0.097009375,0.178457175,0.5560212,0.71119647,0.112339198,0.478133825,0.907099775,0.53053731,0.387083355,1.81E-10,1,0.431013257,0.117007077,0.1991504,0.651360125,0.798840654,0.240318157,0.1109567,1,0.525847467,0.168159125,0.171640875,0.83100885
0.522291868,0.069831536,0.3848135,0.65769165,0.984246992,0.018388383,0.93342335,0.99985,0.295728329,0.394086392,4.60E-20,1,0.032265382,0.031979471,0.000950763,0.119838575,0.15747077,0.275988767,1.27E-27,0.9939603,0.084211897,0.10630455,9.32E-05,0.3799263
0.692871433,0.091883289,0.499666725,0.8579492,0.403974364,0.086165202,0.23822915,0.574984625,0.115733646,0.234767661,9.12E-29,0.991001925,0.189573192,0.108956634,0.022602935,0.431306575,0.278510994,0.333766912,4.33E-20,0.999537,0.174241983,0.118420761,0.00967049,0.44500435
0.434495254,0.149143912,0.165434925,0.739357275,0.237397946,0.143243963,0.034573405,0.57434815,0.855516819,0.24639395,0.002486027,1,0.758549563,0.10067851,0.535624375,0.9230658,0.948908972,0.1006682,0.656075875,1,0.751157305,0.117995822,0.481889825,0.93471825
0.675266594,0.065113038,0.54234565,0.7956011,0.986274691,0.016939554,0.939559075,0.999912,0.269339387,0.383357412,5.10E-23,1,0.031015412,0.031544344,0.000832772,0.116317525,0.17132402,0.293228782,1.66E-30,0.9962639,0.090000699,0.117415345,6.85E-05,0.433078525
0.476726427,0.097789096,0.28674405,0.668532725,0.432705424,0.132528056,0.18023585,0.6935021,0.141797556,0.221475021,1.26E-22,0.855361525,0.465373145,0.134515043,0.198226025,0.716574875,0.366611158,0.309924282,4.13E-08,0.9991313,0.451647899,0.175275391,0.1110175,0.788808625
0.293445876,0.078078419,0.1527793,0.453359775,0.709830444,0.100553205,0.497831275,0.888642275,0.442919083,0.401531335,1.43E-13,1,0.303138214,0.118459525,0.083610133,0.54061945,0.316495254,0.319568531,1.06E-09,0.999957,0.302846647,0.180586922,0.024865328,0.706094025
0.350807925,0.135902088,0.118013775,0.640543875,0.266701195,0.140585368,0.048816638,0.583528075,0.807044159,0.288872363,2.49E-06,1,0.728043704,0.107252333,0.491283075,0.907978825,0.889032918,0.164219622,0.4207961,1,0.631752244,0.134176118,0.344287875,0.86005445
0.446821529,0.070735077,0.310466,0.5869494,0.961484601,0.028992816,0.8876033,0.996221125,0.308285762,0.394948355,1.63E-17,1,0.039631399,0.035005611,0.001909725,0.13241505,0.190973441,0.298280028,4.05E-25,0.9976589,0.106454933,0.121223465,0.000295794,0.4383766
0.59363175,0.07987483,0.433855375,0.744399475,0.717088311,0.081101152,0.550215625,0.865361325,0.217886324,0.323240098,6.72E-19,0.999997,0.174421028,0.09585096,0.02428221,0.3845799,0.26015907,0.312486308,1.16E-14,0.9979444,0.193493778,0.135114773,0.008406333,0.500567575
0.427988635,0.07923369,0.275948725,0.58682015,0.75688788,0.084769339,0.578872475,0.907147125,0.219043088,0.31778734,3.02E-18,0.999995,0.222823644,0.105422312,0.042409008,0.446710075,0.262164422,0.299176921,2.62E-12,0.997011675,0.249015563,0.163074232,0.014747055,0.627171475
0.512406451,0.129977862,0.254486075,0.758721425,0.162780997,0.08433346,0.033071408,0.35475925,0.303968933,0.352168941,1.27E-21,1,0.322604091,0.124191075,0.094878695,0.572272225,0.497959617,0.320167659,1.81E-08,0.999925125,0.573828587,0.150234923,0.266124375,0.84547005
0.546305869,0.09274944,0.360138375,0.7224743,0.665449543,0.130253376,0.3917238,0.8925191,0.116866911,0.191447189,3.91E-22,0.7072612,0.505494087,0.126683059,0.2476817,0.74046705,0.522770047,0.344589489,2.48E-06,1,0.45420119,0.185884293,0.087777665,0.80844035
0.58465398,0.09809751,0.387127625,0.76768555,0.37656098,0.117978503,0.157462375,0.6156513,0.133515906,0.219388055,6.01E-25,0.863210775,0.399242775,0.134548472,0.137522875,0.655287325,0.339397184,0.312623377,3.18E-10,0.9979639,0.399181822,0.166523496,0.081573665,0.7259845
0.431219744,0.134058035,0.18550895,0.7024475,0.476949741,0.180551578,0.1481058,0.83470395,0.71058227,0.331916199,9.51E-09,1,0.709815703,0.10391991,0.480300125,0.8863794,0.9124782,0.143184292,0.510940525,1,0.777304282,0.126934234,0.4860331,0.97095515
