"","subj_idx","NPI","score"
"1",558365014109454336,"1",0
"2",558365014109454336,"2",0
"3",558365014109454336,"3",0
"4",558365014109454336,"4",0
"5",558365014109454336,"5",0
"6",558365014109454336,"6",1
"7",558365014109454336,"7",0
"8",558365014109454336,"8",0
"9",558365014109454336,"9",1
"10",558365014109454336,"10",0
"11",558365014109454336,"11",0
"12",558365014109454336,"12",0
"13",558365014109454336,"13",0
"14",558365014109454336,"14",0
"15",558365014109454336,"15",0
"16",568408786771902464,"1",0
"17",568408786771902464,"2",0
"18",568408786771902464,"3",0
"19",568408786771902464,"4",1
"20",568408786771902464,"5",0
"21",568408786771902464,"6",1
"22",568408786771902464,"7",1
"23",568408786771902464,"8",0
"24",568408786771902464,"9",1
"25",568408786771902464,"10",0
"26",568408786771902464,"11",0
"27",568408786771902464,"12",0
"28",568408786771902464,"13",1
"29",568408786771902464,"14",0
"30",568408786771902464,"15",1
"31",613040465838604288,"1",0
"32",613040465838604288,"2",0
"33",613040465838604288,"3",0
"34",613040465838604288,"4",0
"35",613040465838604288,"5",0
"36",613040465838604288,"6",0
"37",613040465838604288,"7",0
"38",613040465838604288,"8",0
"39",613040465838604288,"9",1
"40",613040465838604288,"10",0
"41",613040465838604288,"11",0
"42",613040465838604288,"12",0
"43",613040465838604288,"13",1
"44",613040465838604288,"14",0
"45",613040465838604288,"15",0
"46",628584680945352704,"1",1
"47",628584680945352704,"2",0
"48",628584680945352704,"3",0
"49",628584680945352704,"4",0
"50",628584680945352704,"5",0
"51",628584680945352704,"6",0
"52",628584680945352704,"7",1
"53",628584680945352704,"8",1
"54",628584680945352704,"9",0
"55",628584680945352704,"10",0
"56",628584680945352704,"11",0
"57",628584680945352704,"12",0
"58",628584680945352704,"13",1
"59",628584680945352704,"14",0
"60",628584680945352704,"15",0
"61",656853379439394816,"1",1
"62",656853379439394816,"2",1
"63",656853379439394816,"3",1
"64",656853379439394816,"4",1
"65",656853379439394816,"5",1
"66",656853379439394816,"6",0
"67",656853379439394816,"7",1
"68",656853379439394816,"8",1
"69",656853379439394816,"9",1
"70",656853379439394816,"10",1
"71",656853379439394816,"11",1
"72",656853379439394816,"12",1
"73",656853379439394816,"13",1
"74",656853379439394816,"14",1
"75",656853379439394816,"15",1
"76",682910925522468864,"1",0
"77",682910925522468864,"2",0
"78",682910925522468864,"3",0
"79",682910925522468864,"4",0
"80",682910925522468864,"5",0
"81",682910925522468864,"6",0
"82",682910925522468864,"7",1
"83",682910925522468864,"8",0
"84",682910925522468864,"9",0
"85",682910925522468864,"10",0
"86",682910925522468864,"11",0
"87",682910925522468864,"12",0
"88",682910925522468864,"13",0
