"","ParticipantID","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","friend_name","Sex","ID"
"1",221,6,4,5,5,1,5,4,4,4,4,5,1,-1,2,1,-3,2,1,1,5,5,5,4,5,3,3,4,3,5,4,4,7,5,3,8,5,7,5,6,5,2,4,4,2,4,3,5,5,4,3,4,3,2,3,4,2,3,4,2,3,3,2,3,4,3,5,1,5,7,3,6,5,3,4,2,4,3,2,"赵","Female","phase_015_subj_46"
"2",681,6,4,6,6,1,5,4,4,5,4,5,2,-1,1,1,-2,2,2,-1,5,5,5,4,5,3,4,4,3,5,6,6,8,7,5,5,4,6,5,5,6,2,5,6,3,5,1,4,5,3,4,4,3,2,4,4,5,1,4,2,2,3,2,3,5,4,6,2,5,7,3,6,6,4,5,3,7,3,2,"郑","Female","phase_015_subj_16"
"3",79,4,3,3,2,3,4,5,3,4,5,4,-2,1,-2,1,-1,2,1,1,4,4,5,5,5,1,3,2,4,4,3,4,2,4,1,5,3,4,4,5,5,5,3,4,3,7,1,4,5,3,3,2,3,6,6,4,2,6,5,3,6,3,1,2,2,7,7,3,7,1,1,7,1,2,2,1,7,3,7,"R","Male","phase_015_subj_8"
"4",540,7,7,7,7,7,5,5,5,5,5,5,3,1,3,2,3,3,3,3,5,5,5,5,5,4,4,5,5,4,7,7,8,8,7,6,8,8,8,7,7,7,7,7,7,7,1,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"周","Male","phase_015_subj_32"
"5",404,7,7,7,7,7,5,5,5,5,5,5,3,2,3,3,3,3,3,3,5,5,5,5,1,5,5,5,5,5,8,7,8,8,8,7,8,9,7,7,7,7,7,7,7,7,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"杨","Male","phase_015_subj_23"
"6",380,7,7,7,7,6,5,5,5,5,5,5,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,5,5,8,7,7,8,7,8,7,9,7,7,7,7,7,7,7,6,1,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,"朱","Male","phase_015_subj_22"
"7",591,7,7,7,7,7,5,5,5,5,5,5,3,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,8,8,7,8,7,8,8,9,8,7,7,7,7,7,7,7,1,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,"刘","Male","phase_015_subj_38"
"8",588,4,3,4,3,2,4,3,3,4,3,4,1,1,-1,1,-1,1,1,2,4,4,5,4,4,3,3,3,3,4,6,5,6,5,6,7,6,5,6,5,4,5,5,5,4,5,4,5,3,4,3,4,4,5,4,5,3,4,3,3,4,4,4,3,4,3,4,5,6,5,3,4,2,4,3,3,4,3,4,"张","Male","phase_015_subj_37"
"9",562,6,6,7,5,5,4,2,5,3,2,3,3,2,1,2,2,2,3,2,5,5,5,5,5,4,4,4,4,3,3,3,4,4,2,3,2,1,3,6,5,5,4,5,2,5,1,6,2,6,3,6,2,4,6,3,3,5,3,3,5,3,4,3,7,4,6,5,6,3,7,3,4,2,6,3,6,3,6,"冯","Male","phase_015_subj_33"
"10",700,7,7,7,7,6,5,5,5,5,5,5,3,2,3,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,8,8,7,8,6,7,8,9,8,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,"王","Male","phase_015_subj_49"
"11",624,3,3,4,3,2,3,2,2,2,1,4,-1,-1,-2,1,-2,-2,-2,-2,5,4,5,4,4,4,5,4,5,4,4,5,4,6,4,3,6,5,6,4,2,2,3,2,3,2,4,1,2,1,2,5,4,1,3,3,3,3,2,3,3,3,1,3,3,3,7,2,6,5,3,6,5,2,5,5,6,3,4,"刘","Female","phase_015_subj_42"
"12",112,2,1,1,2,1,4,3,4,5,5,5,3,-1,1,2,-3,1,2,2,5,4,5,4,5,4,3,4,4,4,7,7,8,8,7,9,7,8,8,4,6,3,3,3,2,4,2,3,3,3,2,6,2,1,5,5,3,4,3,1,2,1,1,2,7,2,7,7,7,7,6,6,5,2,7,2,7,3,3,"张","Male","phase_015_subj_12"
"13",18,2,1,2,1,1,2,1,1,2,2,2,-2,-1,-3,-2,-1,-2,-2,-2,1,2,3,2,2,1,1,1,2,2,1,4,3,3,1,1,2,1,2,2,2,3,3,2,1,2,3,1,2,1,2,3,1,1,1,2,2,2,2,1,1,3,1,2,5,1,3,1,4,3,1,2,1,1,3,1,7,2,2,"李","Male","phase_015_subj_3"
"14",571,1,1,2,1,1,2,1,1,2,1,1,-2,1,-3,-2,-2,-1,-1,-1,3,2,2,4,1,1,1,1,2,2,2,4,3,4,2,2,2,2,3,2,3,1,3,2,1,1,3,2,2,1,3,3,2,1,1,2,2,2,3,3,1,3,1,2,7,2,3,1,7,3,1,3,2,2,3,3,7,3,2,"罗","Male","phase_015_subj_35"
"15",592,5,4,3,3,4,4,2,3,4,4,4,2,1,1,3,1,1,3,3,5,4,5,4,4,3,3,4,2,3,4,3,5,6,2,4,2,5,6,3,2,3,3,5,2,6,2,7,1,4,1,6,2,6,2,2,4,5,5,2,3,3,1,1,6,3,7,2,6,6,2,3,1,2,6,7,6,1,3,"李","Female","phase_015_subj_39"
"16",389,7,7,7,7,7,5,5,5,5,5,5,3,3,3,2,3,3,3,3,5,5,5,5,1,5,5,5,5,5,8,7,8,8,8,7,8,8,8,7,7,7,7,7,6,7,1,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"陈","Male","phase_015_subj_47"
"17",322,6,6,6,5,5,5,4,4,5,5,5,3,-2,1,-1,-1,-2,2,1,5,4,2,5,4,5,4,4,4,4,4,4,7,6,6,4,4,7,6,3,5,1,2,5,2,3,3,5,2,2,2,2,2,2,6,3,4,2,3,3,3,3,2,2,6,2,5,5,7,5,3,7,2,3,3,2,6,2,3,"王","Female","phase_015_subj_18"
"18",507,6,5,6,3,4,5,4,4,5,5,5,2,1,-1,1,2,3,2,2,4,4,5,5,4,5,4,3,4,5,6,5,7,6,5,6,7,6,5,5,7,6,6,7,3,6,1,5,6,4,3,4,2,5,5,5,5,6,6,3,3,2,4,5,6,3,7,5,6,6,4,7,7,4,7,6,7,5,4,"张","Male","phase_015_subj_29"
"19",223,6,6,6,4,3,4,3,4,4,4,5,3,2,2,2,1,2,2,2,5,5,5,5,5,4,4,4,4,4,4,5,5,6,6,5,6,7,7,6,6,4,6,5,3,6,1,6,5,4,5,5,3,5,3,6,3,5,5,1,4,3,6,1,7,1,4,1,7,7,2,1,1,6,5,1,2,1,2,"何","Male","phase_015_subj_17"
"20",25,5,5,5,5,4,4,4,4,4,4,5,2,2,1,1,1,2,2,2,5,4,5,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,5,6,5,5,5,3,5,5,6,5,5,3,3,5,5,5,5,6,6,6,3,3,3,3,2,5,3,6,6,5,6,5,6,5,3,6,5,5,3,5,"李","Male","phase_015_subj_5"
"21",459,6,5,7,6,6,5,4,5,5,5,5,2,1,2,1,3,1,2,3,5,5,5,5,5,4,5,5,5,4,3,4,2,7,2,8,6,5,6,7,3,2,7,7,5,6,1,7,3,7,6,6,3,5,5,6,3,3,7,3,3,3,2,3,7,3,6,6,7,7,3,6,1,7,5,6,6,5,4,"林","Female","phase_015_subj_28"
"22",89,3,2,3,1,3,4,1,2,3,2,5,-1,1,-3,1,-3,-1,-2,1,5,4,5,4,4,3,4,2,4,3,5,6,3,7,4,4,5,5,6,2,3,3,3,3,2,2,2,3,2,3,2,3,3,1,5,3,3,3,2,2,3,4,3,3,6,5,5,2,7,7,3,5,2,2,3,2,3,2,5,"文","Female","phase_015_subj_9"
"23",375,7,6,7,6,6,5,5,5,5,5,5,2,1,1,-2,2,3,2,3,5,4,5,5,5,4,4,4,5,5,7,9,6,9,7,3,8,7,9,7,6,3,3,7,2,7,2,6,6,2,1,6,1,2,6,6,7,6,6,3,2,1,2,2,5,2,6,7,7,6,7,7,6,1,6,3,7,3,6,"陈","Male","phase_015_subj_21"
