Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7.81637907028,,,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
冷静,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/24.png,f,material/124.png,f,f,理智,理智,self,self,self,2,2,2,material/24.png,,,,,,,,,,,,,,,,,0,0,0,23,,,,,,,,,,,,,,,4,2.092659235,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
差生,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/81.png,j,material/179.png,j,j,呆笨,无助,friend,friend,friend,2,2,2,material/83.png,,,,,,,,,,,,,,,,,0,1,1,78,,,,,,,,,,,,,,,4,2.0045568943,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
毛糙,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/179.png,j,material/178.png,j,j,顽愚,差生,friend,friend,friend,2,2,2,material/84.png,,,,,,,,,,,,,,,,,0,2,2,77,,,,,,,,,,,,,,,2,1.77178001404,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
高手,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/68.png,j,material/167.png,j,j,广博,广博,friend,friend,friend,2,2,2,material/68.png,,,,,,,,,,,,,,,,,0,3,3,66,,,,,,,,,,,,,,,4,1.60900712013,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
虚荣,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/43.png,f,material/143.png,f,f,虚荣,拜金,self,self,self,1,1,1,material/143.png,,,,,,,,,,,,,,,,,0,4,4,42,,,,,,,,,,,,,,,4,1.74274802208,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
无私,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/8.png,j,material/108.png,j,j,无私,公道,friend,friend,friend,1,1,1,material/108.png,,,,,,,,,,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,4,2.03281807899,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
缓慢,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/52.png,f,material/152.png,f,f,拖延,拖延,self,self,self,2,2,2,material/52.png,,,,,,,,,,,,,,,,,0,6,6,51,,,,,,,,,,,,,,,4,1.14403104782,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
正直,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/9.png,j,material/109.png,j,j,正直,秉直,friend,friend,friend,1,1,1,material/109.png,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,4,0.858937978745,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
纯洁,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/15.png,j,material/115.png,j,j,纯洁,清白,friend,friend,friend,1,1,1,material/115.png,,,,,,,,,,,,,,,,,0,8,8,14,,,,,,,,,,,,,,,4,0.708138942719,,,,,,,,,moral_self_bias,09,18,59.9214534399,m,001,2018_Apr_02_1341,
