Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.82564592361,,,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
笃行,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/31.png,f,material/131.png,f,f,笃学,笃学,self,self,self,2,2,2,material/31.png,,,,,,,,,,,,,,,,,0,0,0,30,,,,,,,,,,,,,,,None,,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
纯洁,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/15.png,j,material/115.png,j,j,纯洁,清白,friend,friend,friend,1,1,1,material/115.png,,,,,,,,,,,,,,,,,0,1,1,14,,,,,,,,,,,,,,,3,0.909314155579,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
冷静,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/24.png,f,material/124.png,f,f,理智,理智,self,self,self,2,2,2,material/24.png,,,,,,,,,,,,,,,,,0,2,2,23,,,,,,,,,,,,,,,4,1.54990506172,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
虚荣,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/43.png,f,material/143.png,f,f,虚荣,拜金,self,self,self,1,1,1,material/143.png,,,,,,,,,,,,,,,,,0,3,3,42,,,,,,,,,,,,,,,2,1.69352889061,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
白痴,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/49.png,j,material/149.png,j,j,痴呆,痴呆,friend,friend,friend,2,2,2,material/49.png,,,,,,,,,,,,,,,,,0,4,4,48,,,,,,,,,,,,,,,1,1.95844101906,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
坚毅,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/10.png,j,material/110.png,j,j,坚毅,顽强,friend,friend,friend,1,1,1,material/110.png,,,,,,,,,,,,,,,,,0,5,5,9,,,,,,,,,,,,,,,4,1.62418889999,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
狠毒,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/40.png,j,material/140.png,j,j,狠毒,邪恶,friend,friend,friend,1,1,1,material/140.png,,,,,,,,,,,,,,,,,0,6,6,39,,,,,,,,,,,,,,,2,1.19089198112,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
无私,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/8.png,j,material/108.png,j,j,无私,公道,friend,friend,friend,1,1,1,material/108.png,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,3,1.49156594276,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
缓慢,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/52.png,f,material/152.png,f,f,拖延,拖延,self,self,self,2,2,2,material/52.png,,,,,,,,,,,,,,,,,0,8,8,51,,,,,,,,,,,,,,,4,1.95010590553,,,,,,,,,moral_self_bias,07,20,59.9829817418,f,001,2018_Apr_02_1249,
