Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
正直,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/9.png,j,material/109.png,j,j,正直,秉直,friend,friend,friend,1,1,1,material/109.png,,,,,,,,,,,,,,,,,0,14,14,8,,,,,,,,,,,,,,,4,1.65845108032,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
冷静,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/24.png,f,material/124.png,f,f,理智,理智,self,self,self,2,2,2,material/24.png,,,,,,,,,,,,,,,,,0,15,15,23,,,,,,,,,,,,,,,4,1.3089389801,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
能干,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/20.png,j,material/120.png,j,j,厉害,厉害,friend,friend,friend,2,2,2,material/20.png,,,,,,,,,,,,,,,,,0,16,16,19,,,,,,,,,,,,,,,5,1.25856399536,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
黑心,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/74.png,j,material/173.png,j,j,黑心,卑劣,friend,friend,friend,1,1,1,material/173.png,,,,,,,,,,,,,,,,,0,17,17,72,,,,,,,,,,,,,,,1,0.992617845535,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
高手,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/68.png,j,material/167.png,j,j,广博,广博,friend,friend,friend,2,2,2,material/68.png,,,,,,,,,,,,,,,,,0,18,18,66,,,,,,,,,,,,,,,4,1.89982390404,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
进取,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/30.png,f,material/130.png,f,f,上进,上进,self,self,self,2,2,2,material/30.png,,,,,,,,,,,,,,,,,0,19,19,29,,,,,,,,,,,,,,,4,1.44275093079,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
无能,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/57.png,j,material/157.png,j,j,无知,无知,friend,friend,friend,2,2,2,material/57.png,,,,,,,,,,,,,,,,,0,20,20,56,,,,,,,,,,,,,,,1,0.942412853241,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
怠惰,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/181.png,j,material/180.png,j,j,怠惰,犹豫,friend,friend,friend,2,2,2,material/180.png,,,,,,,,,,,,,,,,,0,21,21,79,,,,,,,,,,,,,,,2,1.34143805504,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
多才,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/23.png,f,material/123.png,f,f,有才,有才,self,self,self,2,2,2,material/23.png,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,3,1.24187111855,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
可恶,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/34.png,f,material/134.png,f,f,可恶,可恨,self,self,self,1,1,1,material/134.png,,,,,,,,,,,,,,,,,0,23,23,33,,,,,,,,,,,,,,,2,1.57519698143,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
无私,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/8.png,j,material/108.png,j,j,无私,公道,friend,friend,friend,1,1,1,material/108.png,,,,,,,,,,,,,,,,,0,24,24,7,,,,,,,,,,,,,,,4,1.29230189323,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
冷血,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/35.png,f,material/135.png,f,f,冷血,冷漠,self,self,self,1,1,1,material/135.png,,,,,,,,,,,,,,,,,0,25,25,34,,,,,,,,,,,,,,,3,1.5924179554,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
诚信,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/5.png,f,material/105.png,f,f,诚信,守信,self,self,self,1,1,1,material/105.png,,,,,,,,,,,,,,,,,0,26,26,4,,,,,,,,,,,,,,,4,1.18282389641,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
正义,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/66.png,f,material/66.png,f,f,独立,正义,self,self,self,1,1,1,material/165.png,,,,,,,,,,,,,,,,,0,27,27,84,,,,,,,,,,,,,,,4,0.94206905365,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
贪污,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/33.png,f,material/133.png,f,f,贪污,腐败,self,self,self,1,1,1,material/133.png,,,,,,,,,,,,,,,,,0,28,28,32,,,,,,,,,,,,,,,2,1.32596492767,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
纯洁,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/15.png,j,material/115.png,j,j,纯洁,清白,friend,friend,friend,1,1,1,material/115.png,,,,,,,,,,,,,,,,,0,29,29,14,,,,,,,,,,,,,,,4,1.77665615082,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
勤快,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/26.png,j,material/126.png,j,j,刻苦,刻苦,friend,friend,friend,2,2,2,material/26.png,,,,,,,,,,,,,,,,,0,30,30,25,,,,,,,,,,,,,,,3,1.56667613983,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
缓慢,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/52.png,f,material/152.png,f,f,拖延,拖延,self,self,self,2,2,2,material/52.png,,,,,,,,,,,,,,,,,0,31,31,51,,,,,,,,,,,,,,,4,1.49143218994,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
坚忍,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/168.png,f,material/170.png,f,f,机变,机变,self,self,self,2,2,2,material/168.png,,,,,,,,,,,,,,,,,0,32,32,69,,,,,,,,,,,,,,,3,1.37494802475,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
浮夸,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/77.png,j,material/172.png,j,j,浮夸,软弱,friend,friend,friend,1,1,1,material/172.png,,,,,,,,,,,,,,,,,0,33,33,71,,,,,,,,,,,,,,,4,1.80879616737,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
坚毅,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/10.png,j,material/110.png,j,j,坚毅,顽强,friend,friend,friend,1,1,1,material/110.png,,,,,,,,,,,,,,,,,0,34,34,9,,,,,,,,,,,,,,,5,0.975924015045,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
博学,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/22.png,f,material/122.png,f,f,才学,才学,self,self,self,2,2,2,material/22.png,,,,,,,,,,,,,,,,,0,35,35,21,,,,,,,,,,,,,,,3,2.52602791786,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
不义,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/173.png,j,material/174.png,j,j,不义,黑心,friend,friend,friend,1,1,1,material/174.png,,,,,,,,,,,,,,,,,0,36,36,73,,,,,,,,,,,,,,,2,1.17527914047,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
恶毒,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/39.png,j,material/139.png,j,j,恶毒,凶残,friend,friend,friend,1,1,1,material/139.png,,,,,,,,,,,,,,,,,0,37,37,38,,,,,,,,,,,,,,,1,0.825630187988,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
廉明,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/13.png,j,material/113.png,j,j,廉明,廉洁,friend,friend,friend,1,1,1,material/113.png,,,,,,,,,,,,,,,,,0,38,38,12,,,,,,,,,,,,,,,4,1.27533602715,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
独立,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/64.png,f,material/165.png,f,f,谦虚,奉献,self,self,self,1,1,1,material/65.png,,,,,,,,,,,,,,,,,0,39,39,64,,,,,,,,,,,,,,,4,1.50849199295,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
宽容,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/163.png,j,material/163.png,j,j,文明,宽容,friend,friend,friend,1,1,1,material/63.png,,,,,,,,,,,,,,,,,0,40,40,62,,,,,,,,,,,,,,,5,1.05856084824,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
依靠,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/54.png,f,material/154.png,f,f,依赖,依赖,self,self,self,2,2,2,material/54.png,,,,,,,,,,,,,,,,,0,41,41,53,,,,,,,,,,,,,,,4,1.34178900719,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
厌学,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/182.png,j,material/184.png,j,j,健忘,才尽,friend,friend,friend,2,2,2,material/80.png,,,,,,,,,,,,,,,,,0,42,42,83,,,,,,,,,,,,,,,2,1.68376922607,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
自律,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/28.png,j,material/128.png,j,j,克己,克己,friend,friend,friend,2,2,2,material/28.png,,,,,,,,,,,,,,,,,0,43,43,27,,,,,,,,,,,,,,,4,1.75768399239,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
恶心,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/73.png,f,material/177.png,f,f,恶心,残虐,self,self,self,1,1,1,material/177.png,,,,,,,,,,,,,,,,,0,44,44,76,,,,,,,,,,,,,,,1,0.824928045273,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
残虐,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/175.png,f,material/73.png,f,f,残虐,无情,self,self,self,1,1,1,material/73.png,,,,,,,,,,,,,,,,,0,45,45,85,,,,,,,,,,,,,,,3,2.35825896263,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
颖悟,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/167.png,j,material/169.png,j,j,高手,高手,friend,friend,friend,2,2,2,material/167.png,,,,,,,,,,,,,,,,,0,46,46,68,,,,,,,,,,,,,,,5,1.44245386124,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
爱心,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/2.png,f,material/102.png,f,f,爱心,善心,self,self,self,1,1,1,material/102.png,,,,,,,,,,,,,,,,,0,47,47,1,,,,,,,,,,,,,,,3,1.52562499046,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
高尚,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/11.png,f,material/111.png,f,f,高尚,高雅,self,self,self,1,1,1,material/111.png,,,,,,,,,,,,,,,,,0,48,48,10,,,,,,,,,,,,,,,3,1.32562017441,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
背叛,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/32.png,f,material/132.png,f,f,背叛,不忠,self,self,self,1,1,1,material/132.png,,,,,,,,,,,,,,,,,0,49,49,31,,,,,,,,,,,,,,,1,2.24236798286,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
