"","ParticipantID","IAT","stimulus","condition","task_id","word","screen_id","rt","RT","response","correct","version_attrib","version_target","version_attrib2","version_target2","ID"
"1",398,NA,"
    <h3>词语分类任务</h3>
    <p>在接下来的任务中，你需要对一系列词语进行分类。<p/>
    请先熟悉这些词语，这有利于你完成接下来的任务。</p>
    <table align=""center"" border=1 cellpadding=3 cellspacing=0>
    <tr> <th>类别</th> <th>词语</th> </tr>
    <tr> <td>&emsp;积极&emsp;</td> <td>&emsp;高尚、诚信、善良、君子、廉正、正直&emsp;</td> </tr>
    <tr> <td>&emsp;消极&emsp;</td> <td>&emsp;缺德、卑鄙、不孝、不仁、小人、黑心&emsp;</td> </tr>
    <tr> <td>&emsp;自我&emsp;</td> <td>&emsp;我、我的、自己、自己的、本人、本人的&emsp;</td> </tr>
    <tr> <td>&emsp;他人&emsp;</td> <td>&emsp;他、他的、别人、别人的、他人、他人的&emsp;</td> </tr>
"34",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","other","moral","别人","3","685",685,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"35",398,13,"<p style=""color:white; font-size: 35px;"">不仁</p>","negative","moral","不仁","3","715",715,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"36",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","3","677",677,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"37",398,13,"<p style=""color:white; font-size: 35px;"">廉正</p>","positive","moral","廉正","3","714",714,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"38",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","other","moral","他","3","820",820,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"39",398,13,"<p style=""color:white; font-size: 35px;"">缺德</p>","negative","moral","缺德","3","858",858,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"40",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","self","moral","自己","3","671",671,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"41",398,13,"<p style=""color:white; font-size: 35px;"">君子</p>","positive","moral","君子","3","1746",1746,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"42",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","self","moral","自己的","3","679",679,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"43",398,13,"<p style=""color:white; font-size: 35px;"">卑鄙</p>","negative","moral","卑鄙","3","682",682,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"44",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他的</p>","other","moral","他的","3","687",687,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"45",398,13,"<p style=""color:white; font-size: 35px;"">正直</p>","positive","moral","正直","3","710",710,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"46",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人的</p>","self","moral","本人的","3","716",716,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"47",398,13,"<p style=""color:white; font-size: 35px;"">高尚</p>","positive","moral","高尚","3","682",682,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"48",398,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人的</p>","other","moral","别人的","3","954",954,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"49",398,13,"<p style=""color:white; font-size: 35px;"">不孝</p>","negative","moral","不孝","3","1133",1133,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"50",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他的</p>","other","moral","他的","4","2906",2906,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"51",398,14,"<p style=""color:white; font-size: 35px;"">诚信</p>","positive","moral","诚信","4","1090",1090,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"52",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人的</p>","self","moral","本人的","4","770",770,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"53",398,14,"<p style=""color:white; font-size: 35px;"">卑鄙</p>","negative","moral","卑鄙","4","709",709,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"54",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","self","moral","自己的","4","694",694,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"55",398,14,"<p style=""color:white; font-size: 35px;"">黑心</p>","negative","moral","黑心","4","1318",1318,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"56",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人的</p>","other","moral","别人的","4","858",858,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"57",398,14,"<p style=""color:white; font-size: 35px;"">诚信</p>","positive","moral","诚信","4","1022",1022,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"58",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他的</p>","other","moral","他的","4","827",827,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"59",398,14,"<p style=""color:white; font-size: 35px;"">小人</p>","negative","moral","小人","4","1018",1018,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"60",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","4","572",572,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"61",398,14,"<p style=""color:white; font-size: 35px;"">善良</p>","positive","moral","善良","4","845",845,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"62",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","other","moral","他","4","638",638,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"63",398,14,"<p style=""color:white; font-size: 35px;"">不仁</p>","negative","moral","不仁","4","668",668,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"64",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","self","moral","自己","4","590",590,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"65",398,14,"<p style=""color:white; font-size: 35px;"">君子</p>","positive","moral","君子","4","635",635,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
