Number,Prompt,Measure,Reverse,,,
1,我相信自己在生活中能获得成功,coreSelf,false,,,
2,我经常感到情绪低落（r）,coreSelf,true,,,
3,失败时，我感觉自己很没用(r),coreSelf,true,,,
4,我能成功地完成各项任务,coreSelf,false,,,
5,我觉得自己对学习没有把握(r),coreSelf,true,,,
6,总的来说，我对自己满意,coreSelf,false,,,
7,我怀疑自己的能力(r),coreSelf,true,,,
8,我觉得自己对事业上的成功没有把握(r),coreSelf,true,,,
9,我有能力处理自己的大多数问题,coreSelf,false,,,
10,很多事情我都觉得很糟糕、没有希望(r),coreSelf,true,,,
,,,,,,
,,,,,,
,,,,,,
