word,Domain,Valence,Usage,Val_mean,Val_sd,Valence,freq_Chinese,freq_Cai
白痴,ability,Negative,RJ_E,NA,NA,NA,17,34
笨蛋,ability,Negative,formal,3.161,1.405,Negative,6,142
变通,ability,Positive,formal,6.696,1.426,Positive,36,NA
博识,ability,Positive,formal,7.699,1.105,Positive,NA,NA
博学,ability,Positive,formal,7.858,1.23,Positive,40,NA
才尽,ability,Negative,formal,NA,NA,NA,NA,NA
草率,ability,Negative,formal,NA,NA,NA,28,2
差生,ability,Negative,formal,2.684,1.292,Negative,NA,5
沉着,ability,Positive,formal,6.957,1.658,Positive,54,NA
逞能,ability,Negative,formal,3.591,1.479,Negative,10,NA
逞强,ability,Negative,formal,3.856,1.577,Negative,6,4
迟钝,ability,Negative,formal,3.077,1.218,Negative,36,6
聪明,ability,Positive,formal,7.874,1.097,Positive,239,530
粗心,ability,Negative,formal,3.144,1.278,Negative,15,10
怠惰,ability,Negative,formal,NA,NA,NA,NA,NA
顶事,ability,Positive,formal,6.714,1.759,Positive,21,NA
懂行,ability,Positive,formal,6.713,1.527,Positive,5,NA
独断,ability,Negative,formal,4.195,1.862,Negative,25,NA
独立,ability,Positive,formal,7.341,1.437,Positive,2552,6
短浅,ability,Negative,formal,3.005,1.34,Negative,6,6
短视,ability,Negative,formal,3.076,1.278,Negative,NA,NA
废物,ability,Negative,formal,1.938,1.196,Negative,106,20
干练,ability,Positive,formal,7.153,1.368,Positive,NA,NA
高明,ability,Positive,formal,7.372,1.343,Positive,88,6
高效,ability,Positive,formal,7.708,1.231,Positive,91,NA
果断,ability,Positive,formal,7.019,1.327,Positive,120,5
果决,ability,Positive,formal,7.167,1.466,Positive,6,NA
缓慢,ability,Negative,EW_Interf2,NA,NA,NA,524,2
昏庸,ability,Negative,formal,2.23,1.031,Negative,20,NA
坚持,ability,Positive,formal,7.611,1.246,Positive,2456,NA
精干,ability,Positive,formal,7.34,1.35,Positive,19,3
刻板,ability,Negative,EW_E,NA,NA,NA,19,NA
刻苦,ability,Positive,formal,7.322,1.656,Positive,163,7
肯干,ability,Positive,formal,7.205,1.376,Positive,NA,NA
利落,ability,Positive,formal,6.953,1.338,Positive,15,NA
马虎,ability,Negative,formal,3.19,1.235,Negative,31,NA
盲目,ability,Negative,formal,NA,NA,NA,201,NA
毛糙,ability,Negative,formal,NA,NA,NA,9,NA
迷糊,ability,Negative,EW_Interf1,NA,NA,NA,34,NA
敏捷,ability,Positive,formal,7.281,1.338,Positive,63,NA
能干,ability,Positive,formal,7.569,1.383,Positive,115,NA
驽钝,ability,Negative,formal,3.474,1.462,Negative,NA,NA
努力,ability,Positive,formal,7.82,1.24,Positive,2259,115
浅薄,ability,Negative,formal,NA,NA,NA,25,NA
勤奋,ability,Positive,formal,7.857,1.119,Positive,67,NA
屈才,ability,Negative,formal,4.555,1.706,Negative,NA,NA
全才,ability,Positive,formal,7.938,1.268,Positive,NA,NA
认真,ability,Positive,RJ_E,7.711,1.178,Positive,1734,46
弱智,ability,Negative,formal,2.227,1.157,Negative,NA,NA
上进,ability,Positive,formal,7.919,1.068,Positive,380,NA
思辨,ability,Positive,formal,6.928,1.438,Positive,NA,NA
拖拉,ability,Negative,formal,2.895,1.247,Negative,29,NA
拖延,ability,Negative,formal,3.052,1.418,Negative,88,3
外行,ability,Negative,formal,4.2,1.333,Negative,45,4
畏难,ability,Negative,formal,3.224,1.528,Negative,16,NA
稳健,ability,Positive,formal,7.204,1.428,Positive,11,NA
窝囊,ability,Negative,formal,1.919,1.028,Negative,6,NA
无敌,ability,Positive,formal,7.297,1.518,Positive,22,15
无能,ability,Negative,formal,2.456,1.278,Negative,94,10
无为,ability,Negative,formal,3.697,1.708,Negative,44,3
无知,ability,Negative,formal,2.829,1.316,Negative,114,6
无助,ability,Negative,formal,NA,NA,NA,NA,NA
务实,ability,Positive,EW_Interf1,7.242,1.381,Positive,8,NA
细心,ability,Positive,formal,7.408,1.285,Positive,116,2
娴熟,ability,Positive,formal,7.301,1.201,Positive,8,NA
骁勇,ability,Positive,formal,7.187,1.521,Positive,6,NA
新手,ability,Negative,formal,4.934,1.098,Negative,30,NA
学霸,ability,Positive,formal,7.341,1.437,Positive,NA,NA
严谨,ability,Positive,EW_E,7.341,1.437,Positive,9,NA
业余,ability,Negative,formal,4.39,1.305,Negative,433,4
依靠,ability,Negative,formal,NA,NA,NA,1393,17
毅力,ability,Positive,formal,7.545,1.324,Positive,56,11
庸碌,ability,Negative,formal,3.422,1.355,Negative,7,NA
犹豫,ability,Negative,formal,NA,NA,NA,79,10
有力,ability,Positive,formal,6.938,1.467,Positive,1022,11
迂拙,ability,Negative,formal,3.271,1.415,Negative,NA,NA
愚痴,ability,Negative,formal,2.56,1.2,Negative,NA,NA
愚蠢,ability,Negative,formal,2.477,1.186,Negative,69,17
愚钝,ability,Negative,formal,2.853,1.288,Negative,NA,NA
远见,ability,Positive,formal,7.371,1.416,Positive,23,NA
扎实,ability,Positive,formal,6.995,1.455,Positive,37,2
智慧,ability,Positive,formal,7.801,1.312,Positive,251,101
中用,ability,Positive,formal,6.536,1.577,Positive,217,5
周到,ability,Positive,formal,7.19,1.487,Positive,90,17
主见,ability,Positive,EW_Interf2,6.885,1.413,Positive,19,4
专注,ability,Positive,formal,7.34,1.408,Positive,28,3
拙笨,ability,Negative,formal,3.019,1.324,Negative,NA,NA
自律,ability,Positive,formal,7.63,1.365,Positive,NA,NA
爱国,morality,Positive,formal,8.252,1.26,Positive,738,NA
拜金,morality,Negative,formal,2.605,1.445,Negative,NA,NA
卑鄙,morality,Negative,formal,2.152,1.232,Negative,101,16
背叛,morality,Negative,formal,2.129,1.369,Negative,123,NA
不端,morality,Negative,formal,2.756,1.283,Negative,9,NA
不良,morality,Negative,formal,2.656,1.291,Negative,612,NA
不仁,morality,Negative,formal,2.395,1.218,Negative,16,NA
不孝,morality,Negative,formal,1.81,1.052,Negative,20,NA
诚信,morality,Positive,formal,8.076,1.046,Positive,NA,NA
慈悲,morality,Positive,formal,7.258,1.334,Positive,13,8
歹毒,morality,Negative,formal,1.791,1.165,Negative,5,NA
淡泊,morality,Positive,formal,6.696,1.537,Positive,9,NA
低劣,morality,Negative,formal,2.335,1.287,Negative,52,NA
低俗,morality,Negative,EW_Interf2,2.256,1.104,Negative,NA,2
恶劣,morality,Negative,formal,2.218,1.291,Negative,186,4
奉献,morality,Positive,formal,7.929,1.338,Positive,16,NA
腐败,morality,Negative,formal,1.944,1.251,Negative,236,3
刚正,morality,Positive,formal,7.73,1.257,Positive,NA,NA
高洁,morality,Positive,formal,7.626,1.207,Positive,6,NA
高尚,morality,Positive,formal,7.879,1.302,Positive,158,3
诡诈,morality,Negative,formal,2.498,1.252,Negative,17,NA
好心,morality,Positive,formal,7.311,1.324,Positive,80,2
黑心,morality,Negative,formal,1.952,1.221,Negative,16,2
厚道,morality,Positive,formal,7.469,1.204,Positive,6,NA
混账,morality,Negative,formal,2.177,1.14,Negative,NA,2
奸险,morality,Negative,formal,2.038,1.17,Negative,NA,NA
奸诈,morality,Negative,formal,2.232,1.393,Negative,14,2
坚贞,morality,Positive,EW_Interf1,7.407,1.345,Positive,7,NA
狡狯,morality,Negative,formal,2.702,1.382,Negative,NA,NA
狡诈,morality,Negative,formal,2.589,1.263,Negative,17,2
敬业,morality,Positive,formal,8.033,1.037,Positive,NA,NA
君子,morality,Positive,formal,7.734,1.263,Positive,126,7
慷慨,morality,Positive,formal,7.611,1.387,Positive,85,21
可鄙,morality,Negative,RJ_E,2.719,1.458,Negative,NA,NA
刻薄,morality,Negative,formal,2.611,1.377,Negative,13,9
宽宏,morality,Positive,RJ_E,7.531,1.318,Positive,8,NA
宽容,morality,Positive,formal,7.498,1.301,Positive,40,4
礼貌,morality,Positive,formal,7.488,1.279,Positive,74,57
利己,morality,Negative,formal,4.172,1.638,Negative,42,NA
廉明,morality,Positive,formal,7.679,1.172,Positive,NA,NA
廉正,morality,Positive,formal,7.708,1.399,Positive,NA,NA
偏私,morality,Negative,formal,3.005,1.459,Negative,6,NA
谦逊,morality,Positive,formal,7.458,1.32,Positive,15,NA
勤恳,morality,Positive,formal,7.57,1.357,Positive,39,NA
清廉,morality,Positive,formal,7.828,1.302,Positive,7,NA
缺德,morality,Negative,formal,2.076,1.217,Negative,7,3
热心,morality,Positive,formal,7.777,1.179,Positive,123,2
仁爱,morality,Positive,formal,7.65,1.294,Positive,44,NA
