"","ParticipantID","IAT","stimulus","condition","task_id","word","screen_id","rt","RT","response","correct","version_attrib","version_target","version_attrib2","version_target2","ID"
"1",21,NA,"
    <h3>词语分类任务</h3>
    <p>在接下来的任务中，你需要对一系列词语进行分类。<p/>
    请先熟悉这些词语，这有利于你完成接下来的任务。</p>
    <table align=""center"" border=1 cellpadding=3 cellspacing=0>
    <tr> <th>类别</th> <th>词语</th> </tr>
    <tr> <td>&emsp;积极&emsp;</td> <td>&emsp;高尚、诚信、善良、君子、廉正、正直&emsp;</td> </tr>
    <tr> <td>&emsp;消极&emsp;</td> <td>&emsp;缺德、卑鄙、不孝、不仁、小人、黑心&emsp;</td> </tr>
    <tr> <td>&emsp;自我&emsp;</td> <td>&emsp;我、我的、自己、自己的、本人、本人的&emsp;</td> </tr>
    <tr> <td>&emsp;他人&emsp;</td> <td>&emsp;他、他的、别人、别人的、他人、他人的&emsp;</td> </tr>
    </table><br/>","","","","","12966",NA,"0","",NA,NA,2,2,"phase_005_subj_1"
"2",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人的</p>","other","moral","他人的","1","702",702,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"3",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他的</p>","other","moral","他的","1","596",596,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"4",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","self","moral","我","1","454",454,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"5",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","1","392",392,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"6",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人的</p>","other","moral","别人的","1","457",457,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"7",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","other","moral","别人","1","343",343,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"8",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","self","moral","自己","1","406",406,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"9",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","self","moral","自己的","1","362",362,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"10",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人的</p>","self","moral","本人的","1","519",519,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"11",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我的</p>","self","moral","我的","1","380",380,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"12",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","other","moral","他人","1","362",362,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"13",21,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","other","moral","他","1","412",412,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"14",21,12,"<p style=""color:white; font-size: 35px;"">善良</p>","positive","moral","善良","2","605",605,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"15",21,12,"<p style=""color:white; font-size: 35px;"">不孝</p>","negative","moral","不孝","2","420",420,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"16",21,12,"<p style=""color:white; font-size: 35px;"">诚信</p>","positive","moral","诚信","2","440",440,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"17",21,12,"<p style=""color:white; font-size: 35px;"">廉正</p>","positive","moral","廉正","2","531",531,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"18",21,12,"<p style=""color:white; font-size: 35px;"">卑鄙</p>","negative","moral","卑鄙","2","478",478,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"19",21,12,"<p style=""color:white; font-size: 35px;"">不仁</p>","negative","moral","不仁","2","384",384,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"20",21,12,"<p style=""color:white; font-size: 35px;"">高尚</p>","positive","moral","高尚","2","420",420,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"21",21,12,"<p style=""color:white; font-size: 35px;"">黑心</p>","negative","moral","黑心","2","449",449,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"22",21,12,"<p style=""color:white; font-size: 35px;"">君子</p>","positive","moral","君子","2","509",509,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"23",21,12,"<p style=""color:white; font-size: 35px;"">小人</p>","negative","moral","小人","2","485",485,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"24",21,12,"<p style=""color:white; font-size: 35px;"">缺德</p>","negative","moral","缺德","2","497",497,"e","true",NA,NA,NA,NA,"phase_005_subj_1"
"25",21,12,"<p style=""color:white; font-size: 35px;"">正直</p>","positive","moral","正直","2","468",468,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"26",21,13,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","self","moral","我","3","543",543,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
"27",21,13,"<p style=""color:white; font-size: 35px;"">君子</p>","positive","moral","君子","3","598",598,"i","true",NA,NA,NA,NA,"phase_005_subj_1"
