"","ParticipantID","Sex","Word","Word2","task_id","screen_id","Image","condition","word","identity","response","responses","correct_response","rt","correct","domain","valence","person","con","ID"
"6774",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","959",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6775",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","f","match","f","931",1,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6776",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","f","match","f","806",1,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
"6777",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏我","nonmatch","f","match","j","889",0,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6778",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","坏他","nonmatch","j","nonmatch","j","924",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6779",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","坏我","nonmatch","j","nonmatch","j","1177",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6780",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","f","match","f","990",1,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
"6781",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","f","match","f","1202",1,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6782",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","坏我","nonmatch","j","nonmatch","j","978",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
"6783",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","1042",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6784",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好我","nonmatch","j","nonmatch","j","925",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6785",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","好他","nonmatch","null","null","j","null",NA,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6786",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","好我","nonmatch","j","nonmatch","j","962",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6787",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","868",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6788",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","f","match","f","946",1,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6789",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","好他","nonmatch","j","nonmatch","j","1106",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6790",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","好我","nonmatch","j","nonmatch","j","1043",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6791",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏他","nonmatch","j","nonmatch","j","1014",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6792",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","坏他","nonmatch","j","nonmatch","j","1039",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
