Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12.8428399563,,,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
背叛,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/32.png,f,material/132.png,f,f,背叛,不忠,self,self,self,1,1,1,material/132.png,,,,,,,,,,,,,,,,,0,0,0,31,,,,,,,,,,,,,,,None,,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
敬业,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/62.png,j,material/162.png,j,j,坚韧,坚韧,friend,friend,friend,1,1,1,material/62.png,,,,,,,,,,,,,,,,,0,1,1,61,,,,,,,,,,,,,,,1,2.00821614265,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
机变,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/70.png,j,material/168.png,j,j,全面,全面,friend,friend,friend,2,2,2,material/70.png,,,,,,,,,,,,,,,,,0,2,2,67,,,,,,,,,,,,,,,2,1.32554101944,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
宽容,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/163.png,j,material/163.png,j,j,文明,宽容,friend,friend,friend,1,1,1,material/63.png,,,,,,,,,,,,,,,,,0,3,3,62,,,,,,,,,,,,,,,4,1.47438383102,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
孝顺,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/161.png,f,material/164.png,f,f,奉献,勇敢,self,self,self,1,1,1,material/64.png,,,,,,,,,,,,,,,,,0,4,4,63,,,,,,,,,,,,,,,5,1.40897893906,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
卑鄙,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/37.png,j,material/137.png,j,j,卑鄙,无耻,friend,friend,friend,1,1,1,material/137.png,,,,,,,,,,,,,,,,,0,5,5,36,,,,,,,,,,,,,,,2,1.5917429924,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
可恶,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/34.png,f,material/134.png,f,f,可恶,可恨,self,self,self,1,1,1,material/134.png,,,,,,,,,,,,,,,,,0,6,6,33,,,,,,,,,,,,,,,2,1.60788607597,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
廉明,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/13.png,j,material/113.png,j,j,廉明,廉洁,friend,friend,friend,1,1,1,material/113.png,,,,,,,,,,,,,,,,,0,7,7,12,,,,,,,,,,,,,,,4,1.43344593048,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
怠惰,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/181.png,j,material/180.png,j,j,怠惰,犹豫,friend,friend,friend,2,2,2,material/180.png,,,,,,,,,,,,,,,,,0,8,8,79,,,,,,,,,,,,,,,3,1.82365393639,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
无情,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/172.png,f,material/175.png,f,f,无情,浮夸,self,self,self,1,1,1,material/175.png,,,,,,,,,,,,,,,,,0,9,9,74,,,,,,,,,,,,,,,1,2.16036701202,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
厌学,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/182.png,j,material/184.png,j,j,健忘,才尽,friend,friend,friend,2,2,2,material/80.png,,,,,,,,,,,,,,,,,0,10,10,83,,,,,,,,,,,,,,,2,1.94138407707,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
虚荣,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/43.png,f,material/143.png,f,f,虚荣,拜金,self,self,self,1,1,1,material/143.png,,,,,,,,,,,,,,,,,0,11,11,42,,,,,,,,,,,,,,,3,1.57274103165,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
依靠,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/54.png,f,material/154.png,f,f,依赖,依赖,self,self,self,2,2,2,material/54.png,,,,,,,,,,,,,,,,,0,12,12,53,,,,,,,,,,,,,,,5,1.1085729599,,,,,,,,,moral_self_bias,21,20,59.9984264786,m,001,2018_Apr_02_1723,
