Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.42542290688,,,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
无能,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/57.png,j,material/157.png,j,j,无知,无知,friend,friend,friend,2,2,2,material/57.png,,,,,,,,,,,,,,,,,0,0,0,56,,,,,,,,,,,,,,,2,2.95944190025,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
高效,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/169.png,f,material/171.png,f,f,颖悟,颖悟,self,self,self,2,2,2,material/169.png,,,,,,,,,,,,,,,,,0,1,1,70,,,,,,,,,,,,,,,4,1.74265813828,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
公平,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/7.png,j,material/107.png,j,j,公平,公正,friend,friend,friend,1,1,1,material/107.png,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,5,1.16627597809,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
可恶,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/34.png,f,material/134.png,f,f,可恶,可恨,self,self,self,1,1,1,material/134.png,,,,,,,,,,,,,,,,,0,3,3,33,,,,,,,,,,,,,,,4,1.74918198586,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
仁厚,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/3.png,f,material/103.png,f,f,仁厚,仁慈,self,self,self,1,1,1,material/103.png,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,2,1.54201698303,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
正直,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/9.png,j,material/109.png,j,j,正直,秉直,friend,friend,friend,1,1,1,material/109.png,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,5,1.10952591896,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
刻板,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/47.png,j,material/147.png,j,j,死板,死板,friend,friend,friend,2,2,2,material/47.png,,,,,,,,,,,,,,,,,0,6,6,46,,,,,,,,,,,,,,,2,1.70889902115,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
愚钝,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/56.png,f,material/156.png,f,f,愚昧,愚昧,self,self,self,2,2,2,material/56.png,,,,,,,,,,,,,,,,,0,7,7,55,,,,,,,,,,,,,,,3,2.09238386154,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
忠贞,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/14.png,j,material/114.png,j,j,忠贞,爱国,friend,friend,friend,1,1,1,material/114.png,,,,,,,,,,,,,,,,,0,8,8,13,,,,,,,,,,,,,,,5,1.09190702438,,,,,,,,,moral_self_bias,03,19,59.8222293219,f,001,2018_Apr_02_1011,
