"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","person","valence","domain","math","status","duration","question_order"
"13069","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: red;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","13077","0.0-0.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","13079","0.0-1.0-0.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79842","","[{""name"":""Sex"",""value"":""0""},{""name"":""friend_name"",""value"":""宋""},{""name"":""ParticipantID"",""value"":""698""}]","survey-html-form","2","92925","0.0-1.0-1.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","93148","0.0-2.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","94021","0.0-3.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40969.30000001192","","{""Q01"":""5"",""Q02"":""6"",""Q03"":""7"",""Q04"":""6"",""Q05"":""7""}","survey-template","5","134999","0.0-4.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""5"",""Q02"":""6"",""Q03"":""7"",""Q04"":""6"",""Q05"":""7""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q02"",""Q03"",""Q04""]","[9810.90000000596,11400.300000011921,12438,14731.800000011921,16854,26223.70000001788,27077.80000001192,28745.80000001192]","[]","[9810.90000000596,11400.300000011921,12438,14016.59999999404,14731.800000011921,16854,25807.90000000596,26223.70000001788,26766.20000001788,27077.80000001192,28440.70000001788,28745.80000001192,38859.90000000596,40968.09999999404]","0.4","1","0","","","","","","","","","","","","","","","","","","","","","",""
"24125.90000000596","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""5"",""Q04"":""5"",""Q05"":""4"",""Q06"":""4""}","survey-template","6","159130","0.0-5.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""4"",""Q02"":""4"",""Q03"":""5"",""Q04"":""5"",""Q05"":""4"",""Q06"":""4""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06""]","[2597.2999999821186,6167.199999988079,8369.299999982119,10464.699999988079,11828.90000000596,15241.09999999404]","[]","[2597.2999999821186,6167.199999988079,8369.299999982119,10112.199999988079,10464.699999988079,11409,11828.90000000596,15241.09999999404,24124.90000000596]","0.3333333333333333","0.4","0","","","","","","","","","","","","","","","","","","","","","",""
"62231.90000000596","","{""Q01"":""-2"",""Q02"":""-3"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""0"",""Q07"":""1"",""Q08"":""2""}","survey-template","7","221366","0.0-6.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","{""Q01"":""-2"",""Q02"":""-3"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""0"",""Q07"":""1"",""Q08"":""2""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[21744.59999999404,23942.59999999404,25615,28898.29999998212,30407.09999999404,33212.69999998808,34802.29999998212,35786.69999998808]","[]","[20938.5,21744.59999999404,23942.59999999404,25615,28898.29999998212,30407.09999999404,32742.90000000596,33212.69999998808,34326.69999998808,34802.29999998212,35786.69999998808,57584.69999998808,62230.5]","0.375","0.8571428571428571","0","","","","","","","","","","","","","","","","","","","","","",""
"28261","","","instructions","8","249631","0.0-7.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":28261}]","","","","","","","","","","","","","","","","","","","","",""
"59407","","","instructions","9","309040","0.0-8.0-1.0-0.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1049},{""page_index"":1,""viewing_time"":54790},{""page_index"":2,""viewing_time"":1844},{""page_index"":3,""viewing_time"":1724}]","","","","","","","","","","","","","","","","","","","","",""
"838","","j","psychophysics","10","310884","0.0-8.0-1.0-1.0-0.0-0.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","nonmatch","","","","","","","","","","key","j","16.65365454545456","799.9999682108573","445.8333156175091","f","false","match","img/diamond.png","弱他","弱他","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:red; font-size: 70px;'>错误! </span>","null","html-keyboard-response","11","311386","0.0-8.0-1.0-1.0-0.0-1.0","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"806","","f","psychophysics","12","313194","0.0-8.0-1.0-1.0-0.0-0.1","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","match","","","","","","","","","","key","f","16.653588785046807","799.9999682108573","445.8333156175091","f","true","match","img/ellipse.png","强他","强他","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","13","313697","0.0-8.0-1.0-1.0-0.0-1.1","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"1039","","f","psychophysics","14","315737","0.0-8.0-1.0-1.0-0.0-0.2","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","match","","","","","","","","","","key","f","16.65227272727263","799.9999682108573","445.8333156175091","f","true","match","img/pentagon.png","弱我","弱我","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","html-keyboard-response","15","316248","0.0-8.0-1.0-1.0-0.0-1.2","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
"813","","f","psychophysics","16","318063","0.0-8.0-1.0-1.0-0.0-0.3","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","match","","","","","","","","","","key","f","16.652203703703922","799.9999682108573","445.8333156175091","j","false","nonmatch","img/trapezoid.png","强他","强我","prac_ALT2_ability","practice_ability","","","","","","","",""
"null","<span style='color:red; font-size: 70px;'>错误! </span>","null","html-keyboard-response","17","318565","0.0-8.0-1.0-1.0-0.0-1.3","5","6","7","6","7","4","4","5","5","4","4","-2","-3","1","2","1","0","1","2","4","5","4","5","4","5","4","1","5","4","8","6","7","8","7","9","8","7","6","6","6","5","7","5","6","7","7","5","6","6","7","2","5","5","6","6","5","7","5","2","5","1","5","6","6","7","7","5","6","7","6","7","2","5","6","7","5","6","7","634030444760793088","宋","698","Male","[""好我"",""好他"",""坏我"",""坏他""]","[""强我"",""强他"",""弱我"",""弱他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","feedback_test","","","","","","","",""
