"","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","correct_answer","trap1_item","ID"
"47",381,3,4,4,3,3,4,3,4,4,4,4,4,5,4,4,4,4,3,4,5,2,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,4,3,4,2,1,3,3,2,1,NA,"","phase_016_subj_47"
"48",63,3,3,4,4,4,3,3,4,4,4,4,4,4,4,5,4,5,3,4,5,2,1,2,2,2,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,1,2,1,3,5,3,2,4,3,1,NA,"","phase_016_subj_8"
"49",304,3,3,4,3,3,3,3,4,4,4,4,4,2,4,4,4,4,4,3,4,2,2,2,1,2,2,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,4,4,4,2,2,1,4,2,2,4,2,NA,"","phase_016_subj_36"
"50",430,3,4,4,3,3,3,3,3,3,4,4,4,5,4,5,4,4,4,4,4,3,2,2,2,2,2,2,3,3,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3,2,2,1,3,3,4,NA,3,4,2,NA,"","phase_016_subj_46"
"51",463,3,3,3,3,2,3,2,2,3,4,3,2,2,3,3,2,2,3,4,4,2,2,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,3,5,2,2,1,4,2,NA,"","phase_016_subj_59"
"52",368,4,4,3,3,4,1,3,3,3,3,5,5,5,5,5,5,5,3,3,4,1,1,2,2,3,2,2,4,2,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,2,4,3,1,2,1,3,3,2,2,2,NA,"","phase_016_subj_55"
"53",647,3,3,4,3,3,3,3,3,4,3,4,3,1,3,3,4,4,2,4,5,4,5,4,4,5,3,4,5,4,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,4,2,4,1,2,1,4,5,4,2,3,NA,"","phase_016_subj_73"
"54",220,3,3,4,3,3,3,3,2,3,3,4,2,3,3,2,4,3,4,4,4,4,4,3,4,3,2,3,3,3,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,5,2,2,3,4,1,3,3,2,4,2,NA,"","phase_016_subj_30"
"55",328,4,3,4,4,2,4,3,2,4,4,5,4,2,5,2,4,3,2,4,3,2,3,1,2,1,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,5,5,4,4,1,4,5,5,3,4,NA,"","phase_016_subj_40"
"56",509,3,3,3,3,3,3,3,3,4,4,3,4,2,3,4,4,3,2,4,4,4,5,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,3,4,4,2,2,3,2,2,2,NA,"","phase_016_subj_60"
