"","graph","type","node","measure","value"
"1","graph 1",NA,"selfclarity_1","Betweenness",149
"2","graph 1",NA,"selfclarity_2","Betweenness",101
"3","graph 1",NA,"selfclarity_3","Betweenness",36
"4","graph 1",NA,"selfclarity_4","Betweenness",396
"5","graph 1",NA,"selfclarity_5","Betweenness",121
"6","graph 1",NA,"selfclarity_6","Betweenness",66
"7","graph 1",NA,"selfclarity_7","Betweenness",26
"8","graph 1",NA,"selfclarity_8","Betweenness",190
"9","graph 1",NA,"selfclarity_9","Betweenness",33
"10","graph 1",NA,"selfclarity_10","Betweenness",182
"11","graph 1",NA,"selfclarity_11","Betweenness",185
"12","graph 1",NA,"selfclarity_12","Betweenness",223
"13","graph 1",NA,"LOT_1","Betweenness",168
"14","graph 1",NA,"LOT_2","Betweenness",47
"15","graph 1",NA,"LOT_3","Betweenness",175
"16","graph 1",NA,"LOT_4","Betweenness",50
"17","graph 1",NA,"LOT_5","Betweenness",95
"18","graph 1",NA,"LOT_6","Betweenness",35
"19","graph 1",NA,"IPC_1","Betweenness",811
"20","graph 1",NA,"IPC_2","Betweenness",125
"21","graph 1",NA,"IPC_3","Betweenness",346
"22","graph 1",NA,"IPC_4","Betweenness",208
"23","graph 1",NA,"IPC_5","Betweenness",122
"24","graph 1",NA,"IPC_6","Betweenness",512
"25","graph 1",NA,"IPC_7","Betweenness",578
"26","graph 1",NA,"IPC_8","Betweenness",48
"27","graph 1",NA,"ses_1","Betweenness",363
"28","graph 1",NA,"ses_2","Betweenness",134
"29","graph 1",NA,"ses_3","Betweenness",27
"30","graph 1",NA,"ses_4","Betweenness",172
"31","graph 1",NA,"ses_5","Betweenness",212
"32","graph 1",NA,"ses_6","Betweenness",94
"33","graph 1",NA,"ses_7","Betweenness",156
"34","graph 1",NA,"ses_8","Betweenness",74
"35","graph 1",NA,"ses_9","Betweenness",124
"36","graph 1",NA,"ses_10","Betweenness",66
"37","graph 1",NA,"coreself_1","Betweenness",92
"38","graph 1",NA,"coreself_2","Betweenness",320
"39","graph 1",NA,"coreself_3","Betweenness",72
"40","graph 1",NA,"coreself_4","Betweenness",167
"41","graph 1",NA,"coreself_5","Betweenness",48
"42","graph 1",NA,"coreself_6","Betweenness",98
"43","graph 1",NA,"coreself_7","Betweenness",163
"44","graph 1",NA,"coreself_8","Betweenness",155
"45","graph 1",NA,"coreself_9","Betweenness",168
"46","graph 1",NA,"coreself_10","Betweenness",110
"47","graph 1",NA,"NPI1","Betweenness",151
"48","graph 1",NA,"NPI2","Betweenness",120
"49","graph 1",NA,"NPI3","Betweenness",385
"50","graph 1",NA,"NPI4","Betweenness",236
"51","graph 1",NA,"NPI5","Betweenness",0
"52","graph 1",NA,"NPI6","Betweenness",299
"53","graph 1",NA,"NPI7","Betweenness",146
"54","graph 1",NA,"NPI8","Betweenness",131
"55","graph 1",NA,"NPI9","Betweenness",47
"56","graph 1",NA,"NPI10","Betweenness",82
"57","graph 1",NA,"NPI11","Betweenness",213
"58","graph 1",NA,"NPI12","Betweenness",0
"59","graph 1",NA,"NPI13","Betweenness",2
"60","graph 1",NA,"NPI14","Betweenness",25
"61","graph 1",NA,"NPI15","Betweenness",327
"62","graph 1",NA,"hsns_1","Betweenness",5
"63","graph 1",NA,"hsns_2","Betweenness",613
"64","graph 1",NA,"hsns_3","Betweenness",140
"65","graph 1",NA,"hsns_4","Betweenness",225
