"","x"
"a_I",0.113335322276859
"m_I",0.0967541172414931
"ablty_ALT_rt_v",0.448267084498415
"mrl_ALT_rt_v",0.488945053189514
"ablty_ALT_rt_r",0.437963237386443
"mrl_ALT_rt_r",0.482109567603137
"a_S",0.396753793375937
"m_S",0.247348147945068
"ablty_ALT_d_v",0.425622899928979
"mrl_ALT_d_v",0.449306445895143
"ablty_ALT_d_r",0.418253399032724
"mrl_ALT_d_r",0.443838654985568
"sl_1",0.451319788900856
"sl_2",0.621121676292971
"sl_3",0.247764551323648
"sl_4",0.500273823731359
"sl_5",0.481235380169374
"sl_6",0.457756351600252
"sl_7",0.316715751896731
"sl_8",0.594827933011977
"sl_9",0.551660106401956
"sl_10",0.366516893707707
"sl_11",0.537555170174844
"sl_12",0.544763514613838
"LOT_1",0.268003167549938
"LOT_2",0.376248987530844
"LOT_3",0.578046401715983
"LOT_4",0.381648672882248
"LOT_5",0.439463553499246
"LOT_6",0.209009076652308
"IPC_1",0.331316253615053
"IPC_2",0.163748112996309
"IPC_3",0.500270028793823
"IPC_4",0.132558461418887
"IPC_5",0.474919344387862
"IPC_6",0.483199378141013
"IPC_7",0.379356059857991
"IPC_8",0.31871918924006
"ss_1",0.505514693407523
"ss_2",0.381010387739855
"ss_3",0.552915558907123
"ss_4",0.478696644772499
"ss_5",0.466927607049723
"ss_6",0.545298282578948
"ss_7",0.583538829047092
"ss_8",0.234311684001019
"ss_9",0.590328354551895
"ss_10",0.565410443339348
"cr_1",0.562067284256825
"c_2",0.560189268047539
"c_3",0.567069331071038
"c_4",0.507542388199368
"c_5",0.514930335508023
"c_6",0.634307112547806
"c_7",0.636243525400561
"c_8",0.610204474822395
"c_9",0.540518514915773
"c_10",0.559125154807352
"NPI1",0.249824074011677
"NPI2",0.522131555564097
"NPI3",0.411849450449766
"NPI4",0.353170822333003
"NPI5",0.296373804378879
"NPI6",0.180839424767375
"NPI7",0.384682853926838
"NPI8",0.190175716920163
"NPI9",0.121263084563773
"NPI10",0.502178461130214
"NPI11",0.309886163528595
"NPI12",0.0263749269175673
"NPI13",0.143810911599104
"NPI14",0.039596471397255
"NPI15",0.396779397396004
"hs_1",0.419752931303139
"h_2",0.509277266581295
"h_3",0.3884505909996
"h_4",0.191069085368813
"h_5",0.403567195828359
"h_6",0.239683844740658
"h_7",0.274203347127789
"h_8",0.225767999143951
"h_9",0.119633186711577
"h_10",0.293127942494485
"MrI_1",0.247124746911651
"MI_2",0.339391812467185
"MI_3",0.127216669234186
"MI_4",0.151348442715406
"MI_5",0.365874922885113
"MI_6",0.272920329128191
"MI_7",0.348153929698251
"MI_8",0.290916120511855
"MI_9",0.319275352858021
"MI_10",0.348412023863082
"mSI_1",0.575946862483701
"mSI_2",0.550650488847118
"mSI_3",0.553948332400529
"mSI_4",0.573360449846548
"mSI_5",0.535202358461541
"mSI_6",0.470353687638138
"mSI_7",0.601764686299799
"mSI_8",0.584574863318222
"mSI_9",0.585873337515337
"sd_1",0.248186185993111
"sd_2",0.455107170194832
"sd_3",0.279446411657936
"sd_4",0.46173904759145
"sd_5",0.485066865691901
"sd_6",0.569765554450343
"sd_7",0.262777969345565
"sd_8",0.0892574937942288
"sd_9",0.523132091156831
"sd_10",0.575989603501109
"sd_11",0.522915650271687
"sd_12",0.557792364750086
"s_13",0.224092779573041
"s_14",0.364279722351083
"s_15",0.433001241511406
"s_16",0.335030826685523
"s_17",0.519772828251203
"s_18",0.353040719159194
"s_19",0.282555052415689
"s_20",0.556478588318287
"IM_1",0.515169737513805
"IM_2",0.462980667708137
"IM_3",0.43081777318052
"IM_4",0.49417691677019
"IM_5",0.472830764251433
"IM_6",0.355289558290669
"IM_7",0.455787474359227
"IM_8",0.181969961253025
"IM_9",0.372487121995456
"IM_10",0.170437805986681
"IM_11",0.30004438434552
"IM_12",0.404202561753475
"IM_13",0.186005405771727
"IM_14",0.30587786859355
"IM_15",0.45065109867227
"IM_16",0.451529701622727
"IM_17",0.372332166986682
"IM_18",0.17733804142035
"IM_19",0.57268869498697
"IM_20",0.402984582128185
"Abl",0.54551343578254
"Att",0.496336281109672
"Wlt",0.451906263780897
"Scl",0.503453954472553
"Mrl",0.415021500341408
"SES2",0.462708430195855
"SES1",0.443194795275997
