"","%IncMSE","IncNodePurity"
"selfclarity_1",3.46831507795034,1.69636365685458
"selfclarity_2",3.4590671146557,1.05465497494192
"selfclarity_3",4.9445216667028,1.97011829035869
"selfclarity_4",12.044279315381,28.2535340131674
"selfclarity_5",3.49783065184372,2.03760486372312
"selfclarity_6",9.04108539780136,5.39785919430549
"selfclarity_7",2.51977281354768,0.599777391774406
"selfclarity_8",4.75810936840926,4.3841248138239
"selfclarity_9",2.93764543006035,1.48108229686574
"selfclarity_10",4.5792723560528,1.79008007957572
"selfclarity_11",5.52201980685603,2.36618516939139
"selfclarity_12",8.82241092509093,10.2178219546781
"LOT_1",1.25804852892171,0.541556662544589
"LOT_2",2.77248758439721,0.918493307294702
"LOT_3",6.83691761927234,6.81012170424113
"LOT_4",0.352340666523333,0.219825570747413
"LOT_5",-0.945135721768846,0.161711101387456
"LOT_6",0.536505152658784,0.116787580352549
"IPC_1",5.69429484523377,1.09193600199221
"IPC_2",2.08358813495122,0.346152315003062
"IPC_3",12.3869164220476,27.758236783091
"IPC_4",1.98469447207474,0.444014561802286
"IPC_5",7.12085026957968,4.3742022063843
"IPC_6",2.86535836666612,1.99455598778042
"IPC_7",2.14936487611907,0.482233108664173
"IPC_8",3.92797939558193,0.909692234205029
"ses_1",3.36179396080852,1.13278408287083
"ses_2",1.73596277668324,0.186653062966991
"ses_3",4.73386060948656,2.28015792170674
"ses_4",2.05860019295517,0.379874900603627
"ses_5",2.26299877723029,0.413345907321905
"ses_6",3.0574289005301,0.866577338938155
"ses_7",6.20482006136053,3.13434508098772
"ses_8",3.38861188378522,0.663844571155416
"ses_9",3.18156400596494,0.643164174590572
"ses_10",1.91364976241145,0.208929243237818
"coreself_1",3.36445565717026,0.34791590796498
"coreself_2",4.43114613141951,2.27955470894222
"coreself_3",3.4591383071811,1.73163048558304
"coreself_4",1.50130722350279,0.649938601411619
"coreself_5",3.24210259447881,1.16582733436249
"coreself_6",13.3073763812035,18.6305035503769
"coreself_7",5.92904070358605,5.02714944397437
"coreself_8",3.08344108958251,2.37577023679295
"coreself_9",1.99422400325575,0.560474820356562
"coreself_10",9.77871007910786,8.70679636213767
"NPI1",1.81032808389581,0.206011630942182
"NPI2",-0.21983570372786,0.12446805270975
"NPI3",0.119287152459431,0.129904734161866
"NPI4",0.458026193147766,0.103678357607669
"NPI5",1.29632556851558,0.156096715955714
"NPI6",-2.14091517755588,0.153127823576616
"NPI7",1.26270061988091,0.118641759085156
"NPI8",2.88684626006896,0.196396501493525
"NPI9",3.04695436121861,0.496748395616254
"NPI10",1.69000348989471,0.106617598889737
"NPI11",2.00111971269193,0.188332096297313
"NPI12",-0.0789924043159427,0.082438096399483
