"X","ParticipantID","task_id","screen_id","condition","word","response","responses","rt","correct","conditionType","con","ID"
865,446,"ALT1_1","prac_ALT1_1","pentagon","trapezoid","null","null",NA,NA,"nonmatch","pentagon_nonmatch","phase_014_subj_42"
866,446,"ALT1_1","prac_ALT1_1","circle","square","j","nonmatch",937,"true","nonmatch","circle_nonmatch","phase_014_subj_42"
867,446,"ALT1_1","prac_ALT1_1","trapezoid","pentagon","j","nonmatch",946,"true","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
868,446,"ALT1_1","prac_ALT1_1","square","circle","j","nonmatch",1083,"true","nonmatch","square_nonmatch","phase_014_subj_42"
869,446,"ALT1_1","prac_ALT1_1","trapezoid","trapezoid","j","nonmatch",1083,"false","match","trapezoid_match","phase_014_subj_42"
870,446,"ALT1_1","prac_ALT1_1","square","trapezoid","null","null",NA,NA,"nonmatch","square_nonmatch","phase_014_subj_42"
871,446,"ALT1_1","prac_ALT1_1","square","pentagon","j","nonmatch",1095,"true","nonmatch","square_nonmatch","phase_014_subj_42"
872,446,"ALT1_1","prac_ALT1_1","circle","circle","f","match",774,"true","match","circle_match","phase_014_subj_42"
873,446,"ALT1_1","prac_ALT1_1","square","square","f","match",1199,"true","match","square_match","phase_014_subj_42"
874,446,"ALT1_1","prac_ALT1_1","circle","trapezoid","j","nonmatch",763,"true","nonmatch","circle_nonmatch","phase_014_subj_42"
875,446,"ALT1_1","prac_ALT1_1","pentagon","pentagon","f","match",795,"true","match","pentagon_match","phase_014_subj_42"
876,446,"ALT1_1","prac_ALT1_1","trapezoid","trapezoid","f","match",1130,"true","match","trapezoid_match","phase_014_subj_42"
877,446,"ALT1_1","prac_ALT1_1","circle","circle","f","match",742,"true","match","circle_match","phase_014_subj_42"
878,446,"ALT1_1","prac_ALT1_1","trapezoid","square","j","nonmatch",1017,"true","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
879,446,"ALT1_1","prac_ALT1_1","circle","circle","f","match",898,"true","match","circle_match","phase_014_subj_42"
880,446,"ALT1_1","prac_ALT1_1","pentagon","square","j","nonmatch",828,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
881,446,"ALT1_1","prac_ALT1_1","trapezoid","trapezoid","f","match",1023,"true","match","trapezoid_match","phase_014_subj_42"
882,446,"ALT1_1","prac_ALT1_1","square","square","f","match",927,"true","match","square_match","phase_014_subj_42"
883,446,"ALT1_1","prac_ALT1_1","pentagon","pentagon","f","match",1031,"true","match","pentagon_match","phase_014_subj_42"
884,446,"ALT1_1","prac_ALT1_1","pentagon","circle","j","nonmatch",898,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
885,446,"ALT1_1","prac_ALT1_1","square","square","f","match",893,"true","match","square_match","phase_014_subj_42"
886,446,"ALT1_1","prac_ALT1_1","pentagon","pentagon","f","match",869,"true","match","pentagon_match","phase_014_subj_42"
887,446,"ALT1_1","prac_ALT1_1","trapezoid","circle","j","nonmatch",897,"true","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
888,446,"ALT1_1","prac_ALT1_1","circle","pentagon","j","nonmatch",731,"true","nonmatch","circle_nonmatch","phase_014_subj_42"
889,446,"ALT1_1","prac_ALT1_1","square","pentagon","j","nonmatch",788,"true","nonmatch","square_nonmatch","phase_014_subj_42"
890,446,"ALT1_1","prac_ALT1_1","square","square","f","match",857,"true","match","square_match","phase_014_subj_42"
891,446,"ALT1_1","prac_ALT1_1","circle","circle","f","match",624,"true","match","circle_match","phase_014_subj_42"
892,446,"ALT1_1","prac_ALT1_1","trapezoid","circle","j","nonmatch",732,"true","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
893,446,"ALT1_1","prac_ALT1_1","square","circle","j","nonmatch",698,"true","nonmatch","square_nonmatch","phase_014_subj_42"
894,446,"ALT1_1","prac_ALT1_1","trapezoid","pentagon","f","match",901,"false","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
895,446,"ALT1_1","prac_ALT1_1","trapezoid","trapezoid","f","match",934,"true","match","trapezoid_match","phase_014_subj_42"
896,446,"ALT1_1","prac_ALT1_1","circle","square","j","nonmatch",676,"true","nonmatch","circle_nonmatch","phase_014_subj_42"
897,446,"ALT1_1","prac_ALT1_1","square","trapezoid","j","nonmatch",1139,"true","nonmatch","square_nonmatch","phase_014_subj_42"
898,446,"ALT1_1","prac_ALT1_1","circle","trapezoid","j","nonmatch",762,"true","nonmatch","circle_nonmatch","phase_014_subj_42"
899,446,"ALT1_1","prac_ALT1_1","pentagon","pentagon","f","match",908,"true","match","pentagon_match","phase_014_subj_42"
900,446,"ALT1_1","prac_ALT1_1","trapezoid","square","j","nonmatch",902,"true","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
901,446,"ALT1_1","prac_ALT1_1","pentagon","circle","j","nonmatch",756,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
902,446,"ALT1_1","prac_ALT1_1","square","square","f","match",941,"true","match","square_match","phase_014_subj_42"
903,446,"ALT1_1","prac_ALT1_1","circle","pentagon","j","nonmatch",692,"true","nonmatch","circle_nonmatch","phase_014_subj_42"
904,446,"ALT1_1","prac_ALT1_1","pentagon","pentagon","f","match",765,"true","match","pentagon_match","phase_014_subj_42"
905,446,"ALT1_1","prac_ALT1_1","pentagon","trapezoid","j","nonmatch",849,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
906,446,"ALT1_1","prac_ALT1_1","square","square","f","match",839,"true","match","square_match","phase_014_subj_42"
907,446,"ALT1_1","prac_ALT1_1","circle","circle","f","match",748,"true","match","circle_match","phase_014_subj_42"
908,446,"ALT1_1","prac_ALT1_1","pentagon","pentagon","f","match",1035,"true","match","pentagon_match","phase_014_subj_42"
909,446,"ALT1_1","prac_ALT1_1","trapezoid","trapezoid","f","match",617,"true","match","trapezoid_match","phase_014_subj_42"
910,446,"ALT1_1","prac_ALT1_1","pentagon","square","j","nonmatch",869,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
911,446,"ALT1_1","prac_ALT1_1","trapezoid","trapezoid","null","null",NA,NA,"match","trapezoid_match","phase_014_subj_42"
912,446,"ALT1_1","prac_ALT1_1","circle","circle","f","match",880,"true","match","circle_match","phase_014_subj_42"
913,446,"ALT1","formal_ALT1_1","trapezoid","trapezoid","f","match",902,"true","match","trapezoid_match","phase_014_subj_42"
914,446,"ALT1","formal_ALT1_1","circle","square","f","match",335,"false","nonmatch","circle_nonmatch","phase_014_subj_42"
915,446,"ALT1","formal_ALT1_1","square","square","f","match",855,"true","match","square_match","phase_014_subj_42"
916,446,"ALT1","formal_ALT1_1","square","square","f","match",686,"true","match","square_match","phase_014_subj_42"
917,446,"ALT1","formal_ALT1_1","circle","circle","f","match",757,"true","match","circle_match","phase_014_subj_42"
918,446,"ALT1","formal_ALT1_1","trapezoid","pentagon","f","match",1116,"false","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
919,446,"ALT1","formal_ALT1_1","pentagon","pentagon","f","match",1056,"true","match","pentagon_match","phase_014_subj_42"
920,446,"ALT1","formal_ALT1_1","pentagon","circle","j","nonmatch",870,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
921,446,"ALT1","formal_ALT1_1","trapezoid","trapezoid","f","match",669,"true","match","trapezoid_match","phase_014_subj_42"
922,446,"ALT1","formal_ALT1_1","square","circle","f","match",555,"false","nonmatch","square_nonmatch","phase_014_subj_42"
923,446,"ALT1","formal_ALT1_1","square","trapezoid","j","nonmatch",1024,"true","nonmatch","square_nonmatch","phase_014_subj_42"
924,446,"ALT1","formal_ALT1_1","trapezoid","circle","j","nonmatch",809,"true","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
925,446,"ALT1","formal_ALT1_1","trapezoid","trapezoid","f","match",838,"true","match","trapezoid_match","phase_014_subj_42"
926,446,"ALT1","formal_ALT1_1","square","pentagon","j","nonmatch",678,"true","nonmatch","square_nonmatch","phase_014_subj_42"
927,446,"ALT1","formal_ALT1_1","circle","pentagon","j","nonmatch",742,"true","nonmatch","circle_nonmatch","phase_014_subj_42"
928,446,"ALT1","formal_ALT1_1","pentagon","pentagon","f","match",723,"true","match","pentagon_match","phase_014_subj_42"
929,446,"ALT1","formal_ALT1_1","trapezoid","square","j","nonmatch",716,"true","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
930,446,"ALT1","formal_ALT1_1","square","square","f","match",988,"true","match","square_match","phase_014_subj_42"
931,446,"ALT1","formal_ALT1_1","circle","trapezoid","j","nonmatch",693,"true","nonmatch","circle_nonmatch","phase_014_subj_42"
932,446,"ALT1","formal_ALT1_1","pentagon","trapezoid","j","nonmatch",765,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
933,446,"ALT1","formal_ALT1_1","pentagon","square","j","nonmatch",859,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
934,446,"ALT1","formal_ALT1_1","circle","circle","f","match",606,"true","match","circle_match","phase_014_subj_42"
935,446,"ALT1","formal_ALT1_1","pentagon","pentagon","f","match",819,"true","match","pentagon_match","phase_014_subj_42"
936,446,"ALT1","formal_ALT1_1","circle","circle","f","match",633,"true","match","circle_match","phase_014_subj_42"
937,446,"ALT1","formal_ALT1_1","square","square","f","match",538,"true","match","square_match","phase_014_subj_42"
938,446,"ALT1","formal_ALT1_1","circle","circle","f","match",638,"true","match","circle_match","phase_014_subj_42"
939,446,"ALT1","formal_ALT1_1","circle","square","j","nonmatch",773,"true","nonmatch","circle_nonmatch","phase_014_subj_42"
940,446,"ALT1","formal_ALT1_1","square","square","f","match",772,"true","match","square_match","phase_014_subj_42"
941,446,"ALT1","formal_ALT1_1","pentagon","circle","j","nonmatch",773,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
942,446,"ALT1","formal_ALT1_1","trapezoid","square","j","nonmatch",888,"true","nonmatch","trapezoid_nonmatch","phase_014_subj_42"
943,446,"ALT1","formal_ALT1_1","trapezoid","trapezoid","f","match",930,"true","match","trapezoid_match","phase_014_subj_42"
944,446,"ALT1","formal_ALT1_1","pentagon","square","j","nonmatch",744,"true","nonmatch","pentagon_nonmatch","phase_014_subj_42"
