"X","ParticipantID","task_id","screen_id","condition","word","response","responses","rt","correct","conditionType","con","ID"
7105,312,"ALT1_2","prac_ALT1_2","circle","diamond","null","null",NA,NA,"nonmatch","circle_nonmatch","phase_006_subj_7"
7106,312,"ALT1_2","prac_ALT1_2","diamond","circle","f","match",297,"false","nonmatch","diamond_nonmatch","phase_006_subj_7"
7107,312,"ALT1_2","prac_ALT1_2","hexagon","hexagon","j","nonmatch",311,"false","match","hexagon_match","phase_006_subj_7"
7108,312,"ALT1_2","prac_ALT1_2","triangle","triangle","f","match",275,"true","match","triangle_match","phase_006_subj_7"
7109,312,"ALT1_2","prac_ALT1_2","diamond","hexagon","null","null",NA,NA,"nonmatch","diamond_nonmatch","phase_006_subj_7"
7110,312,"ALT1_2","prac_ALT1_2","triangle","circle","j","nonmatch",173,"true","nonmatch","triangle_nonmatch","phase_006_subj_7"
7111,312,"ALT1_2","prac_ALT1_2","diamond","diamond","f","match",241,"true","match","diamond_match","phase_006_subj_7"
7112,312,"ALT1_2","prac_ALT1_2","diamond","diamond","f","match",293,"true","match","diamond_match","phase_006_subj_7"
7113,312,"ALT1_2","prac_ALT1_2","diamond","diamond","f","match",349,"true","match","diamond_match","phase_006_subj_7"
7114,312,"ALT1_2","prac_ALT1_2","triangle","triangle","j","nonmatch",350,"false","match","triangle_match","phase_006_subj_7"
7115,312,"ALT1_2","prac_ALT1_2","circle","circle","f","match",75,"true","match","circle_match","phase_006_subj_7"
7116,312,"ALT1_2","prac_ALT1_2","hexagon","hexagon","f","match",262,"true","match","hexagon_match","phase_006_subj_7"
7117,312,"ALT1_2","prac_ALT1_2","hexagon","hexagon","f","match",253,"true","match","hexagon_match","phase_006_subj_7"
7118,312,"ALT1_2","prac_ALT1_2","hexagon","circle","f","match",276,"false","nonmatch","hexagon_nonmatch","phase_006_subj_7"
7119,312,"ALT1_2","prac_ALT1_2","diamond","triangle","f","match",309,"false","nonmatch","diamond_nonmatch","phase_006_subj_7"
7120,312,"ALT1_2","prac_ALT1_2","triangle","diamond","j","nonmatch",282,"true","nonmatch","triangle_nonmatch","phase_006_subj_7"
7121,312,"ALT1_2","prac_ALT1_2","circle","circle","j","nonmatch",350,"false","match","circle_match","phase_006_subj_7"
7122,312,"ALT1_2","prac_ALT1_2","triangle","triangle","f","match",578,"true","match","triangle_match","phase_006_subj_7"
7123,312,"ALT1_2","prac_ALT1_2","hexagon","diamond","f","match",277,"false","nonmatch","hexagon_nonmatch","phase_006_subj_7"
7124,312,"ALT1_2","prac_ALT1_2","hexagon","triangle","j","nonmatch",234,"true","nonmatch","hexagon_nonmatch","phase_006_subj_7"
7125,312,"ALT1_2","prac_ALT1_2","circle","triangle","j","nonmatch",228,"true","nonmatch","circle_nonmatch","phase_006_subj_7"
7126,312,"ALT1_2","prac_ALT1_2","triangle","hexagon","j","nonmatch",224,"true","nonmatch","triangle_nonmatch","phase_006_subj_7"
7127,312,"ALT1_2","prac_ALT1_2","circle","hexagon","j","nonmatch",351,"true","nonmatch","circle_nonmatch","phase_006_subj_7"
7128,312,"ALT1_2","prac_ALT1_2","circle","circle","j","nonmatch",314,"false","match","circle_match","phase_006_subj_7"
7129,312,"ALT1_2","prac_ALT1_2","triangle","triangle","f","match",303,"true","match","triangle_match","phase_006_subj_7"
7130,312,"ALT1_2","prac_ALT1_2","hexagon","diamond","f","match",314,"false","nonmatch","hexagon_nonmatch","phase_006_subj_7"
7131,312,"ALT1_2","prac_ALT1_2","diamond","circle","f","match",249,"false","nonmatch","diamond_nonmatch","phase_006_subj_7"
7132,312,"ALT1_2","prac_ALT1_2","triangle","triangle","j","nonmatch",31,"false","match","triangle_match","phase_006_subj_7"
7133,312,"ALT1_2","prac_ALT1_2","triangle","circle","j","nonmatch",285,"true","nonmatch","triangle_nonmatch","phase_006_subj_7"
7134,312,"ALT1_2","prac_ALT1_2","hexagon","hexagon","j","nonmatch",246,"false","match","hexagon_match","phase_006_subj_7"
7135,312,"ALT1_2","prac_ALT1_2","diamond","diamond","j","nonmatch",338,"false","match","diamond_match","phase_006_subj_7"
7136,312,"ALT1_2","prac_ALT1_2","diamond","hexagon","f","match",321,"false","nonmatch","diamond_nonmatch","phase_006_subj_7"
7137,312,"ALT1_2","prac_ALT1_2","circle","circle","j","nonmatch",379,"false","match","circle_match","phase_006_subj_7"
7138,312,"ALT1_2","prac_ALT1_2","diamond","diamond","null","null",NA,NA,"match","diamond_match","phase_006_subj_7"
7139,312,"ALT1_2","prac_ALT1_2","triangle","triangle","f","match",380,"true","match","triangle_match","phase_006_subj_7"
7140,312,"ALT1_2","prac_ALT1_2","circle","circle","f","match",365,"true","match","circle_match","phase_006_subj_7"
7141,312,"ALT1_2","prac_ALT1_2","hexagon","hexagon","f","match",414,"true","match","hexagon_match","phase_006_subj_7"
7142,312,"ALT1_2","prac_ALT1_2","triangle","diamond","f","match",232,"false","nonmatch","triangle_nonmatch","phase_006_subj_7"
7143,312,"ALT1_2","prac_ALT1_2","diamond","triangle","j","nonmatch",387,"true","nonmatch","diamond_nonmatch","phase_006_subj_7"
7144,312,"ALT1_2","prac_ALT1_2","hexagon","circle","f","match",425,"false","nonmatch","hexagon_nonmatch","phase_006_subj_7"
