"X","ParticipantID","Sex","Word","Word2","task_id","screen_id","Image","condition","word","identity","response","responses","correct_response","rt","correct","domain","valence","person","con","ID"
6097,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","trapezoid","强我","弱我","nonmatch","null","null","j","null",NA,"ability","positive","self","ability_self_nonmatch","phase_006_subj_7"
6098,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","pentagon","弱她","强我","nonmatch","f","match","j","394",0,"ability","negative","friend","ability_friend_nonmatch","phase_006_subj_7"
6099,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","trapezoid","强我","强我","match","f","match","f","851",1,"ability","positive","self","ability_self_match","phase_006_subj_7"
6100,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","square","强她","弱我","nonmatch","f","match","j","510",0,"ability","positive","friend","ability_friend_nonmatch","phase_006_subj_7"
6101,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","square","强她","强她","match","f","match","f","635",1,"ability","positive","friend","ability_friend_match","phase_006_subj_7"
6102,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","ellipse","弱我","强她","nonmatch","j","nonmatch","j","635",1,"ability","negative","self","ability_self_nonmatch","phase_006_subj_7"
6103,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","pentagon","弱她","弱她","match","f","match","f","1022",1,"ability","negative","friend","ability_friend_match","phase_006_subj_7"
6104,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","ellipse","弱我","弱我","match","j","nonmatch","f","692",0,"ability","negative","self","ability_self_match","phase_006_subj_7"
6105,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","trapezoid","强我","强我","match","f","match","f","959",1,"ability","positive","self","ability_self_match","phase_006_subj_7"
6106,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","square","强她","弱她","nonmatch","f","match","j","699",0,"ability","positive","friend","ability_friend_nonmatch","phase_006_subj_7"
6107,312,"Female","[""好我"",""坏我"",""好她"",""坏她""]","[""强我"",""弱我"",""强她"",""弱她""]","prac_ALT2_ability","practice_ability","square","强她","强我","nonmatch","f","match","j","550",0,"ability","positive","friend","ability_friend_nonmatch","phase_006_subj_7"
